['CV', 266, 'BV', 32, 'mkdir', 'perl', 'V1', 'V0', 0.9860390529195359, 3.347007989883423]
['CV', 224, 'BV', 53, 'cksum', 'ssh', 'V0', 'V2', 0.9902319902319903, 2.541884183883667]
['CV', 57, 'UV', 4, 'who', 'cmp', 'V2', 'V2', 0.9024390243902439, 0.08724713325500488]
['BV', 64, 'UV', 1, 'openssl', 'xargs', 'V2', 'V2', 0.9974439079806873, 3.423267126083374]
['CV', 114, 'BV', 27, 'expr', 'libSDL2-2.0.so', 'V3', 'V1', 0.9807535917592843, 4.329798460006714]
['UV', 21, 'CV', 20, 'objdump', 'tee', 'V2', 'V2', 0.997822367397729, 1.1504344940185547]
['CV', 186, 'UV', 16, 'stty', 'gprof', 'V0', 'V2', 0.983402489626556, 0.9617676734924316]
['CV', 13, 'UV', 65, 'join', 'objdump', 'V2', 'V1', 0.977833604255948, 1.731572151184082]
['CV', 207, 'BV', 12, 'sync', 'sort', 'V0', 'V2', 0.8935064935064935, 0.07803845405578613]
['BV', 46, 'CV', 232, 'cluster', 'readlink', 'V3', 'V0', 0.9843260188087775, 0.18235087394714355]
['CV', 266, 'BV', 64, 'mkdir', 'openssl', 'V1', 'V2', 0.9949622166246851, 1.9777154922485352]
['CV', 298, 'BV', 81, 'seq', 'dot', 'V1', 'V1', 0.9912280701754386, 0.022333860397338867]
['CV', 46, 'UV', 27, 'cut', 'c++filt', 'V2', 'V3', 0.972101133391456, 1.091127634048462]
['BV', 63, 'CV', 158, 'ruby', '[', 'V0', 'V3', 0.9984668801010056, 5.0680482387542725]
['BV', 14, 'UV', 44, 'openssl', 'diff3', 'V3', 'V1', 0.9984074319840743, 2.792039155960083]
['CV', 74, 'UV', 30, 'pathchk', 'ld', 'V2', 'V3', 0.9837953091684435, 1.2296936511993408]
['CV', 278, 'BV', 0, 'mkfifo', 'bash', 'V1', 'V2', 0.9888372093023255, 1.159726858139038]
['UV', 35, 'CV', 336, 'size', 'tr', 'V3', 'V1', 0.9952329360780064, 0.8132619857788086]
['BV', 75, 'UV', 27, 'cmp', 'c++filt', 'V2', 'V3', 0.9735530023845653, 1.2074453830718994]
['UV', 11, 'BV', 42, 'ranlib', 'libvlc.so', 'V2', 'V1', 0.98999061620269, 5.658405065536499]
['BV', 16, 'CV', 268, 'libvlc.so', 'dir', 'V3', 'V1', 0.9891122278056952, 0.956287145614624]
['CV', 106, 'BV', 41, 'pr', 'libvlccore.so', 'V3', 'V1', 0.9855235242730562, 3.259974241256714]
['UV', 20, 'CV', 59, 'size', 'head', 'V2', 'V2', 0.9962001266624446, 0.94610595703125]
['UV', 33, 'CV', 123, 'ar', 'chroot', 'V3', 'V3', 0.9959807073954984, 1.2080070972442627]
['BV', 67, 'CV', 40, 'cluster', 'ls', 'V0', 'V2', 0.9631223110018439, 0.5893585681915283]
['BV', 19, 'CV', 60, 'cp', 'hostid', 'V3', 'V2', 0.9842983316977428, 0.12188887596130371]
['BV', 42, 'CV', 316, 'libvlc.so', 'nohup', 'V1', 'V1', 0.9922779922779923, 0.2896296977996826]
['CV', 115, 'BV', 42, 'chown', 'libvlc.so', 'V3', 'V1', 0.9859878561419897, 0.8654634952545166]
['CV', 170, 'UV', 13, 'tac', 'strings', 'V3', 'V2', 0.9600588606264452, 1.1470093727111816]
['BV', 46, 'UV', 42, 'cluster', 'diff', 'V3', 'V3', 0.9569682151589242, 0.8968539237976074]
['BV', 32, 'CV', 186, 'perl', 'stty', 'V0', 'V0', 0.9986784972626015, 1.6904077529907227]
['UV', 31, 'BV', 23, 'gprof', 'diff', 'V3', 'V3', 0.9908675799086758, 3.402304172515869]
['CV', 109, 'UV', 27, 'kill', 'c++filt', 'V3', 'V3', 0.9759825327510917, 1.0442299842834473]
['UV', 52, 'CV', 97, 'strip', 'ptx', 'V1', 'V3', 0.9953044294881828, 2.128810167312622]
['CV', 162, 'BV', 79, 'tr', 'bash', 'V3', 'V3', 0.9833984375, 2.655794382095337]
['CV', 87, 'BV', 25, 'touch', 'git', 'V3', 'V3', 0.9896660024990713, 10.075525522232056]
['UV', 18, 'CV', 94, 'ar', 'dir', 'V2', 'V3', 0.9896613190730837, 3.2030189037323]
['UV', 9, 'CV', 261, 'readelf', 'touch', 'V2', 'V1', 0.9898477157360406, 0.31436991691589355]
['BV', 49, 'UV', 64, 'make', 'size', 'V3', 'V1', 0.9486395597676551, 6.651338338851929]
['UV', 70, 'BV', 22, 'locate', 'cmp', 'V0', 'V3', 0.9475982532751092, 0.1525278091430664]
['CV', 24, 'BV', 46, 'factor', 'cluster', 'V2', 'V3', 0.9579263711495116, 0.2299513816833496]
['UV', 9, 'CV', 173, 'readelf', 'ln', 'V2', 'V3', 0.966871746332229, 0.7093544006347656]
['BV', 29, 'CV', 38, 'perl', 'split', 'V3', 'V2', 0.9970259059247084, 3.453256130218506]
['UV', 82, 'CV', 101, 'gprof', 'dirname', 'V0', 'V3', 0.9967492889069484, 0.8350238800048828]
['UV', 29, 'CV', 236, 'objcopy', 'unexpand', 'V3', 'V0', 0.9974747474747475, 0.6912155151367188]
['CV', 73, 'UV', 8, 'shred', 'strip', 'V2', 'V2', 0.9709501025290499, 1.6446890830993652]
['CV', 16, 'BV', 67, 'dd', 'cluster', 'V2', 'V0', 0.9578488372093024, 0.35904479026794434]
['CV', 105, 'BV', 22, 'pwd', 'cmp', 'V3', 'V3', 0.9073083778966132, 0.07215571403503418]
['CV', 29, 'BV', 51, 'tail', 'cp', 'V2', 'V0', 0.8968824940047961, 0.14415383338928223]
['UV', 34, 'CV', 229, 'elfedit', 'nohup', 'V3', 'V0', 0.9728506787330317, 0.07090568542480469]
['CV', 178, 'UV', 20, 'basename', 'size', 'V0', 'V2', 0.9804729876328921, 0.561274528503418]
['CV', 302, 'UV', 47, 'nice', 'sdiff', 'V1', 'V1', 0.8814814814814815, 0.05723237991333008]
['CV', 230, 'UV', 51, 'yes', 'nm', 'V0', 'V1', 0.9826491747778248, 0.6116316318511963]
['CV', 44, 'UV', 21, 'true', 'objdump', 'V2', 'V2', 0.9865435769050227, 0.9498343467712402]
['BV', 76, 'CV', 303, 'diff', 'dircolors', 'V2', 'V1', 0.9890009165902841, 0.13670921325683594]
['CV', 239, 'BV', 55, 'env', 'codeblocks', 'V0', 'V3', 0.99712176198223, 2.4380950927734375]
