['BV', 25, 'CV', 178, 'git', 'basename', 'V3', 'V0', 0.999385392836412, 5.763089656829834]
['CV', 215, 'BV', 61, 'nice', 'cmp', 'V0', 'V0', 0.9245283018867925, 0.043337345123291016]
['CV', 278, 'UV', 18, 'mkfifo', 'ar', 'V1', 'V2', 0.9791496320523303, 1.2749202251434326]
['CV', 111, 'UV', 78, 'factor', 'c++filt', 'V3', 'V0', 0.9672907251990531, 2.9801437854766846]
['UV', 6, 'CV', 109, 'sdiff', 'kill', 'V2', 'V3', 0.9385560675883257, 0.1795358657836914]
['UV', 78, 'CV', 141, 'c++filt', 'false', 'V0', 'V3', 0.9968525179856115, 1.4107475280761719]
['BV', 36, 'CV', 174, 'libvlc.so', 'touch', 'V2', 'V0', 0.9923298178331735, 0.4514143466949463]
['CV', 208, 'UV', 26, 'echo', 'ranlib', 'V0', 'V3', 0.9845833333333334, 0.6150014400482178]
['BV', 28, 'UV', 16, 'openssl', 'gprof', 'V1', 'V2', 0.9908613020622725, 68.62050271034241]
['BV', 20, 'UV', 86, 'sort', 'size', 'V1', 'V0', 0.9778135623546251, 1.8234407901763916]
['CV', 214, 'UV', 23, 'ls', 'strip', 'V0', 'V3', 0.9694915254237289, 2.4302327632904053]
['CV', 175, 'UV', 73, 'stat', 'nm', 'V0', 'V0', 0.9851007887817704, 0.875330924987793]
['UV', 27, 'CV', 246, 'c++filt', 'id', 'V3', 'V0', 0.9973262032085561, 0.6718399524688721]
['CV', 62, 'BV', 36, 'unexpand', 'libvlc.so', 'V2', 'V2', 0.9854580707707222, 0.4538848400115967]
['UV', 73, 'CV', 89, 'nm', 'unlink', 'V0', 'V3', 0.9965255157437568, 0.7986726760864258]
['BV', 2, 'CV', 306, 'cmp', 'cp', 'V1', 'V1', 0.9037138927097662, 0.11463761329650879]
['UV', 4, 'CV', 226, 'cmp', 'logname', 'V2', 'V0', 0.9615384615384616, 0.035198211669921875]
['CV', 329, 'UV', 39, 'cat', 'find', 'V1', 'V3', 0.9770009199632015, 0.35205578804016113]
['BV', 36, 'UV', 47, 'libvlc.so', 'sdiff', 'V2', 'V1', 0.9893711248892826, 0.699376106262207]
['BV', 41, 'CV', 221, 'libvlccore.so', 'od', 'V1', 'V0', 0.9987164677191631, 1.6068410873413086]
['UV', 68, 'CV', 223, 'diff', 'tsort', 'V0', 'V0', 0.9828877005347594, 0.10312032699584961]
['BV', 50, 'CV', 295, 'sort', 'echo', 'V0', 'V1', 0.9713701431492843, 0.04219675064086914]
['BV', 6, 'CV', 57, 'libvlc.so', 'who', 'V0', 'V2', 0.9883788495061011, 0.41915416717529297]
['UV', 11, 'CV', 174, 'ranlib', 'touch', 'V2', 'V0', 0.9971853638922397, 0.9442048072814941]
['BV', 34, 'CV', 203, 'svn', 'tail', 'V0', 'V0', 0.9923954372623575, 0.5258963108062744]
['UV', 82, 'BV', 44, 'gprof', 'make', 'V0', 'V0', 0.9815998752533915, 5.503072023391724]
['BV', 4, 'CV', 168, 'geany', 'sleep', 'V3', 'V3', 0.9993354377803622, 4.799555778503418]
['UV', 51, 'CV', 342, 'nm', 'sleep', 'V1', 'V1', 0.9957947855340622, 0.6650471687316895]
['UV', 35, 'BV', 30, 'size', 'bash', 'V3', 'V0', 0.9720009281460283, 27.97678256034851]
['BV', 72, 'CV', 64, 'perl', 'md5sum', 'V1', 'V2', 0.9983852025836759, 2.22719144821167]
['CV', 142, 'UV', 83, 'nohup', 'addr2line', 'V3', 'V0', 0.9732573432704954, 1.0966944694519043]
['CV', 257, 'BV', 32, 'tac', 'perl', 'V0', 'V0', 0.9726253904097005, 3.7039082050323486]
['CV', 197, 'BV', 21, 'wc', 'cp', 'V0', 'V1', 0.8739635157545605, 0.0768117904663086]
['UV', 83, 'BV', 67, 'addr2line', 'cluster', 'V0', 'V0', 0.980336547551522, 3.335036516189575]
['UV', 60, 'CV', 157, 'gprof', 'vdir', 'V1', 'V3', 0.9920484010371651, 3.361055374145508]
['UV', 71, 'CV', 330, 'xargs', 'csplit', 'V0', 'V1', 0.8914919852034525, 0.11772966384887695]
['CV', 13, 'BV', 58, 'join', 'ruby', 'V2', 'V3', 1.0, 0.01432490348815918]
['CV', 318, 'BV', 9, 'who', 'dot', 'V1', 'V2', 1.0, 0.028122425079345703]
['CV', 273, 'BV', 82, 'stty', 'gvmap', 'V1', 'V1', 0.9631988676574664, 0.25927233695983887]
['BV', 43, 'CV', 265, 'lua', 'basename', 'V0', 'V1', 0.9902991107518189, 0.33467793464660645]
['UV', 21, 'CV', 178, 'objdump', 'basename', 'V2', 'V0', 0.9987415447538147, 0.7259104251861572]
['BV', 56, 'UV', 50, 'ssh', 'find', 'V3', 'V1', 0.9899639732372619, 7.87557315826416]
['UV', 38, 'CV', 291, 'xargs', 'pinky', 'V3', 'V1', 0.9800853485064012, 0.2796752452850342]
['BV', 45, 'CV', 340, 'svn', 'fold', 'V3', 'V1', 0.9971119133574007, 0.8656415939331055]
['CV', 132, 'BV', 27, 'cp', 'libSDL2-2.0.so', 'V3', 'V1', 0.9667005592272496, 6.461293935775757]
['CV', 80, 'UV', 13, 'uniq', 'strings', 'V2', 'V2', 0.971519659936238, 1.0468292236328125]
['UV', 84, 'CV', 102, 'ar', 'uptime', 'V0', 'V3', 0.9963332654308413, 1.2290232181549072]
