['CV', 43, 'UV', 5, 'chmod', 'diff', 'V2', 'V2', 0.8949843260188087, 0.42538881301879883]
['BV', 31, 'CV', 197, 'codeblocks', 'wc', 'V0', 'V0', 0.9990744413592489, 4.6774585247039795]
['CV', 15, 'UV', 66, 'uptime', 'diff3', 'V2', 'V0', 0.8726114649681529, 0.08700323104858398]
['BV', 72, 'CV', 81, 'perl', 'sleep', 'V1', 'V2', 0.9988240482140233, 1.9099667072296143]
['CV', 60, 'UV', 28, 'hostid', 'strings', 'V2', 'V3', 0.9793179317931793, 0.6806948184967041]
['CV', 163, 'UV', 27, 'comm', 'c++filt', 'V3', 'V3', 0.9710207612456747, 1.023773193359375]
['UV', 81, 'CV', 50, 'ld', 'cksum', 'V0', 'V2', 0.9981710105166895, 0.8515961170196533]
['UV', 46, 'CV', 72, 'diff', 'id', 'V1', 'V2', 0.9909228441754917, 0.1729586124420166]
['UV', 63, 'CV', 222, 'elfedit', 'df', 'V1', 'V0', 0.9618320610687023, 0.07793498039245605]
['CV', 143, 'UV', 13, 'yes', 'strings', 'V3', 'V2', 0.9743095696852923, 0.7971615791320801]
['CV', 281, 'BV', 55, 'tee', 'codeblocks', 'V1', 'V3', 0.9960034969401773, 2.938945770263672]
['CV', 193, 'BV', 0, 'pr', 'bash', 'V0', 'V2', 0.9790522676428717, 2.1417481899261475]
['BV', 63, 'UV', 43, 'ruby', 'sdiff', 'V0', 'V3', 0.9987420253392039, 6.842394590377808]
['BV', 35, 'CV', 164, 'libvlccore.so', 'nl', 'V2', 'V3', 0.9983985358041638, 2.1598966121673584]
['UV', 52, 'BV', 78, 'strip', 'make', 'V1', 'V2', 0.9726132582544151, 7.617135286331177]
['CV', 116, 'BV', 54, 'tail', 'lua', 'V3', 'V3', 0.957907044723765, 1.174309492111206]
['BV', 78, 'CV', 79, 'make', 'fold', 'V2', 'V2', 0.9895138226882746, 0.35340142250061035]
['CV', 186, 'BV', 5, 'stty', 'libvlccore.so', 'V0', 'V0', 0.9910088589184186, 1.54921293258667]
['UV', 10, 'CV', 313, 'as', 'logname', 'V2', 'V1', 0.9980980844993886, 0.8289461135864258]
['BV', 11, 'UV', 46, 'bash', 'diff', 'V1', 'V1', 0.9931007293514685, 7.1501545906066895]
['CV', 336, 'UV', 10, 'tr', 'as', 'V1', 'V2', 0.9790463398253861, 1.3424742221832275]
['CV', 70, 'BV', 65, 'vdir', 'ssh', 'V2', 'V1', 0.9746331391490303, 6.185847282409668]
['UV', 26, 'CV', 334, 'ranlib', 'shred', 'V3', 'V1', 0.9947822596829219, 1.243849754333496]
['CV', 167, 'BV', 32, 'uniq', 'perl', 'V3', 'V0', 0.9823124185440327, 2.8775622844696045]
['CV', 310, 'BV', 39, 'tsort', 'svn', 'V1', 'V1', 0.9782505910165484, 0.3904454708099365]
['BV', 46, 'CV', 248, 'cluster', 'pathchk', 'V3', 'V0', 0.9873317498020586, 0.16816329956054688]
['BV', 53, 'CV', 270, 'ssh', 'users', 'V2', 'V1', 0.9989339830960177, 1.6752855777740479]
['UV', 29, 'CV', 14, 'objcopy', 'dirname', 'V3', 'V2', 0.9971321025273346, 0.8121793270111084]
['UV', 3, 'CV', 68, 'diff3', 'cat', 'V2', 'V2', 0.9124487004103967, 0.10885810852050781]
['CV', 237, 'BV', 61, 'mv', 'cmp', 'V0', 'V0', 0.9779874213836478, 0.06044435501098633]
['CV', 222, 'BV', 29, 'df', 'perl', 'V0', 'V3', 0.9894121365360303, 2.8986003398895264]
['CV', 335, 'BV', 51, 'pathchk', 'cp', 'V1', 'V0', 0.8588640275387264, 0.06455349922180176]
['BV', 56, 'CV', 97, 'ssh', 'ptx', 'V3', 'V3', 0.9964736996767558, 2.384925365447998]
['UV', 36, 'CV', 176, 'objdump', 'unlink', 'V3', 'V0', 0.9986174478086548, 0.794945240020752]
['CV', 293, 'BV', 6, 'paste', 'libvlc.so', 'V1', 'V0', 0.9911504424778761, 0.5741786956787109]
['BV', 83, 'CV', 130, 'git', 'chmod', 'V2', 'V3', 0.9985355558427015, 7.721054792404175]
['CV', 112, 'UV', 33, 'expand', 'ar', 'V3', 'V3', 0.973322554567502, 1.1506121158599854]
['CV', 155, 'UV', 47, 'cat', 'sdiff', 'V3', 'V1', 0.9031770045385779, 0.09878921508789062]
['CV', 211, 'BV', 42, 'seq', 'libvlc.so', 'V0', 'V1', 0.9877300613496932, 0.3161308765411377]
['BV', 0, 'CV', 37, 'bash', 'seq', 'V2', 'V2', 0.9973396091271871, 1.8089604377746582]
['CV', 207, 'UV', 86, 'sync', 'size', 'V0', 'V0', 0.9886320575975749, 0.6205711364746094]
['UV', 84, 'CV', 288, 'ar', 'expr', 'V0', 'V1', 0.9925533999608074, 1.763927936553955]
['CV', 326, 'UV', 7, 'env', 'nm', 'V1', 'V2', 0.9828986746472852, 0.6229734420776367]
['CV', 68, 'UV', 86, 'cat', 'size', 'V2', 'V0', 0.975609756097561, 1.4372339248657227]
['BV', 76, 'CV', 132, 'diff', 'cp', 'V2', 'V3', 0.9209621993127148, 0.6074225902557373]
['CV', 324, 'BV', 3, 'mv', 'diff', 'V1', 'V1', 0.9143302180685359, 0.3190491199493408]
['UV', 52, 'CV', 288, 'strip', 'expr', 'V1', 'V1', 0.994722135982614, 2.3064842224121094]
['CV', 128, 'BV', 67, 'nice', 'cluster', 'V3', 'V0', 0.9559543230016313, 0.22522616386413574]
