['CV', 71, 'UV', 66, '[', 'diff3', 'V2', 'V0', 0.8715890850722312, 0.1062002182006836]
['UV', 0, 'CV', 305, 'locate', 'true', 'V2', 'V1', 0.9812792511700468, 0.09679937362670898]
['CV', 265, 'BV', 3, 'basename', 'diff', 'V1', 'V1', 0.9173014145810664, 0.19333863258361816]
['UV', 13, 'CV', 238, 'strings', 'md5sum', 'V2', 'V0', 0.9969749351771824, 1.5300798416137695]
['CV', 215, 'BV', 62, 'nice', 'diff', 'V0', 'V0', 0.9106858054226475, 0.15061092376708984]
['UV', 14, 'CV', 257, 'objcopy', 'tac', 'V2', 'V0', 0.9946604371767062, 3.0894455909729004]
['CV', 241, 'UV', 9, 'uname', 'readelf', 'V0', 'V2', 0.9760622381807301, 0.38332462310791016]
['BV', 26, 'CV', 88, 'geany', 'stat', 'V2', 'V3', 0.9986720963172805, 14.29181718826294]
['CV', 340, 'BV', 40, 'fold', 'lua', 'V1', 'V2', 0.9680333564975677, 0.42658519744873047]
['UV', 14, 'CV', 80, 'objcopy', 'uniq', 'V2', 'V2', 0.996524761077324, 1.1593787670135498]
['CV', 259, 'UV', 37, 'mknod', 'locate', 'V0', 'V3', 0.9734422880490297, 0.1632845401763916]
['BV', 80, 'CV', 270, 'cluster', 'users', 'V1', 'V1', 0.9844479004665629, 0.1952195167541504]
['CV', 217, 'BV', 50, 'chmod', 'sort', 'V0', 'V0', 0.883495145631068, 0.08449578285217285]
['BV', 67, 'CV', 310, 'cluster', 'tsort', 'V0', 'V1', 0.9844020797227037, 0.16706347465515137]
['CV', 53, 'BV', 7, 'tty', 'libSDL2-2.0.so', 'V2', 'V0', 0.9780417566594672, 1.076220989227295]
['UV', 54, 'CV', 300, 'as', 'whoami', 'V1', 'V1', 0.9983637851104445, 0.8376708030700684]
['CV', 94, 'BV', 58, 'dir', 'ruby', 'V3', 'V3', 1.0, 0.03702521324157715]
['CV', 345, 'UV', 21, 'rmdir', 'objdump', 'V1', 'V2', 0.9849198868991518, 0.8542072772979736]
['UV', 3, 'CV', 237, 'diff3', 'mv', 'V2', 'V0', 0.8892580287929125, 0.16883111000061035]
['CV', 173, 'BV', 6, 'ln', 'libvlc.so', 'V3', 'V0', 0.9780548628428928, 0.845184326171875]
['CV', 129, 'BV', 72, 'dircolors', 'perl', 'V3', 'V1', 0.9875803623611923, 2.7421395778656006]
['BV', 66, 'CV', 72, 'lua', 'id', 'V1', 'V2', 0.992790194664744, 0.48596906661987305]
['CV', 134, 'UV', 61, 'od', 'addr2line', 'V3', 'V1', 0.9669354838709677, 1.6943185329437256]
['UV', 18, 'CV', 131, 'ar', 'true', 'V2', 'V3', 0.9975811328361217, 0.839104175567627]
['CV', 89, 'UV', 36, 'unlink', 'objdump', 'V3', 'V3', 0.9844601962922573, 1.5000402927398682]
['UV', 31, 'CV', 293, 'gprof', 'paste', 'V3', 'V1', 0.9975599837332249, 0.6515562534332275]
['UV', 32, 'CV', 56, 'addr2line', 'yes', 'V3', 'V2', 0.9960508995173322, 0.664625883102417]
['UV', 30, 'BV', 21, 'ld', 'cp', 'V3', 'V1', 0.9945054945054945, 2.3029112815856934]
['CV', 281, 'UV', 82, 'tee', 'gprof', 'V1', 'V0', 0.9847736625514403, 0.7532780170440674]
['CV', 86, 'UV', 66, 'ln', 'diff3', 'V2', 'V0', 0.9063360881542699, 0.16801095008850098]
['CV', 295, 'UV', 70, 'echo', 'locate', 'V1', 'V0', 0.9130434782608696, 0.08483314514160156]
['BV', 76, 'CV', 205, 'diff', 'sha1sum', 'V2', 'V0', 0.9908508691674291, 0.13941645622253418]
['CV', 309, 'BV', 7, 'df', 'libSDL2-2.0.so', 'V1', 'V0', 0.9755622454400567, 1.721611499786377]
['BV', 48, 'CV', 101, 'gvmap', 'dirname', 'V3', 'V3', 0.9761068165846802, 0.25570225715637207]
['BV', 71, 'CV', 210, 'ruby', 'chroot', 'V1', 'V0', 0.9875776397515528, 0.009627342224121094]
['UV', 67, 'CV', 220, 'cmp', 'cut', 'V0', 'V0', 0.9404255319148936, 0.05103254318237305]
['CV', 12, 'BV', 36, 'stty', 'libvlc.so', 'V2', 'V2', 0.9907235621521335, 0.6014363765716553]
['UV', 72, 'CV', 325, 'find', 'md5sum', 'V0', 'V1', 0.9935639581657281, 0.15737509727478027]
['UV', 38, 'CV', 262, 'xargs', 'stat', 'V3', 'V1', 0.9765051395007343, 0.11465620994567871]
['CV', 224, 'BV', 14, 'cksum', 'openssl', 'V0', 'V3', 0.9972527472527473, 1.4133069515228271]
['CV', 235, 'UV', 35, 'ginstall', 'size', 'V0', 'V3', 0.9667419421063437, 1.999413251876831]
['CV', 54, 'BV', 14, 'false', 'openssl', 'V2', 'V3', 0.9950738916256158, 1.5629522800445557]
['CV', 213, 'BV', 20, 'whoami', 'sort', 'V0', 'V1', 0.8763250883392226, 0.059014320373535156]
['CV', 199, 'UV', 70, 'expand', 'locate', 'V0', 'V0', 0.9051282051282051, 0.09387540817260742]
['CV', 247, 'UV', 22, 'shred', 'nm', 'V0', 'V3', 0.9754912317768857, 1.1269142627716064]
['CV', 234, 'UV', 39, 'hostid', 'find', 'V0', 'V3', 0.9804651162790697, 0.29175639152526855]
['BV', 23, 'CV', 242, 'diff', 'cat', 'V3', 'V0', 0.9813084112149533, 0.12515902519226074]
['CV', 136, 'UV', 47, 'tsort', 'sdiff', 'V3', 'V1', 0.9116347569955817, 0.09792137145996094]
['UV', 18, 'CV', 243, 'ar', 'csplit', 'V2', 'V0', 0.9928772258669166, 2.1138932704925537]
['UV', 45, 'CV', 328, 'cmp', 'uname', 'V1', 'V1', 0.9617224880382775, 0.03578519821166992]
['CV', 67, 'UV', 44, 'uname', 'diff3', 'V2', 'V1', 0.8324607329842932, 0.06774544715881348]
['UV', 6, 'CV', 12, 'sdiff', 'stty', 'V2', 'V2', 0.941944847605225, 0.1004941463470459]
['CV', 294, 'UV', 59, 'sync', 'ld', 'V1', 'V1', 0.9895757926740988, 0.8855516910552979]
['BV', 8, 'CV', 310, 'cluster', 'tsort', 'V2', 'V1', 0.9859703819173812, 0.18547558784484863]
['CV', 47, 'BV', 18, 'od', 'sort', 'V2', 'V3', 0.9077429983525536, 0.24303269386291504]
['CV', 122, 'BV', 14, 'sum', 'openssl', 'V3', 'V3', 0.9951677852348993, 2.6796188354492188]
['BV', 63, 'CV', 23, 'ruby', 'wc', 'V0', 'V2', 0.9992767707815395, 4.50452995300293]
['UV', 55, 'CV', 321, 'ranlib', 'hostid', 'V1', 'V1', 0.9983792544570502, 0.5789811611175537]
['CV', 102, 'UV', 50, 'uptime', 'find', 'V3', 'V1', 0.9068710959681999, 0.4071238040924072]
['BV', 14, 'CV', 68, 'openssl', 'cat', 'V3', 'V2', 0.9970607882431529, 2.434389114379883]
['CV', 200, 'UV', 53, 'date', 'readelf', 'V0', 'V1', 0.9698360655737704, 0.3120303153991699]
['CV', 147, 'UV', 38, 'hostid', 'xargs', 'V3', 'V3', 0.9581005586592178, 0.12039470672607422]
['BV', 7, 'CV', 180, 'libSDL2-2.0.so', 'fmt', 'V0', 'V0', 0.9978319783197832, 0.8382155895233154]
['BV', 61, 'UV', 17, 'cmp', 'addr2line', 'V0', 'V2', 0.9851851851851852, 0.555680513381958]
['CV', 20, 'UV', 14, 'tee', 'objcopy', 'V2', 'V2', 0.9796312554872695, 1.0193147659301758]
['CV', 202, 'UV', 30, 'chown', 'ld', 'V0', 'V3', 0.9781482000280152, 1.8730254173278809]
['UV', 42, 'BV', 20, 'diff', 'sort', 'V3', 'V1', 0.9631811487481591, 0.31972813606262207]
