['CV', 150, 'BV', 57, 'mv', 'svn', 'V3', 'V2', 0.9752916952642416, 3.93283748626709]
['BV', 60, 'CV', 240, 'codeblocks', 'link', 'V1', 'V0', 0.9992276998326683, 2.666494846343994]
['CV', 250, 'UV', 39, 'comm', 'find', 'V0', 'V3', 0.971702418986764, 0.38373446464538574]
['BV', 83, 'UV', 65, 'git', 'objdump', 'V2', 'V1', 0.9913126752855872, 107.74272608757019]
['UV', 73, 'CV', 56, 'nm', 'yes', 'V0', 'V2', 0.9969224005275885, 0.6516308784484863]
['CV', 117, 'BV', 22, 'pinky', 'cmp', 'V3', 'V3', 0.9026845637583892, 0.08293867111206055]
['CV', 85, 'BV', 23, 'mknod', 'diff', 'V2', 'V3', 0.9076376554174067, 0.16515517234802246]
['UV', 71, 'CV', 40, 'xargs', 'ls', 'V0', 'V2', 0.8977932636469221, 0.1417243480682373]
['CV', 66, 'BV', 71, 'link', 'ruby', 'V2', 'V1', 1.0, 0.010058403015136719]
['BV', 10, 'UV', 30, 'gvmap', 'ld', 'V2', 'V3', 0.9597115145486197, 6.726463317871094]
['UV', 35, 'BV', 66, 'size', 'lua', 'V3', 'V1', 0.9723820483314154, 7.999033689498901]
['UV', 23, 'CV', 295, 'strip', 'echo', 'V3', 'V1', 0.9985515118594966, 0.5883002281188965]
['CV', 152, 'UV', 56, 'env', 'c++filt', 'V3', 'V1', 0.9707317073170731, 0.988938570022583]
['BV', 44, 'CV', 295, 'make', 'echo', 'V0', 'V1', 0.9945652173913043, 0.20659828186035156]
['UV', 44, 'CV', 194, 'diff3', 'tee', 'V1', 'V0', 0.9558823529411765, 0.055979013442993164]
['BV', 48, 'UV', 31, 'gvmap', 'gprof', 'V3', 'V3', 0.9360562437227988, 4.518602132797241]
['UV', 35, 'CV', 284, 'size', 'wc', 'V3', 'V1', 0.996947230702137, 0.7685091495513916]
['BV', 2, 'CV', 110, 'cmp', 'wc', 'V1', 'V3', 0.9329073482428115, 0.08742260932922363]
['CV', 136, 'BV', 76, 'tsort', 'diff', 'V3', 'V2', 0.8893545683151718, 0.20713591575622559]
['UV', 0, 'CV', 343, 'locate', 'sort', 'V2', 'V1', 0.9477533960292581, 0.1944563388824463]
['CV', 156, 'UV', 36, 'csplit', 'objdump', 'V3', 'V3', 0.9768308921438082, 2.4767866134643555]
['CV', 193, 'BV', 26, 'pr', 'geany', 'V0', 'V2', 0.9920503773837702, 7.360764503479004]
['BV', 14, 'CV', 194, 'openssl', 'tee', 'V3', 'V0', 0.9986299493081244, 1.311305284500122]
['BV', 22, 'CV', 147, 'cmp', 'hostid', 'V3', 'V3', 0.960552268244576, 0.057924747467041016]
['UV', 67, 'CV', 216, 'cmp', 'dircolors', 'V0', 'V0', 0.9438444924406048, 0.04902148246765137]
