['UV', 20, 'BV', 39, 'size', 'svn', 'V2', 'V1', 0.9881877525645011, 8.35961365699768]
['UV', 2, 'CV', 157, 'find', 'vdir', 'V2', 'V3', 0.9622144112478032, 0.8366274833679199]
['UV', 47, 'CV', 114, 'sdiff', 'expr', 'V1', 'V3', 0.9191374663072777, 0.10587334632873535]
['BV', 78, 'CV', 160, 'make', 'shred', 'V2', 'V3', 0.9846678023850085, 0.6497912406921387]
['UV', 14, 'BV', 28, 'objcopy', 'openssl', 'V2', 'V1', 0.9694126921560898, 80.84060955047607]
['UV', 81, 'BV', 67, 'ld', 'cluster', 'V0', 'V0', 0.986433319766653, 4.58555006980896]
['UV', 3, 'CV', 93, 'diff3', 'fmt', 'V2', 'V3', 0.9406528189910979, 0.09429311752319336]
['UV', 11, 'CV', 136, 'ranlib', 'tsort', 'V2', 'V3', 0.9944389275074479, 1.1489694118499756]
['CV', 184, 'UV', 38, 'ptx', 'xargs', 'V0', 'V3', 0.9689320388349515, 0.26868772506713867]
['BV', 73, 'UV', 13, 'geany', 'strings', 'V0', 'V2', 0.9943913767417404, 63.667417764663696]
['CV', 342, 'UV', 81, 'sleep', 'ld', 'V1', 'V0', 0.9883685338230793, 1.0452442169189453]
['BV', 20, 'CV', 307, 'sort', 'cut', 'V1', 'V1', 0.9710610932475884, 0.07478618621826172]
['CV', 258, 'BV', 58, 'rmdir', 'ruby', 'V0', 'V3', 0.9871794871794872, 0.008729219436645508]
['BV', 6, 'CV', 227, 'libvlc.so', 'tty', 'V0', 'V0', 0.9935938500960922, 0.2023615837097168]
['BV', 3, 'CV', 301, 'diff', 'ls', 'V1', 'V1', 0.963076923076923, 0.34478020668029785]
['CV', 29, 'BV', 32, 'tail', 'perl', 'V2', 'V0', 0.9794158553546592, 3.2055420875549316]
['CV', 116, 'UV', 4, 'tail', 'cmp', 'V3', 'V2', 0.9664082687338501, 0.1281142234802246]
['CV', 336, 'BV', 41, 'tr', 'libvlccore.so', 'V1', 'V1', 0.9904761904761905, 1.8015079498291016]
['CV', 171, 'UV', 56, 'rmdir', 'c++filt', 'V3', 'V1', 0.9759290540540541, 1.160285234451294]
['BV', 24, 'CV', 118, 'git', 'sha1sum', 'V0', 'V3', 0.9989223492785727, 4.237187623977661]
['CV', 211, 'BV', 48, 'seq', 'gvmap', 'V0', 'V3', 0.9615668883961567, 0.19456243515014648]
['BV', 58, 'CV', 3, 'ruby', 'test', 'V3', 'V2', 0.9920948616600791, 0.013002634048461914]
['CV', 129, 'BV', 69, 'dircolors', 'gvmap', 'V3', 'V0', 0.9507829977628636, 0.3056366443634033]
['CV', 67, 'UV', 63, 'uname', 'elfedit', 'V2', 'V1', 0.9816933638443935, 0.06272578239440918]
['CV', 248, 'BV', 14, 'pathchk', 'openssl', 'V0', 'V3', 0.9950590172934395, 1.5232927799224854]
['UV', 56, 'CV', 44, 'c++filt', 'true', 'V1', 'V2', 0.9978383052313013, 0.6318209171295166]
['UV', 83, 'CV', 318, 'addr2line', 'who', 'V0', 'V1', 0.9964507542147294, 0.821378231048584]
['CV', 309, 'UV', 58, 'df', 'objcopy', 'V1', 'V1', 0.9764249959631842, 1.5158979892730713]
['UV', 39, 'CV', 93, 'find', 'fmt', 'V3', 'V3', 0.98959236773634, 0.5170247554779053]
['CV', 341, 'UV', 31, 'uniq', 'gprof', 'V1', 'V3', 0.9795139586262301, 1.0516698360443115]
['BV', 74, 'CV', 135, 'git', 'df', 'V1', 'V3', 0.9984769254201148, 7.950130224227905]
['UV', 57, 'CV', 92, 'strings', 'mkdir', 'V1', 'V3', 0.9950556242274413, 1.3284215927124023]
['CV', 0, 'UV', 8, 'touch', 'strip', 'V2', 'V2', 0.9764298093587521, 1.4139792919158936]
['CV', 101, 'UV', 56, 'dirname', 'c++filt', 'V3', 'V1', 0.9765107836856716, 0.9803202152252197]
['CV', 157, 'BV', 0, 'vdir', 'bash', 'V3', 'V2', 0.9647839892235158, 6.401246070861816]
['UV', 24, 'CV', 236, 'readelf', 'unexpand', 'V3', 'V0', 0.9961904761904762, 0.3342883586883545]
['CV', 146, 'UV', 82, 'head', 'gprof', 'V3', 'V0', 0.9765127388535032, 1.3406805992126465]
['UV', 62, 'BV', 19, 'ar', 'cp', 'V1', 'V3', 0.9897199574618929, 3.1761834621429443]
['UV', 2, 'CV', 126, 'find', 'whoami', 'V2', 'V3', 0.9890377588306942, 0.25577545166015625]
['CV', 143, 'BV', 5, 'yes', 'libvlccore.so', 'V3', 'V0', 0.9899775814321509, 1.7307193279266357]
['CV', 214, 'BV', 63, 'ls', 'ruby', 'V0', 'V0', 0.9859633437639697, 9.856111526489258]
['CV', 162, 'UV', 5, 'tr', 'diff', 'V3', 'V2', 0.8950819672131147, 0.22220396995544434]
['CV', 287, 'UV', 24, 'date', 'readelf', 'V1', 'V3', 0.9705232129697863, 0.5354361534118652]
['BV', 10, 'CV', 58, 'gvmap', 'readlink', 'V2', 'V2', 0.9711340206185567, 0.2832953929901123]
['CV', 53, 'UV', 57, 'tty', 'strings', 'V2', 'V1', 0.9795178152336249, 0.7730646133422852]
['CV', 199, 'UV', 76, 'expand', 'as', 'V0', 'V0', 0.9852125693160814, 0.9854297637939453]
['BV', 65, 'CV', 343, 'ssh', 'sort', 'V1', 'V1', 0.9977548271216884, 4.078841686248779]
['UV', 61, 'BV', 66, 'addr2line', 'lua', 'V1', 'V1', 0.968052021487136, 8.831345319747925]
['CV', 33, 'UV', 22, 'sync', 'nm', 'V2', 'V3', 0.980611805256355, 0.9111998081207275]
['CV', 12, 'UV', 26, 'stty', 'ranlib', 'V2', 'V3', 0.9754428341384863, 1.2323386669158936]
['CV', 292, 'BV', 0, 'sha1sum', 'bash', 'V1', 'V2', 0.9874369271959633, 1.5097689628601074]
['CV', 294, 'BV', 25, 'sync', 'git', 'V1', 'V3', 0.9959024790002049, 3.297476053237915]
['CV', 281, 'BV', 3, 'tee', 'diff', 'V1', 'V1', 0.8995726495726496, 0.11667990684509277]
['CV', 265, 'BV', 0, 'basename', 'bash', 'V1', 'V2', 0.9882170542635659, 1.2044384479522705]
['BV', 60, 'CV', 32, 'codeblocks', 'paste', 'V1', 'V2', 0.9989743589743589, 2.671924352645874]
['UV', 32, 'CV', 97, 'addr2line', 'ptx', 'V3', 'V3', 0.9938169826875515, 1.662665843963623]
['CV', 58, 'BV', 20, 'readlink', 'sort', 'V2', 'V1', 0.8953488372093024, 0.10218667984008789]
['BV', 81, 'UV', 63, 'dot', 'elfedit', 'V1', 'V1', 0.9263803680981595, 0.03210091590881348]
['UV', 68, 'CV', 117, 'diff', 'pinky', 'V0', 'V3', 0.96875, 0.1976613998413086]
['UV', 77, 'BV', 43, 'ranlib', 'lua', 'V0', 'V0', 0.9765726681127983, 8.48197078704834]
['CV', 27, 'UV', 32, 'expr', 'addr2line', 'V2', 'V3', 0.9572149344096872, 2.0537447929382324]
['BV', 1, 'CV', 333, 'libSDL2-2.0.so', 'id', 'V3', 'V1', 0.9975, 1.2506420612335205]
['BV', 53, 'CV', 79, 'ssh', 'fold', 'V2', 'V2', 0.9987854865644451, 2.0369606018066406]
['UV', 29, 'BV', 56, 'objcopy', 'ssh', 'V3', 'V3', 0.9785202863961814, 25.031962633132935]
['UV', 47, 'CV', 161, 'sdiff', 'pathchk', 'V1', 'V3', 0.9455370650529501, 0.09310698509216309]
['CV', 63, 'UV', 22, 'mv', 'nm', 'V2', 'V3', 0.9668422079188609, 2.6489145755767822]
['BV', 9, 'CV', 142, 'dot', 'nohup', 'V2', 'V3', 0.9940828402366864, 0.03284907341003418]
['UV', 76, 'BV', 69, 'as', 'gvmap', 'V0', 'V0', 0.9848847461896965, 5.280937671661377]
['UV', 41, 'CV', 267, 'cmp', 'fmt', 'V3', 'V1', 0.9644444444444444, 0.046982526779174805]
['BV', 36, 'CV', 211, 'libvlc.so', 'seq', 'V2', 'V0', 0.9940387481371088, 0.3079512119293213]
['CV', 259, 'UV', 77, 'mknod', 'ranlib', 'V0', 'V0', 0.9831009716941276, 0.7522516250610352]
['CV', 215, 'BV', 63, 'nice', 'ruby', 'V0', 'V0', 0.9938195864576232, 2.8847997188568115]
['CV', 337, 'UV', 26, 'comm', 'ranlib', 'V1', 'V3', 0.9785478547854786, 0.8000290393829346]
['CV', 286, 'BV', 14, 'expand', 'openssl', 'V1', 'V3', 0.9964378682011235, 1.642364263534546]
['BV', 35, 'CV', 188, 'libvlccore.so', 'dirname', 'V2', 'V0', 0.99976717112922, 1.1317758560180664]
['UV', 48, 'CV', 20, 'locate', 'tee', 'V1', 'V2', 0.9790575916230366, 0.12939047813415527]
['BV', 2, 'CV', 160, 'cmp', 'shred', 'V1', 'V3', 0.9245283018867925, 0.11766505241394043]
['CV', 285, 'BV', 13, 'factor', 'cp', 'V1', 'V2', 0.9079102715466352, 0.10541963577270508]
['BV', 61, 'CV', 81, 'cmp', 'sleep', 'V0', 'V2', 0.8960244648318043, 0.030231237411499023]
['BV', 35, 'UV', 86, 'libvlccore.so', 'size', 'V2', 'V0', 0.9881004847950638, 32.94154930114746]
['UV', 43, 'CV', 226, 'sdiff', 'logname', 'V3', 'V0', 0.9578544061302682, 0.047684431076049805]
['BV', 51, 'CV', 25, 'cp', 'expand', 'V0', 'V2', 0.9560439560439561, 0.07848334312438965]
