['BV', 82, 'CV', 83, 'gvmap', 'tac', 'V1', 'V2', 0.9726027397260274, 1.0460264682769775]
['BV', 38, 'CV', 340, 'ruby', 'fold', 'V2', 'V1', 0.989010989010989, 0.01953291893005371]
['CV', 336, 'UV', 64, 'tr', 'size', 'V1', 'V1', 0.9743211955377815, 1.9440128803253174]
['CV', 272, 'UV', 84, 'printenv', 'ar', 'V1', 'V0', 0.9855564995751912, 1.2604196071624756]
['UV', 81, 'CV', 128, 'ld', 'nice', 'V0', 'V3', 0.9978823173498714, 2.183274507522583]
['CV', 66, 'UV', 32, 'link', 'addr2line', 'V2', 'V3', 0.9754762426100285, 1.5461742877960205]
['CV', 344, 'UV', 8, 'tac', 'strip', 'V1', 'V2', 0.9646371976647206, 2.671921968460083]
['BV', 24, 'CV', 143, 'git', 'yes', 'V0', 'V3', 0.9987980769230769, 2.8508901596069336]
['CV', 324, 'UV', 5, 'mv', 'diff', 'V1', 'V2', 0.9222614840989399, 0.37392187118530273]
['CV', 207, 'UV', 65, 'sync', 'objdump', 'V0', 'V1', 0.9881656804733728, 0.8365478515625]
['UV', 5, 'CV', 166, 'diff', 'fold', 'V2', 'V3', 0.9709649871904356, 0.18938684463500977]
['BV', 31, 'CV', 61, 'codeblocks', 'ginstall', 'V0', 'V2', 0.996926623127161, 8.847779035568237]
['UV', 43, 'CV', 79, 'sdiff', 'fold', 'V3', 'V2', 0.9565943238731218, 0.07099246978759766]
['CV', 41, 'BV', 41, 'nice', 'libvlccore.so', 'V2', 'V1', 0.9914838709677419, 1.5485670566558838]
['CV', 58, 'UV', 10, 'readlink', 'as', 'V2', 'V2', 0.9772788024592355, 1.5479140281677246]
['UV', 6, 'CV', 296, 'sdiff', 'sum', 'V2', 'V1', 0.9550173010380623, 0.06512594223022461]
['CV', 177, 'UV', 33, 'test', 'ar', 'V0', 'V3', 0.9830648492358529, 0.8112087249755859]
['BV', 19, 'CV', 270, 'cp', 'users', 'V3', 'V1', 0.99000999000999, 0.11454987525939941]
['BV', 62, 'CV', 234, 'diff', 'hostid', 'V0', 'V0', 0.9771615008156607, 0.05725693702697754]
['CV', 213, 'BV', 25, 'whoami', 'git', 'V0', 'V3', 0.9965174638942947, 3.3371410369873047]
['CV', 45, 'BV', 29, 'cp', 'perl', 'V2', 'V3', 0.980422147445702, 6.721045732498169]
['UV', 61, 'CV', 240, 'addr2line', 'link', 'V1', 'V0', 0.9974193548387097, 0.5310063362121582]
['BV', 69, 'UV', 27, 'gvmap', 'c++filt', 'V0', 'V3', 0.9494517747630552, 3.6730356216430664]
['CV', 169, 'BV', 5, 'sort', 'libvlccore.so', 'V3', 'V0', 0.9800559406542624, 5.646939277648926]
['CV', 326, 'BV', 76, 'env', 'diff', 'V1', 'V2', 0.9287776708373436, 0.11817193031311035]
['UV', 0, 'CV', 37, 'locate', 'seq', 'V2', 'V2', 0.9448094612352168, 0.10764908790588379]
['BV', 24, 'UV', 29, 'git', 'objcopy', 'V0', 'V3', 0.9892695006190673, 65.4629647731781]
['CV', 79, 'UV', 53, 'fold', 'readelf', 'V2', 'V1', 0.9664654594232059, 0.2581288814544678]
['BV', 39, 'UV', 76, 'svn', 'as', 'V1', 'V0', 0.950209347063483, 11.237212896347046]
['BV', 31, 'CV', 86, 'codeblocks', 'ln', 'V0', 'V2', 0.9985625612544919, 4.545514345169067]
['UV', 87, 'CV', 100, 'objdump', 'join', 'V0', 'V3', 0.995489400090212, 1.8655788898468018]
['BV', 46, 'CV', 176, 'cluster', 'unlink', 'V3', 'V0', 0.9871897518014412, 0.15807557106018066]
['UV', 44, 'CV', 219, 'diff3', 'cp', 'V1', 'V0', 0.9079903147699758, 0.1505603790283203]
['CV', 312, 'UV', 14, 'printf', 'objcopy', 'V1', 'V2', 0.9792363188456801, 0.9971485137939453]
['CV', 291, 'BV', 73, 'pinky', 'geany', 'V1', 'V0', 0.9913913698482729, 4.293386936187744]
['BV', 56, 'CV', 0, 'ssh', 'touch', 'V3', 'V2', 0.9966737224070155, 1.4886338710784912]
['BV', 76, 'CV', 265, 'diff', 'basename', 'V2', 'V1', 0.9866666666666667, 0.2150120735168457]
['CV', 341, 'BV', 11, 'uniq', 'bash', 'V1', 'V1', 0.9818437263590187, 1.8018004894256592]
['CV', 218, 'UV', 54, 'true', 'as', 'V0', 'V1', 0.9882417281925076, 0.7685668468475342]
['BV', 67, 'CV', 316, 'cluster', 'nohup', 'V0', 'V1', 0.9810834049871023, 0.1856377124786377]
['BV', 9, 'CV', 7, 'dot', 'dir', 'V2', 'V2', 0.9943342776203966, 0.06923580169677734]
['BV', 13, 'CV', 143, 'cp', 'yes', 'V2', 'V3', 0.9803707742639041, 0.12840771675109863]
['CV', 176, 'UV', 24, 'unlink', 'readelf', 'V0', 'V3', 0.9754035357417371, 0.2985856533050537]
['UV', 26, 'BV', 43, 'ranlib', 'lua', 'V3', 'V0', 0.9751712328767124, 7.829611539840698]
['CV', 148, 'UV', 59, 'ginstall', 'ld', 'V3', 'V1', 0.9732779867687119, 5.447136163711548]
['CV', 332, 'BV', 67, '[', 'cluster', 'V1', 'V0', 0.9491955969517358, 0.19807767868041992]
['CV', 185, 'UV', 16, 'printenv', 'gprof', 'V0', 'V2', 0.9831189710610932, 0.5935354232788086]
['CV', 146, 'UV', 77, 'head', 'ranlib', 'V3', 'V0', 0.9730831973898858, 1.2993907928466797]
['CV', 277, 'BV', 74, 'dd', 'git', 'V1', 'V1', 0.989185291997116, 4.06971549987793]
['UV', 71, 'CV', 89, 'xargs', 'unlink', 'V0', 'V3', 0.9037199124726477, 0.04967236518859863]
['CV', 1, 'BV', 27, 'stat', 'libSDL2-2.0.so', 'V2', 'V1', 0.9837487949318275, 1.783367395401001]
['UV', 19, 'CV', 50, 'elfedit', 'cksum', 'V2', 'V2', 0.9772209567198178, 0.06446290016174316]
['CV', 341, 'UV', 43, 'uniq', 'sdiff', 'V1', 'V3', 0.8803986710963455, 0.07697129249572754]
['UV', 64, 'CV', 95, 'size', 'du', 'V1', 'V3', 0.990157107703956, 2.7605397701263428]
['CV', 60, 'BV', 44, 'hostid', 'make', 'V2', 'V0', 0.9609086106708927, 0.28841233253479004]
['UV', 50, 'CV', 258, 'find', 'rmdir', 'V1', 'V0', 0.9948783610755442, 0.15692877769470215]
['BV', 63, 'CV', 60, 'ruby', 'hostid', 'V0', 'V2', 0.9994556835707158, 3.225314140319824]
['UV', 38, 'CV', 114, 'xargs', 'expr', 'V3', 'V3', 0.9786223277909739, 0.17903995513916016]
['CV', 85, 'BV', 7, 'mknod', 'libSDL2-2.0.so', 'V2', 'V0', 0.9763356041591968, 1.2813072204589844]
['BV', 51, 'CV', 99, 'cp', 'stty', 'V0', 'V3', 0.916243654822335, 0.1316373348236084]
['UV', 6, 'CV', 102, 'sdiff', 'uptime', 'V2', 'V3', 0.9391424619640387, 0.11715126037597656]
['BV', 46, 'CV', 39, 'cluster', 'whoami', 'V3', 'V2', 0.9847094801223242, 0.20748591423034668]
['UV', 41, 'CV', 12, 'cmp', 'stty', 'V3', 'V2', 0.927461139896373, 0.07739901542663574]
['CV', 222, 'BV', 48, 'df', 'gvmap', 'V0', 'V3', 0.9538357094365241, 0.32585787773132324]
['BV', 12, 'CV', 112, 'sort', 'expand', 'V2', 'V3', 0.9586507072905331, 0.14281916618347168]
['UV', 31, 'CV', 214, 'gprof', 'ls', 'V3', 'V0', 0.9954519613416714, 2.099302291870117]
['BV', 51, 'UV', 55, 'cp', 'ranlib', 'V0', 'V1', 0.9641289830185079, 1.9203641414642334]
['UV', 44, 'CV', 267, 'diff3', 'fmt', 'V1', 'V1', 0.9675090252707581, 0.05820631980895996]
['UV', 0, 'CV', 258, 'locate', 'rmdir', 'V2', 'V0', 0.9692307692307692, 0.058766841888427734]
['UV', 83, 'CV', 263, 'addr2line', 'unlink', 'V0', 'V1', 0.9977411339507567, 0.4867382049560547]
['CV', 99, 'UV', 22, 'stty', 'nm', 'V3', 'V3', 0.9713811696391539, 1.4157366752624512]
['UV', 1, 'CV', 187, 'xargs', 'join', 'V2', 'V0', 0.9486486486486486, 0.09939026832580566]
['BV', 9, 'UV', 6, 'dot', 'sdiff', 'V2', 'V2', 0.9871794871794872, 0.043044090270996094]
['CV', 0, 'UV', 84, 'touch', 'ar', 'V2', 'V0', 0.9736517085220255, 1.1637346744537354]
['CV', 47, 'UV', 26, 'od', 'ranlib', 'V2', 'V3', 0.9633612106730386, 1.4472675323486328]
['BV', 74, 'CV', 76, 'git', 'comm', 'V1', 'V2', 0.9992762613730356, 3.7936177253723145]
['UV', 62, 'CV', 286, 'ar', 'expand', 'V1', 'V1', 0.9971768501714056, 0.7899997234344482]
['CV', 207, 'UV', 64, 'sync', 'size', 'V0', 'V1', 0.9836874865851041, 0.5619311332702637]
['CV', 129, 'UV', 34, 'dircolors', 'elfedit', 'V3', 'V3', 0.9683098591549296, 0.0960226058959961]
['BV', 64, 'UV', 26, 'openssl', 'ranlib', 'V2', 'V3', 0.9784121320249777, 28.429384469985962]
['BV', 19, 'CV', 281, 'cp', 'tee', 'V3', 'V1', 0.9899497487437185, 0.10751700401306152]
['BV', 12, 'CV', 160, 'sort', 'shred', 'V2', 'V3', 0.9346049046321526, 0.2359473705291748]
['BV', 1, 'CV', 156, 'libSDL2-2.0.so', 'csplit', 'V3', 'V3', 0.9942458780568773, 2.7120752334594727]
['CV', 143, 'UV', 9, 'yes', 'readelf', 'V3', 'V2', 0.9740112994350283, 0.3089258670806885]
['CV', 65, 'UV', 73, 'env', 'nm', 'V2', 'V0', 0.9837326885029677, 0.7956123352050781]
['UV', 72, 'BV', 25, 'find', 'git', 'V0', 'V3', 0.9815384615384616, 25.845818996429443]
['UV', 40, 'CV', 100, 'diff3', 'join', 'V3', 'V3', 0.9106699751861043, 0.13529276847839355]
['UV', 79, 'CV', 234, 'strings', 'hostid', 'V0', 'V0', 0.9981834695731153, 0.4820680618286133]
['BV', 50, 'CV', 236, 'sort', 'unexpand', 'V0', 'V0', 0.9529411764705882, 0.04929709434509277]
['CV', 145, 'BV', 34, 'readlink', 'svn', 'V3', 'V0', 0.9578454332552693, 0.8064746856689453]
['CV', 241, 'BV', 39, 'uname', 'svn', 'V0', 'V1', 0.9846301633045149, 0.31197333335876465]
['CV', 322, 'UV', 75, 'ginstall', 'readelf', 'V1', 'V0', 0.9695014662756598, 0.5319759845733643]
['CV', 74, 'UV', 13, 'pathchk', 'strings', 'V2', 'V2', 0.9771502478982539, 0.8139572143554688]
['BV', 18, 'CV', 298, 'sort', 'seq', 'V3', 'V1', 0.978494623655914, 0.11778926849365234]
