['CV', 122, 'BV', 9, 'sum', 'dot', 'V3', 'V2', 1.0, 0.059828996658325195]
['CV', 192, 'UV', 51, 'pwd', 'nm', 'V0', 'V1', 0.9798530954879329, 1.4734768867492676]
['BV', 15, 'CV', 249, 'libvlccore.so', 'tr', 'V3', 'V0', 0.9990813045475425, 3.3607072830200195]
['BV', 64, 'CV', 247, 'openssl', 'shred', 'V2', 'V0', 0.9970579582230068, 2.018418788909912]
['BV', 71, 'CV', 138, 'ruby', 'printf', 'V1', 'V3', 0.9941860465116279, 0.01738429069519043]
['CV', 227, 'BV', 10, 'tty', 'gvmap', 'V0', 'V2', 0.9563253012048193, 0.16480326652526855]
['UV', 29, 'BV', 32, 'objcopy', 'perl', 'V3', 'V0', 0.9662885748685127, 39.933740854263306]
['CV', 235, 'BV', 55, 'ginstall', 'codeblocks', 'V0', 'V3', 0.9926506614404703, 8.384689092636108]
['UV', 64, 'CV', 74, 'size', 'pathchk', 'V1', 'V2', 0.9974630021141649, 0.7516875267028809]
['BV', 78, 'CV', 32, 'make', 'paste', 'V2', 'V2', 0.9904030710172744, 0.3169698715209961]
['UV', 42, 'CV', 80, 'diff', 'uniq', 'V3', 'V2', 0.9780405405405406, 0.19948363304138184]
['BV', 48, 'CV', 125, 'gvmap', 'split', 'V3', 'V3', 0.973170731707317, 0.47466111183166504]
['CV', 143, 'UV', 39, 'yes', 'find', 'V3', 'V3', 0.9733333333333334, 0.450209379196167]
['CV', 123, 'BV', 78, 'chroot', 'make', 'V3', 'V2', 0.959890610756609, 0.5209822654724121]
['BV', 14, 'CV', 135, 'openssl', 'df', 'V3', 'V3', 0.9950840879689521, 4.175074100494385]
['BV', 24, 'CV', 170, 'git', 'tac', 'V0', 'V3', 0.9984455338993184, 3.678009033203125]
['UV', 62, 'CV', 45, 'ar', 'cp', 'V1', 'V2', 0.9901728844404004, 2.635641098022461]
['CV', 216, 'UV', 14, 'dircolors', 'objcopy', 'V0', 'V2', 0.9798941798941799, 0.9179441928863525]
