['BV', 61, 'CV', 34, 'cmp', 'echo', 'V0', 'V2', 0.8983050847457628, 0.024887561798095703]
['CV', 199, 'UV', 83, 'expand', 'addr2line', 'V0', 'V0', 0.9802069275753487, 0.9498112201690674]
['UV', 49, 'CV', 96, 'xargs', 'users', 'V1', 'V3', 0.9259259259259259, 0.13460445404052734]
['BV', 78, 'CV', 213, 'make', 'whoami', 'V2', 'V0', 0.9901185770750988, 0.47733092308044434]
['BV', 72, 'UV', 55, 'perl', 'ranlib', 'V1', 'V1', 0.9887961335676626, 44.91815233230591]
['CV', 106, 'UV', 32, 'pr', 'addr2line', 'V3', 'V3', 0.9657237249638654, 1.7204339504241943]
['CV', 192, 'UV', 11, 'pwd', 'ranlib', 'V0', 'V2', 0.9796582587469488, 0.7623214721679688]
['CV', 54, 'BV', 1, 'false', 'libSDL2-2.0.so', 'V2', 'V3', 0.9863574351978172, 1.5061488151550293]
['CV', 223, 'UV', 5, 'tsort', 'diff', 'V0', 'V2', 0.9193245778611632, 0.13103485107421875]
['UV', 82, 'BV', 71, 'gprof', 'ruby', 'V0', 'V1', 0.9974630021141649, 0.1343996524810791]
['BV', 53, 'UV', 76, 'ssh', 'as', 'V2', 'V0', 0.9894217207334274, 61.83426260948181]
['CV', 114, 'UV', 53, 'expr', 'readelf', 'V3', 'V1', 0.9473361910593999, 0.3962528705596924]
['BV', 59, 'CV', 144, 'make', 'who', 'V1', 'V3', 0.9854081167350661, 0.5404484272003174]
['CV', 301, 'BV', 73, 'ls', 'geany', 'V1', 'V0', 0.986984126984127, 10.207621335983276]
['CV', 291, 'UV', 36, 'pinky', 'objdump', 'V1', 'V3', 0.983866557287394, 1.385284662246704]
['CV', 76, 'BV', 57, 'comm', 'svn', 'V2', 'V2', 0.9753086419753086, 0.5119233131408691]
['CV', 167, 'BV', 53, 'uniq', 'ssh', 'V3', 'V2', 0.983938757129991, 3.9905636310577393]
['CV', 169, 'BV', 32, 'sort', 'perl', 'V3', 'V0', 0.9655233694686334, 6.625284910202026]
['BV', 53, 'UV', 80, 'ssh', 'objcopy', 'V2', 'V0', 0.9905675545313254, 56.81978225708008]
['CV', 311, 'UV', 16, 'cksum', 'gprof', 'V1', 'V2', 0.9819747646705388, 0.6761753559112549]
['UV', 42, 'CV', 258, 'diff', 'rmdir', 'V3', 'V0', 0.9866793529971456, 0.10619497299194336]
['BV', 60, 'CV', 346, 'codeblocks', 'mknod', 'V1', 'V1', 0.9992289404356487, 2.2932512760162354]
['CV', 335, 'BV', 26, 'pathchk', 'geany', 'V1', 'V2', 0.9955927325058463, 3.97682523727417]
['CV', 11, 'UV', 6, 'printenv', 'sdiff', 'V2', 'V2', 0.8798586572438163, 0.06589388847351074]
['CV', 39, 'BV', 72, 'whoami', 'perl', 'V2', 'V1', 0.9902862609463536, 1.7852883338928223]
['CV', 296, 'BV', 62, 'sum', 'diff', 'V1', 'V0', 0.907185628742515, 0.08983302116394043]
['UV', 41, 'CV', 146, 'cmp', 'head', 'V3', 'V3', 0.8782894736842105, 0.08091068267822266]
['BV', 27, 'CV', 42, 'libSDL2-2.0.so', 'dircolors', 'V1', 'V2', 0.996133130783041, 1.2491211891174316]
['UV', 28, 'CV', 333, 'strings', 'id', 'V3', 'V1', 0.9969094922737307, 0.6968746185302734]
['UV', 5, 'CV', 228, 'diff', 'false', 'V2', 'V0', 0.990234375, 0.09030723571777344]
['CV', 163, 'BV', 65, 'comm', 'ssh', 'V3', 'V1', 0.9845758354755784, 3.0524370670318604]
['BV', 50, 'CV', 173, 'sort', 'ln', 'V0', 'V3', 0.9139784946236559, 0.183729887008667]
['UV', 56, 'CV', 150, 'c++filt', 'mv', 'V1', 'V3', 0.9878273699741793, 3.306560516357422]
['UV', 9, 'CV', 104, 'readelf', 'mkfifo', 'V2', 'V3', 0.9887829500841279, 0.3138999938964844]
