['UV', 2, 'CV', 61, 'find', 'ginstall', 'V2', 'V2', 0.972972972972973, 1.4370853900909424]
['CV', 324, 'BV', 47, 'mv', 'dot', 'V1', 'V3', 1.0, 0.1311793327331543]
['CV', 332, 'BV', 45, '[', 'svn', 'V1', 'V3', 0.9843081312410842, 1.2293024063110352]
['CV', 222, 'UV', 69, 'df', 'sdiff', 'V0', 'V0', 0.8776119402985074, 0.19343256950378418]
['BV', 60, 'CV', 131, 'codeblocks', 'true', 'V1', 'V3', 0.9988475574620654, 5.294236898422241]
['CV', 182, 'BV', 12, 'du', 'sort', 'V0', 'V2', 0.9050332383665717, 0.43366217613220215]
['UV', 56, 'CV', 273, 'c++filt', 'stty', 'V1', 'V1', 0.998288403936671, 1.6373839378356934]
['BV', 52, 'CV', 262, 'libSDL2-2.0.so', 'stat', 'V2', 'V1', 0.9963645806284082, 2.149796485900879]
['UV', 66, 'CV', 255, 'diff3', 'sleep', 'V0', 'V0', 0.9657142857142857, 0.05285167694091797]
['BV', 23, 'CV', 252, 'diff', 'rm', 'V3', 'V0', 0.9736625514403292, 0.25812792778015137]
['CV', 269, 'UV', 37, 'du', 'locate', 'V1', 'V3', 0.9776, 0.4420595169067383]
['CV', 81, 'BV', 4, 'sleep', 'geany', 'V2', 'V3', 0.9941770993636402, 5.599527359008789]
['CV', 86, 'BV', 76, 'ln', 'diff', 'V2', 'V2', 0.9088729016786571, 0.2651827335357666]
['BV', 27, 'CV', 215, 'libSDL2-2.0.so', 'nice', 'V1', 'V0', 0.9974902398215282, 0.8690316677093506]
['BV', 62, 'CV', 189, 'diff', 'uptime', 'V0', 'V0', 0.9758308157099698, 0.07790899276733398]
['CV', 46, 'UV', 84, 'cut', 'ar', 'V2', 'V0', 0.977296181630547, 1.1193623542785645]
['CV', 208, 'BV', 57, 'echo', 'svn', 'V0', 'V2', 0.9875, 0.3492419719696045]
['BV', 19, 'CV', 296, 'cp', 'sum', 'V3', 'V1', 0.9901864573110893, 0.12737798690795898]
['UV', 27, 'CV', 100, 'c++filt', 'join', 'V3', 'V3', 0.9949141767323586, 1.3412461280822754]
['UV', 36, 'BV', 74, 'objdump', 'git', 'V3', 'V1', 0.9732245022503624, 89.28181529045105]
['BV', 29, 'CV', 285, 'perl', 'factor', 'V3', 'V1', 0.998724388104919, 1.54707670211792]
['CV', 300, 'UV', 19, 'whoami', 'elfedit', 'V1', 'V2', 0.959079283887468, 0.04856109619140625]
['UV', 21, 'CV', 98, 'objdump', 'printenv', 'V2', 'V3', 0.9972062703709452, 1.120267391204834]
['BV', 32, 'CV', 100, 'perl', 'join', 'V0', 'V3', 0.9974028383266859, 2.9313485622406006]
['CV', 118, 'UV', 77, 'sha1sum', 'ranlib', 'V3', 'V0', 0.9745484400656814, 1.2041807174682617]
['CV', 311, 'UV', 44, 'cksum', 'diff3', 'V1', 'V1', 0.8790170132325141, 0.0556793212890625]
['UV', 27, 'BV', 66, 'c++filt', 'lua', 'V3', 'V1', 0.9761558592614132, 7.744250059127808]
['CV', 238, 'BV', 36, 'md5sum', 'libvlc.so', 'V0', 'V2', 0.9902296042989741, 0.4213998317718506]
['CV', 183, 'UV', 65, 'users', 'objdump', 'V0', 'V1', 0.9867209898898446, 1.0851895809173584]
['BV', 8, 'CV', 11, 'cluster', 'printenv', 'V2', 'V2', 0.9876160990712074, 0.18904709815979004]
['BV', 42, 'CV', 119, 'libvlc.so', 'paste', 'V1', 'V3', 0.9937007874015749, 0.4073066711425781]
['UV', 69, 'BV', 3, 'sdiff', 'diff', 'V0', 'V1', 0.9100169779286927, 0.2482929229736328]
['UV', 67, 'CV', 74, 'cmp', 'pathchk', 'V0', 'V2', 0.950207468879668, 0.051659584045410156]
['CV', 173, 'BV', 79, 'ln', 'bash', 'V3', 'V3', 0.9727593104105153, 4.815788984298706]
['CV', 205, 'BV', 69, 'sha1sum', 'gvmap', 'V0', 'V0', 0.964516129032258, 0.19917941093444824]
['CV', 121, 'BV', 77, 'echo', 'perl', 'V3', 'V2', 0.9894035941862963, 2.4165496826171875]
['CV', 231, 'UV', 11, 'who', 'ranlib', 'V0', 'V2', 0.9794313369630974, 0.9534509181976318]
['BV', 79, 'CV', 232, 'bash', 'readlink', 'V3', 'V0', 0.9978181096895765, 1.2825374603271484]
['BV', 43, 'CV', 102, 'lua', 'uptime', 'V0', 'V3', 0.9887218045112782, 0.6868677139282227]
['CV', 307, 'BV', 14, 'cut', 'openssl', 'V1', 'V3', 0.9942716857610474, 1.8514213562011719]
['CV', 191, 'BV', 25, 'mkfifo', 'git', 'V0', 'V3', 0.9963136157285729, 3.5321061611175537]
['BV', 80, 'CV', 83, 'cluster', 'tac', 'V1', 'V2', 0.9677033492822966, 0.5189452171325684]
['UV', 8, 'CV', 97, 'strip', 'ptx', 'V2', 'V3', 0.9939617577993962, 1.9831628799438477]
['UV', 3, 'CV', 44, 'diff3', 'true', 'V2', 'V2', 0.9711191335740073, 0.05545759201049805]
['UV', 55, 'CV', 269, 'ranlib', 'du', 'V1', 'V1', 0.9938791124713083, 1.6925063133239746]
['BV', 73, 'CV', 75, 'geany', 'tr', 'V0', 'V2', 0.9991418150611456, 4.086071252822876]
['CV', 37, 'UV', 66, 'seq', 'diff3', 'V2', 'V0', 0.8715890850722312, 0.07729244232177734]
['BV', 58, 'UV', 87, 'ruby', 'objdump', 'V3', 'V0', 0.9968178202068417, 0.23456192016601562]
['CV', 144, 'UV', 44, 'who', 'diff3', 'V3', 'V1', 0.8807212205270458, 0.11143064498901367]
['BV', 58, 'UV', 60, 'ruby', 'gprof', 'V3', 'V1', 0.9951554299555915, 0.18204522132873535]
['UV', 42, 'CV', 279, 'diff', 'pwd', 'V3', 'V1', 0.9835164835164835, 0.13545918464660645]
['CV', 38, 'BV', 18, 'split', 'sort', 'V2', 'V3', 0.931637519872814, 0.2936227321624756]
['CV', 123, 'BV', 83, 'chroot', 'git', 'V3', 'V2', 0.9900312066574203, 5.864427089691162]
['UV', 74, 'CV', 345, 'strip', 'rmdir', 'V0', 'V1', 0.9982841455044612, 0.6600806713104248]
['UV', 80, 'CV', 142, 'objcopy', 'nohup', 'V0', 'V3', 0.9949630624580256, 1.1936993598937988]
['CV', 239, 'UV', 62, 'env', 'ar', 'V0', 'V1', 0.9870208882579599, 0.6363117694854736]
['CV', 162, 'BV', 22, 'tr', 'cmp', 'V3', 'V3', 0.9195979899497487, 0.08020544052124023]
