['CV', 182, 'UV', 39, 'du', 'find', 'V0', 'V3', 0.9728395061728395, 1.6814804077148438]
['UV', 49, 'CV', 240, 'xargs', 'link', 'V1', 'V0', 0.9540229885057472, 0.07682132720947266]
['CV', 191, 'UV', 72, 'mkfifo', 'find', 'V0', 'V0', 0.9137645107794361, 0.3138551712036133]
['CV', 293, 'UV', 55, 'paste', 'ranlib', 'V1', 'V1', 0.9838449111470113, 1.2314321994781494]
['CV', 148, 'BV', 6, 'ginstall', 'libvlc.so', 'V3', 'V0', 0.9830866807610994, 1.4390404224395752]
['CV', 264, 'UV', 16, 'test', 'gprof', 'V1', 'V2', 0.9809031231350707, 0.8469054698944092]
['BV', 44, 'CV', 272, 'make', 'printenv', 'V0', 'V1', 0.994556341861731, 0.20447278022766113]
['CV', 282, 'UV', 3, 'chgrp', 'diff3', 'V1', 'V2', 0.8877697841726618, 0.10770702362060547]
['CV', 102, 'BV', 56, 'uptime', 'ssh', 'V3', 'V3', 0.9789947486871718, 1.9003982543945312]
['BV', 12, 'CV', 26, 'sort', 'date', 'V2', 'V2', 0.9676724137931034, 0.15821504592895508]
['UV', 67, 'CV', 13, 'cmp', 'join', 'V0', 'V2', 0.8875638841567292, 0.08040928840637207]
['BV', 19, 'CV', 119, 'cp', 'paste', 'V3', 'V3', 0.9708826205641492, 0.17940425872802734]
['BV', 16, 'CV', 33, 'libvlc.so', 'sync', 'V3', 'V2', 0.9941118743866536, 0.34586524963378906]
['BV', 26, 'CV', 115, 'geany', 'chown', 'V2', 'V3', 0.9985833812917791, 9.176574230194092]
['CV', 153, 'UV', 10, 'link', 'as', 'V3', 'V2', 0.9812332439678284, 1.4551610946655273]
['CV', 267, 'BV', 3, 'fmt', 'diff', 'V1', 'V1', 0.921443736730361, 0.1259019374847412]
['CV', 6, 'UV', 70, 'fmt', 'locate', 'V2', 'V0', 0.9100591715976332, 0.12990164756774902]
['UV', 26, 'CV', 147, 'ranlib', 'hostid', 'V3', 'V3', 0.9967320261437909, 0.8818130493164062]
['CV', 241, 'UV', 17, 'uname', 'addr2line', 'V0', 'V2', 0.9821506312581628, 0.5755784511566162]
['CV', 335, 'BV', 16, 'pathchk', 'libvlc.so', 'V1', 'V3', 0.9910492292391845, 0.3709831237792969]
['CV', 236, 'BV', 8, 'unexpand', 'cluster', 'V0', 'V2', 0.9716981132075472, 0.1832749843597412]
['UV', 74, 'CV', 285, 'strip', 'factor', 'V0', 'V1', 0.9979476654694716, 0.7499959468841553]
['CV', 147, 'BV', 25, 'hostid', 'git', 'V3', 'V3', 0.9948943122638619, 5.445848703384399]
['CV', 154, 'UV', 1, 'uname', 'xargs', 'V3', 'V2', 0.869031377899045, 0.10313200950622559]
['UV', 46, 'CV', 125, 'diff', 'split', 'V1', 'V3', 0.9700910273081924, 0.3550987243652344]
['CV', 32, 'UV', 39, 'paste', 'find', 'V2', 'V3', 0.9683830171635049, 0.37467193603515625]
['CV', 128, 'UV', 54, 'nice', 'as', 'V3', 'V1', 0.9800861141011841, 1.4381036758422852]
['BV', 43, 'CV', 338, 'lua', 'nl', 'V0', 'V1', 0.9851327433628319, 0.8904390335083008]
['UV', 68, 'CV', 157, 'diff', 'vdir', 'V0', 'V3', 0.9364691508857667, 0.5203063488006592]
['UV', 53, 'CV', 245, 'readelf', '[', 'V1', 'V0', 0.9877384196185286, 0.21336889266967773]
['BV', 81, 'CV', 207, 'dot', 'sync', 'V1', 'V0', 0.9897959183673469, 0.017731189727783203]
['UV', 4, 'CV', 340, 'cmp', 'fold', 'V2', 'V1', 0.9592760180995475, 0.04132580757141113]
['BV', 38, 'CV', 26, 'ruby', 'date', 'V2', 'V2', 0.9935483870967742, 0.016498088836669922]
['UV', 61, 'CV', 53, 'addr2line', 'tty', 'V1', 'V2', 0.9970225435984688, 0.6940340995788574]
['BV', 39, 'UV', 53, 'svn', 'readelf', 'V1', 'V1', 0.9654320987654321, 1.9392530918121338]
['CV', 300, 'BV', 57, 'whoami', 'svn', 'V1', 'V2', 0.9818181818181818, 0.32991909980773926]
['BV', 28, 'CV', 191, 'openssl', 'mkfifo', 'V1', 'V0', 0.999400449662753, 2.0905401706695557]
['UV', 4, 'BV', 27, 'cmp', 'libSDL2-2.0.so', 'V2', 'V1', 0.9816914879081842, 2.1534652709960938]
