['BV', 5, 'UV', 65, 'libvlccore.so', 'objdump', 'V0', 'V1', 0.9775736092020545, 38.39605522155762]
['BV', 83, 'CV', 266, 'git', 'mkdir', 'V2', 'V1', 0.9990428540352404, 3.71486234664917]
['BV', 47, 'CV', 250, 'dot', 'comm', 'V3', 'V0', 0.9916666666666667, 0.022920608520507812]
['CV', 268, 'UV', 27, 'dir', 'c++filt', 'V1', 'V3', 0.9735919125232102, 2.1006734371185303]
['CV', 178, 'UV', 56, 'basename', 'c++filt', 'V0', 'V1', 0.9843205574912892, 0.6012272834777832]
['BV', 31, 'CV', 184, 'codeblocks', 'ptx', 'V0', 'V0', 0.9979352174474125, 6.191474437713623]
['CV', 180, 'BV', 72, 'fmt', 'perl', 'V0', 'V1', 0.9912998599129986, 1.5882444381713867]
['UV', 8, 'BV', 57, 'strip', 'svn', 'V2', 'V2', 0.9900657806416969, 7.9861369132995605]
['CV', 187, 'BV', 55, 'join', 'codeblocks', 'V0', 'V3', 0.9952762757163279, 4.262492418289185]
['CV', 70, 'UV', 29, 'vdir', 'objcopy', 'V2', 'V3', 0.9731254147312541, 3.097933292388916]
['UV', 79, 'CV', 110, 'strings', 'wc', 'V0', 'V3', 0.9961005199306759, 1.168823003768921]
['BV', 40, 'CV', 318, 'lua', 'who', 'V2', 'V1', 0.9965940054495913, 0.5427281856536865]
['BV', 18, 'CV', 72, 'sort', 'id', 'V3', 'V2', 0.9816176470588235, 0.15767931938171387]
['CV', 302, 'BV', 55, 'nice', 'codeblocks', 'V1', 'V3', 0.9971251796762702, 2.9072744846343994]
['BV', 20, 'CV', 253, 'sort', 'fold', 'V1', 'V0', 0.9692307692307692, 0.05731320381164551]
['UV', 81, 'CV', 123, 'ld', 'chroot', 'V0', 'V3', 0.9961072016768977, 1.5417251586914062]
['CV', 146, 'UV', 49, 'head', 'xargs', 'V3', 'V1', 0.910828025477707, 0.0878453254699707]
['BV', 54, 'CV', 174, 'lua', 'touch', 'V3', 'V0', 0.9962001266624446, 0.6091187000274658]
['UV', 35, 'CV', 44, 'size', 'true', 'V3', 'V2', 0.9973695747479175, 0.6312129497528076]
['UV', 4, 'BV', 54, 'cmp', 'lua', 'V2', 'V3', 0.9695935463853552, 0.7554583549499512]
['CV', 87, 'BV', 30, 'touch', 'bash', 'V3', 'V0', 0.9703885116330847, 2.9599249362945557]
['CV', 51, 'UV', 13, 'printf', 'strings', 'V2', 'V2', 0.9763463569165787, 1.1667335033416748]
['UV', 75, 'CV', 167, 'readelf', 'uniq', 'V0', 'V3', 0.9872530274059911, 0.37056565284729004]
['CV', 77, 'UV', 61, 'nl', 'addr2line', 'V2', 'V1', 0.9601105845181674, 1.991926908493042]
['UV', 61, 'CV', 334, 'addr2line', 'shred', 'V1', 'V1', 0.9950300269206875, 1.2175493240356445]
['BV', 1, 'CV', 147, 'libSDL2-2.0.so', 'hostid', 'V3', 'V3', 0.9963858143212108, 1.5381450653076172]
['CV', 316, 'BV', 37, 'nohup', 'geany', 'V1', 'V1', 0.9935226472659, 5.107229471206665]
['CV', 226, 'BV', 71, 'logname', 'ruby', 'V0', 'V1', 0.9871794871794872, 0.008345842361450195]
['UV', 10, 'CV', 283, 'as', 'kill', 'V2', 'V1', 0.9983761840324763, 0.9873127937316895]
['CV', 304, 'BV', 68, 'chmod', 'dot', 'V1', 'V0', 0.995, 0.04444622993469238]
['CV', 273, 'UV', 61, 'stty', 'addr2line', 'V1', 'V1', 0.9805579036348268, 0.9146707057952881]
['CV', 187, 'UV', 57, 'join', 'strings', 'V0', 'V1', 0.972990082295843, 1.221489429473877]
['CV', 163, 'UV', 80, 'comm', 'objcopy', 'V3', 'V0', 0.9762898647520454, 1.5807745456695557]
['UV', 45, 'CV', 210, 'cmp', 'chroot', 'V1', 'V0', 0.9618138424821002, 0.037654876708984375]
['UV', 74, 'CV', 304, 'strip', 'chmod', 'V0', 'V1', 0.9956796277833168, 1.4706852436065674]
['BV', 57, 'UV', 22, 'svn', 'nm', 'V2', 'V3', 0.9585992217898833, 7.811892032623291]
['CV', 173, 'BV', 34, 'ln', 'svn', 'V3', 'V0', 0.9765984120351023, 1.1152775287628174]
['CV', 248, 'BV', 62, 'pathchk', 'diff', 'V0', 'V0', 0.8915470494417863, 0.07228350639343262]
['CV', 309, 'BV', 62, 'df', 'diff', 'V1', 'V0', 0.8865435356200527, 0.12135624885559082]
['UV', 29, 'CV', 71, 'objcopy', '[', 'V3', 'V2', 0.9968045446476123, 1.0372788906097412]
['BV', 74, 'CV', 93, 'git', 'fmt', 'V1', 'V3', 0.9988656870327404, 4.416883707046509]
['CV', 224, 'BV', 42, 'cksum', 'libvlc.so', 'V0', 'V1', 0.9876265466816648, 0.32933783531188965]
['BV', 45, 'CV', 84, 'svn', 'rmdir', 'V3', 'V2', 0.9929750614682121, 0.6308376789093018]
['UV', 71, 'CV', 64, 'xargs', 'md5sum', 'V0', 'V2', 0.9285714285714286, 0.051448822021484375]
['CV', 99, 'BV', 12, 'stty', 'sort', 'V3', 'V2', 0.8777555110220441, 0.19274115562438965]
['UV', 43, 'CV', 33, 'sdiff', 'sync', 'V3', 'V2', 0.9540636042402827, 0.06222414970397949]
['BV', 47, 'CV', 104, 'dot', 'mkfifo', 'V3', 'V3', 0.9935897435897436, 0.029196739196777344]
['CV', 300, 'UV', 5, 'whoami', 'diff', 'V1', 'V2', 0.9233716475095786, 0.12367725372314453]
['BV', 80, 'CV', 181, 'cluster', 'dir', 'V1', 'V0', 0.9705159705159705, 0.5563411712646484]
['UV', 14, 'CV', 151, 'objcopy', 'md5sum', 'V2', 'V3', 0.9948168624740843, 1.3742878437042236]
['CV', 50, 'BV', 70, 'cksum', 'ssh', 'V2', 'V0', 0.9858501690118702, 1.8754148483276367]
['UV', 28, 'BV', 55, 'strings', 'codeblocks', 'V3', 'V3', 0.9837776348978683, 60.60089135169983]
['UV', 87, 'CV', 337, 'objdump', 'comm', 'V0', 'V1', 0.9981337480559875, 0.9397118091583252]
['UV', 2, 'CV', 63, 'find', 'mv', 'V2', 'V2', 0.9807135969141755, 0.7462301254272461]
['CV', 269, 'BV', 27, 'du', 'libSDL2-2.0.so', 'V1', 'V1', 0.973437080762007, 3.1943345069885254]
