['BV', 53, 'UV', 33, 'ssh', 'ar', 'V2', 'V3', 0.9905917025617774, 44.45447611808777]
['UV', 31, 'CV', 51, 'gprof', 'printf', 'V3', 'V2', 0.99723429474516, 1.1835744380950928]
['BV', 53, 'CV', 256, 'ssh', 'sort', 'V2', 'V0', 0.9986495611073599, 3.3312606811523438]
['UV', 29, 'BV', 20, 'objcopy', 'sort', 'V3', 'V1', 0.9958826556870818, 1.7549123764038086]
['BV', 36, 'CV', 329, 'libvlc.so', 'cat', 'V2', 'V1', 0.9950347567030785, 0.28890180587768555]
['CV', 35, 'BV', 57, 'sum', 'svn', 'V2', 'V2', 0.9817601459188326, 0.5299229621887207]
['CV', 320, 'BV', 27, 'head', 'libSDL2-2.0.so', 'V1', 'V1', 0.9839779005524862, 1.5982542037963867]
['CV', 258, 'BV', 13, 'rmdir', 'cp', 'V0', 'V2', 0.9193154034229829, 0.09000420570373535]
['BV', 20, 'CV', 18, 'sort', 'pwd', 'V1', 'V2', 0.9544072948328267, 0.0844271183013916]
['CV', 93, 'BV', 22, 'fmt', 'cmp', 'V3', 'V3', 0.929701230228471, 0.07340645790100098]
['CV', 311, 'BV', 18, 'cksum', 'sort', 'V1', 'V3', 0.9324055666003976, 0.11772918701171875]
['UV', 13, 'CV', 255, 'strings', 'sleep', 'V2', 'V0', 0.9965103598691385, 0.5796880722045898]
['CV', 1, 'UV', 63, 'stat', 'elfedit', 'V2', 'V1', 0.9834710743801653, 0.07619786262512207]
['CV', 26, 'UV', 69, 'date', 'sdiff', 'V2', 'V0', 0.9149560117302052, 0.0989985466003418]
['BV', 50, 'CV', 64, 'sort', 'md5sum', 'V0', 'V2', 0.9414802065404475, 0.07272624969482422]
['CV', 137, 'UV', 54, 'cksum', 'as', 'V3', 'V1', 0.9790463398253861, 1.4976515769958496]
['CV', 190, 'BV', 53, 'dd', 'ssh', 'V0', 'V2', 0.9856787517901561, 3.595430374145508]
['UV', 60, 'CV', 35, 'gprof', 'sum', 'V1', 'V2', 0.9976762199845082, 0.9997472763061523]
['UV', 64, 'CV', 196, 'size', 'kill', 'V1', 'V0', 0.9974424552429667, 0.6421875953674316]
['BV', 20, 'CV', 141, 'sort', 'false', 'V1', 'V3', 0.9658914728682171, 0.07962322235107422]
['CV', 333, 'UV', 40, 'id', 'diff3', 'V1', 'V3', 0.9067357512953368, 0.0703897476196289]
['CV', 216, 'UV', 70, 'dircolors', 'locate', 'V0', 'V0', 0.8933002481389578, 0.1110374927520752]
['CV', 11, 'UV', 12, 'printenv', 'c++filt', 'V2', 'V2', 0.9790301441677588, 0.7375335693359375]
['UV', 20, 'CV', 173, 'size', 'ln', 'V2', 'V3', 0.9897029702970297, 2.09086012840271]
['CV', 119, 'BV', 79, 'paste', 'bash', 'V3', 'V3', 0.9821411048964773, 2.363985776901245]
['CV', 86, 'BV', 0, 'ln', 'bash', 'V2', 'V2', 0.9773187525313892, 2.5505144596099854]
['CV', 67, 'BV', 18, 'uname', 'sort', 'V2', 'V3', 0.9066666666666666, 0.1428694725036621]
['CV', 175, 'BV', 59, 'stat', 'make', 'V0', 'V1', 0.9687957094100439, 0.34207868576049805]
['UV', 26, 'CV', 85, 'ranlib', 'mknod', 'V3', 'V2', 0.99589995899959, 0.8160610198974609]
['BV', 40, 'CV', 70, 'lua', 'vdir', 'V2', 'V2', 0.9874925550923168, 1.4072093963623047]
['UV', 29, 'CV', 293, 'objcopy', 'paste', 'V3', 'V1', 0.9978343259339469, 0.6477434635162354]
['CV', 150, 'UV', 78, 'mv', 'c++filt', 'V3', 'V0', 0.9619010967866076, 3.3427388668060303]
['UV', 28, 'CV', 41, 'strings', 'nice', 'V3', 'V2', 0.9964904584338671, 0.7433691024780273]
['BV', 43, 'CV', 79, 'lua', 'fold', 'V0', 'V2', 0.9889676910953507, 0.42977070808410645]
['CV', 146, 'BV', 42, 'head', 'libvlc.so', 'V3', 'V1', 0.9755725190839695, 0.5811042785644531]
['CV', 123, 'BV', 51, 'chroot', 'cp', 'V3', 'V0', 0.8860244233378561, 0.11771512031555176]
['BV', 23, 'CV', 168, 'diff', 'sleep', 'V3', 'V3', 0.9689387402933564, 0.18012595176696777]
['CV', 226, 'UV', 84, 'logname', 'ar', 'V0', 'V0', 0.9868365180467091, 0.611243724822998]
