['BV', 82, 'CV', 111, 'gvmap', 'factor', 'V1', 'V3', 0.9677219118559901, 0.8602404594421387]
['CV', 136, 'UV', 34, 'tsort', 'elfedit', 'V3', 'V3', 0.9717813051146384, 0.18763136863708496]
['CV', 344, 'UV', 30, 'tac', 'ld', 'V1', 'V3', 0.9621304999318894, 5.396085023880005]
['BV', 33, 'CV', 227, 'openssl', 'tty', 'V0', 'V0', 0.999471430836725, 1.607238531112671]
['UV', 80, 'BV', 58, 'objcopy', 'ruby', 'V0', 'V3', 0.9979013641133263, 0.14160776138305664]
['CV', 14, 'UV', 63, 'dirname', 'elfedit', 'V2', 'V1', 0.9772209567198178, 0.05925631523132324]
['CV', 0, 'BV', 35, 'touch', 'libvlccore.so', 'V2', 'V2', 0.9908424908424909, 2.237368106842041]
['BV', 19, 'UV', 74, 'cp', 'strip', 'V3', 'V0', 0.9675195342423778, 3.5788614749908447]
['UV', 7, 'CV', 104, 'nm', 'mkfifo', 'V2', 'V3', 0.9945697577276524, 0.8753273487091064]
['CV', 64, 'BV', 19, 'md5sum', 'cp', 'V2', 'V3', 0.9224952741020794, 0.16119623184204102]
['BV', 46, 'CV', 201, 'cluster', 'expr', 'V3', 'V0', 0.9696417729204615, 0.4714524745941162]
['CV', 318, 'BV', 4, 'who', 'geany', 'V1', 'V3', 0.9937635123898221, 5.9379048347473145]
['UV', 71, 'CV', 268, 'xargs', 'dir', 'V0', 'V1', 0.9065420560747663, 0.11920809745788574]
['CV', 81, 'UV', 18, 'sleep', 'ar', 'V2', 'V2', 0.9790068631408962, 0.8891944885253906]
['BV', 30, 'CV', 156, 'bash', 'csplit', 'V0', 'V3', 0.9961943138571748, 2.6228768825531006]
['CV', 332, 'UV', 22, '[', 'nm', 'V1', 'V3', 0.9798196650923143, 0.8209376335144043]
['BV', 49, 'CV', 208, 'make', 'echo', 'V3', 'V0', 0.9943714821763602, 0.24423742294311523]
['CV', 111, 'BV', 12, 'factor', 'sort', 'V3', 'V2', 0.9071090047393365, 0.21465420722961426]
['CV', 42, 'UV', 67, 'dircolors', 'cmp', 'V2', 'V0', 0.8913480885311871, 0.056463003158569336]
['CV', 44, 'BV', 51, 'true', 'cp', 'V2', 'V0', 0.8731218697829717, 0.07256102561950684]
