['BV', 49, 'CV', 341, 'make', 'uniq', 'V3', 'V1', 0.9864559819413092, 0.7619888782501221]
['UV', 64, 'CV', 22, 'size', 'kill', 'V1', 'V2', 0.9966244725738397, 1.6662235260009766]
['CV', 56, 'BV', 69, 'yes', 'gvmap', 'V2', 'V0', 0.9626016260162602, 0.39182043075561523]
['BV', 72, 'CV', 300, 'perl', 'whoami', 'V1', 'V1', 0.9989658738366081, 2.216106653213501]
['CV', 236, 'BV', 74, 'unexpand', 'git', 'V0', 'V1', 0.9936662859516145, 1.752488374710083]
['BV', 70, 'CV', 147, 'ssh', 'hostid', 'V0', 'V3', 0.9985892311309664, 1.805086612701416]
['CV', 261, 'UV', 33, 'touch', 'ar', 'V1', 'V3', 0.9763506625891947, 0.9516370296478271]
['CV', 123, 'BV', 24, 'chroot', 'git', 'V3', 'V0', 0.9885126241474214, 3.620232105255127]
['CV', 254, 'BV', 39, 'uniq', 'svn', 'V0', 'V1', 0.9777468706536857, 0.46776866912841797]
['UV', 2, 'CV', 105, 'find', 'pwd', 'V2', 'V3', 0.9858156028368794, 0.283951997756958]
['UV', 81, 'CV', 205, 'ld', 'sha1sum', 'V0', 'V0', 0.998171289241085, 0.9511542320251465]
['CV', 270, 'BV', 76, 'users', 'diff', 'V1', 'V2', 0.9217148182665424, 0.1531062126159668]
['BV', 68, 'UV', 76, 'dot', 'as', 'V0', 'V0', 0.9907979870596693, 0.526141881942749]
['CV', 178, 'BV', 1, 'basename', 'libSDL2-2.0.so', 'V0', 'V3', 0.9879023054097238, 1.24249267578125]
['BV', 28, 'CV', 215, 'openssl', 'nice', 'V1', 'V0', 0.9995004246390568, 2.1139914989471436]
['UV', 1, 'BV', 35, 'xargs', 'libvlccore.so', 'V2', 'V2', 0.9890710382513661, 5.278154611587524]
['BV', 26, 'CV', 5, 'geany', 'mkdir', 'V2', 'V2', 0.9991960696739616, 5.565187215805054]
['CV', 275, 'BV', 3, 'dirname', 'diff', 'V1', 'V1', 0.9389978213507625, 0.11027956008911133]
['BV', 58, 'CV', 65, 'ruby', 'env', 'V3', 'V2', 0.9900990099009901, 0.010876655578613281]
['CV', 131, 'UV', 74, 'true', 'strip', 'V3', 'V0', 0.9803389830508474, 1.070133924484253]
