['CV', 63, 'BV', 81, 'mv', 'dot', 'V2', 'V1', 1.0, 0.07070279121398926]
['UV', 16, 'CV', 152, 'gprof', 'env', 'V2', 'V3', 0.9972581276929103, 2.195523500442505]
['CV', 303, 'BV', 63, 'dircolors', 'ruby', 'V1', 'V0', 0.9927424476095437, 6.656098365783691]
['UV', 58, 'CV', 117, 'objcopy', 'pinky', 'V1', 'V3', 0.9964692665703739, 3.059318780899048]
['UV', 74, 'BV', 31, 'strip', 'codeblocks', 'V0', 'V0', 0.9815038977388273, 73.65941619873047]
['BV', 38, 'UV', 42, 'ruby', 'diff', 'V2', 'V3', 0.9957939011566772, 0.04576897621154785]
['CV', 320, 'BV', 26, 'head', 'geany', 'V1', 'V2', 0.9943497757847534, 5.392516851425171]
['UV', 66, 'CV', 232, 'diff3', 'readlink', 'V0', 'V0', 0.9553903345724907, 0.054938316345214844]
['BV', 51, 'UV', 3, 'cp', 'diff3', 'V0', 'V2', 0.9081015719467956, 0.14041543006896973]
['CV', 290, 'BV', 37, 'tail', 'geany', 'V1', 'V1', 0.9926278462112729, 7.5547709465026855]
['CV', 199, 'BV', 13, 'expand', 'cp', 'V0', 'V2', 0.930952380952381, 0.10259723663330078]
['CV', 285, 'UV', 57, 'factor', 'strings', 'V1', 'V1', 0.9811280291657731, 0.7139163017272949]
['UV', 65, 'CV', 142, 'objdump', 'nohup', 'V1', 'V3', 0.9973266003267488, 1.4203603267669678]
['BV', 35, 'UV', 23, 'libvlccore.so', 'strip', 'V2', 'V3', 0.9822433954092681, 35.519782066345215]
['BV', 80, 'CV', 49, 'cluster', 'tsort', 'V1', 'V2', 0.9865370231862378, 0.23015165328979492]
['BV', 57, 'CV', 65, 'svn', 'env', 'V2', 'V2', 0.99154532644434, 0.3929777145385742]
['UV', 71, 'BV', 76, 'xargs', 'diff', 'V0', 'V2', 0.9084507042253521, 0.1824660301208496]
['UV', 27, 'CV', 81, 'c++filt', 'sleep', 'V3', 'V2', 0.9964664310954063, 0.7781782150268555]
['UV', 80, 'CV', 112, 'objcopy', 'expand', 'V0', 'V3', 0.9953043769914472, 1.2420902252197266]
['BV', 54, 'CV', 311, 'lua', 'cksum', 'V3', 'V1', 0.9973975276512687, 0.3843414783477783]
['CV', 307, 'BV', 80, 'cut', 'cluster', 'V1', 'V1', 0.948051948051948, 0.22094368934631348]
['BV', 51, 'CV', 128, 'cp', 'nice', 'V0', 'V3', 0.9431988041853513, 0.08626866340637207]
['CV', 103, 'UV', 52, 'dd', 'strip', 'V3', 'V1', 0.9668884419000464, 2.633221387863159]
['CV', 33, 'BV', 61, 'sync', 'cmp', 'V2', 'V0', 0.9594594594594594, 0.026355743408203125]
['BV', 49, 'CV', 322, 'make', 'ginstall', 'V3', 'V1', 0.9743795036028823, 0.8511886596679688]
['UV', 70, 'CV', 234, 'locate', 'hostid', 'V0', 'V0', 0.9815059445178336, 0.0685570240020752]
['BV', 23, 'CV', 251, 'diff', 'nl', 'V3', 'V0', 0.954834156669019, 0.3404049873352051]
['CV', 16, 'BV', 59, 'dd', 'make', 'V2', 'V1', 0.9536748329621381, 0.606621265411377]
['UV', 27, 'CV', 51, 'c++filt', 'printf', 'V3', 'V2', 0.9956672443674177, 1.0808863639831543]
['UV', 53, 'BV', 24, 'readelf', 'git', 'V1', 'V0', 0.9610147465958528, 15.230488777160645]
['CV', 73, 'UV', 50, 'shred', 'find', 'V2', 'V1', 0.9252232142857143, 0.43813204765319824]
['CV', 70, 'UV', 85, 'vdir', 'elfedit', 'V2', 'V0', 0.9865319865319865, 0.17623114585876465]
['CV', 38, 'UV', 33, 'split', 'ar', 'V2', 'V3', 0.9676273193841295, 1.6695618629455566]
['CV', 51, 'UV', 73, 'printf', 'nm', 'V2', 'V0', 0.9772824689241321, 1.245612382888794]
['CV', 31, 'UV', 6, 'sha1sum', 'sdiff', 'V2', 'V2', 0.8925081433224755, 0.0815732479095459]
['CV', 316, 'UV', 75, 'nohup', 'readelf', 'V1', 'V0', 0.9797687861271677, 0.2247464656829834]
['BV', 79, 'CV', 230, 'bash', 'yes', 'V3', 'V0', 0.998607657881651, 1.0873289108276367]
['UV', 47, 'CV', 314, 'sdiff', 'tty', 'V1', 'V1', 0.9580952380952381, 0.06136631965637207]
['BV', 18, 'UV', 6, 'sort', 'sdiff', 'V3', 'V2', 0.9524940617577197, 0.2653656005859375]
['CV', 78, 'UV', 61, 'rm', 'addr2line', 'V2', 'V1', 0.9732088491982951, 1.67655348777771]
['UV', 50, 'CV', 97, 'find', 'ptx', 'V1', 'V3', 0.9810725552050473, 0.5213356018066406]
['BV', 78, 'CV', 292, 'make', 'sha1sum', 'V2', 'V1', 0.9893719806763285, 0.34520602226257324]
['UV', 21, 'CV', 201, 'objdump', 'expr', 'V2', 'V0', 0.9955575299866726, 2.464552402496338]
['BV', 8, 'CV', 145, 'cluster', 'readlink', 'V2', 'V3', 0.9693165969316597, 0.3310844898223877]
['BV', 75, 'CV', 225, 'cmp', 'printf', 'V2', 'V0', 0.9408033826638478, 0.0494999885559082]
['BV', 81, 'CV', 129, 'dot', 'dircolors', 'V1', 'V3', 0.9943977591036415, 0.03265738487243652]
['CV', 106, 'BV', 70, 'pr', 'ssh', 'V3', 'V0', 0.9784565669000539, 4.728800296783447]
['BV', 78, 'CV', 321, 'make', 'hostid', 'V2', 'V1', 0.991106719367589, 0.234588623046875]
['BV', 24, 'CV', 160, 'git', 'shred', 'V0', 'V3', 0.9984586198719468, 5.3415210247039795]
['CV', 276, 'BV', 83, 'uptime', 'git', 'V1', 'V2', 0.9945964789959909, 3.6542556285858154]
['UV', 13, 'BV', 62, 'strings', 'diff', 'V2', 'V0', 0.993103448275862, 1.7479009628295898]
['CV', 329, 'UV', 37, 'cat', 'locate', 'V1', 'V3', 0.9775051124744376, 0.15620112419128418]
['BV', 51, 'UV', 46, 'cp', 'diff', 'V0', 'V1', 0.9128171763175016, 0.3760838508605957]
['CV', 143, 'UV', 77, 'yes', 'ranlib', 'V3', 'V0', 0.9787897691827823, 0.9718074798583984]
['UV', 19, 'CV', 156, 'elfedit', 'csplit', 'V2', 'V3', 0.9575757575757575, 0.11654210090637207]
['BV', 11, 'CV', 82, 'bash', 'sort', 'V1', 'V2', 0.9933959343720978, 4.3728461265563965]
['CV', 301, 'UV', 59, 'ls', 'ld', 'V1', 'V1', 0.9739761676482673, 3.0882089138031006]
['UV', 31, 'CV', 306, 'gprof', 'cp', 'V3', 'V1', 0.9953943580886586, 1.754835844039917]
['BV', 20, 'CV', 206, 'sort', 'paste', 'V1', 'V0', 0.9619377162629758, 0.05279827117919922]
['CV', 47, 'BV', 72, 'od', 'perl', 'V2', 'V1', 0.9864727272727273, 3.3025665283203125]
['BV', 43, 'UV', 83, 'lua', 'addr2line', 'V0', 'V0', 0.9616835118419068, 7.616498708724976]
['BV', 5, 'CV', 44, 'libvlccore.so', 'true', 'V0', 'V2', 0.9992020215454183, 1.0474681854248047]
['CV', 283, 'UV', 57, 'kill', 'strings', 'V1', 'V1', 0.9785729590743518, 0.7291731834411621]
['CV', 105, 'BV', 25, 'pwd', 'git', 'V3', 'V3', 0.9932049060578263, 7.36351466178894]
['BV', 77, 'CV', 282, 'perl', 'chgrp', 'V2', 'V1', 0.9985768163381484, 3.048656463623047]
['CV', 304, 'BV', 32, 'chmod', 'perl', 'V1', 'V0', 0.9805879608026131, 2.6156704425811768]
['UV', 71, 'BV', 25, 'xargs', 'git', 'V0', 'V3', 0.994623107027395, 5.592152833938599]
['UV', 80, 'CV', 59, 'objcopy', 'head', 'V0', 'V2', 0.9973095678493358, 1.1202235221862793]
['CV', 173, 'UV', 6, 'ln', 'sdiff', 'V3', 'V2', 0.9565217391304348, 0.18866395950317383]
['UV', 72, 'CV', 301, 'find', 'ls', 'V0', 'V1', 0.9672750157331655, 0.4578380584716797]
['BV', 34, 'UV', 51, 'svn', 'nm', 'V0', 'V1', 0.9417717577456017, 7.489194631576538]
['CV', 74, 'BV', 31, 'pathchk', 'codeblocks', 'V2', 'V0', 0.9949861459295422, 3.3614237308502197]
['BV', 47, 'CV', 149, 'dot', 'unexpand', 'V3', 'V3', 0.9942857142857143, 0.033087730407714844]
['UV', 58, 'CV', 96, 'objcopy', 'users', 'V1', 'V3', 0.9970883209317373, 1.25990891456604]
['UV', 43, 'CV', 263, 'sdiff', 'unlink', 'V3', 'V1', 0.9619047619047619, 0.04892754554748535]
['BV', 69, 'CV', 170, 'gvmap', 'tac', 'V0', 'V3', 0.9722425127830533, 0.3245995044708252]
['BV', 81, 'CV', 159, 'dot', 'id', 'V1', 'V3', 0.9891304347826086, 0.035022735595703125]
['CV', 105, 'UV', 24, 'pwd', 'readelf', 'V3', 'V3', 0.9650909090909091, 0.5759191513061523]
['BV', 61, 'CV', 68, 'cmp', 'cat', 'V0', 'V2', 0.896551724137931, 0.04601716995239258]
['CV', 73, 'UV', 38, 'shred', 'xargs', 'V2', 'V3', 0.9648300117233294, 0.21576356887817383]
['BV', 32, 'CV', 112, 'perl', 'expand', 'V0', 'V3', 0.9969981238273922, 2.137639284133911]
['CV', 279, 'BV', 49, 'pwd', 'make', 'V1', 'V3', 0.9669117647058824, 0.3309803009033203]
['BV', 40, 'CV', 141, 'lua', 'false', 'V2', 'V3', 0.9931833674164963, 0.5052435398101807]
['UV', 9, 'CV', 131, 'readelf', 'true', 'V2', 'V3', 0.9828864803194524, 0.2701427936553955]
['UV', 37, 'CV', 95, 'locate', 'du', 'V3', 'V3', 0.9682539682539683, 0.5618853569030762]
['CV', 6, 'BV', 17, 'fmt', 'codeblocks', 'V2', 'V2', 0.995190786559514, 3.7769227027893066]
['BV', 56, 'UV', 6, 'ssh', 'sdiff', 'V3', 'V2', 0.9937629937629937, 2.0390055179595947]
['BV', 64, 'CV', 178, 'openssl', 'basename', 'V2', 'V0', 0.998499399759904, 1.0059490203857422]
['UV', 35, 'BV', 50, 'size', 'sort', 'V3', 'V0', 0.9949569237234713, 1.3189771175384521]
['BV', 63, 'CV', 340, 'ruby', 'fold', 'V0', 'V1', 0.9994549913706967, 2.7545135021209717]
['CV', 76, 'BV', 22, 'comm', 'cmp', 'V2', 'V3', 0.9305019305019305, 0.06059527397155762]
['UV', 46, 'CV', 16, 'diff', 'dd', 'V1', 'V2', 0.9743935309973046, 0.3103446960449219]
['BV', 79, 'CV', 306, 'bash', 'cp', 'V3', 'V1', 0.9940206384415083, 3.4300951957702637]
['BV', 48, 'UV', 55, 'gvmap', 'ranlib', 'V3', 'V1', 0.9490679094540613, 4.594679355621338]
['CV', 23, 'BV', 58, 'wc', 'ruby', 'V2', 'V3', 1.0, 0.013751506805419922]
['BV', 4, 'CV', 43, 'geany', 'chmod', 'V3', 'V2', 0.9990911719750485, 7.295129060745239]
['BV', 71, 'CV', 119, 'ruby', 'paste', 'V1', 'V3', 0.993103448275862, 0.014614105224609375]
['BV', 70, 'UV', 85, 'ssh', 'elfedit', 'V0', 'V0', 0.9990621336459554, 3.0600266456604004]
['BV', 27, 'CV', 61, 'libSDL2-2.0.so', 'ginstall', 'V1', 'V2', 0.9903721051262034, 3.6168947219848633]
['UV', 86, 'CV', 152, 'size', 'env', 'V0', 'V3', 0.9966703662597114, 0.9998207092285156]
['UV', 57, 'CV', 208, 'strings', 'echo', 'V1', 'V0', 0.9978406391708055, 0.5075790882110596]
['CV', 105, 'BV', 11, 'pwd', 'bash', 'V3', 'V1', 0.9854077253218884, 2.213576316833496]
['CV', 196, 'BV', 51, 'kill', 'cp', 'V0', 'V0', 0.9021922428330522, 0.07109880447387695]
['CV', 335, 'BV', 44, 'pathchk', 'make', 'V1', 'V0', 0.9633620689655172, 0.2537050247192383]
['UV', 22, 'CV', 103, 'nm', 'dd', 'V3', 'V3', 0.99122106943336, 1.9044890403747559]
['BV', 27, 'CV', 95, 'libSDL2-2.0.so', 'du', 'V1', 'V3', 0.9912585165188328, 4.116326808929443]
['UV', 4, 'CV', 71, 'cmp', '[', 'V2', 'V2', 0.920303605313093, 0.06320977210998535]
['UV', 0, 'CV', 233, 'locate', 'head', 'V2', 'V0', 0.9504814305364512, 0.09136533737182617]
['CV', 224, 'UV', 42, 'cksum', 'diff', 'V0', 'V3', 0.9224952741020794, 0.12628936767578125]
['CV', 331, 'UV', 76, 'vdir', 'as', 'V1', 'V0', 0.9732613099257259, 3.0370752811431885]
['CV', 226, 'BV', 63, 'logname', 'ruby', 'V0', 'V0', 0.9951800654783558, 2.6723852157592773]
