['UV', 81, 'CV', 72, 'ld', 'id', 'V0', 'V2', 0.9978784664343082, 2.3412320613861084]
['UV', 78, 'BV', 38, 'c++filt', 'ruby', 'V0', 'V2', 0.9971870604781997, 0.2408461570739746]
['CV', 159, 'BV', 18, 'id', 'sort', 'V3', 'V3', 0.8882201203783319, 0.4149641990661621]
['CV', 48, 'BV', 33, 'df', 'openssl', 'V2', 'V0', 0.9818172372590784, 5.015654802322388]
['BV', 2, 'UV', 81, 'cmp', 'ld', 'V1', 'V0', 0.9789947486871718, 1.4916350841522217]
['CV', 187, 'BV', 61, 'join', 'cmp', 'V0', 'V0', 0.9215686274509804, 0.027528762817382812]
['UV', 57, 'CV', 158, 'strings', '[', 'V1', 'V3', 0.9958497613612782, 1.0170810222625732]
['UV', 62, 'CV', 300, 'ar', 'whoami', 'V1', 'V1', 0.9983805668016195, 0.5208466053009033]
['CV', 64, 'UV', 47, 'md5sum', 'sdiff', 'V2', 'V1', 0.9025974025974026, 0.07517862319946289]
['CV', 52, 'BV', 13, 'logname', 'cp', 'V2', 'V2', 0.8762886597938144, 0.10627865791320801]
['CV', 189, 'UV', 58, 'uptime', 'objcopy', 'V0', 'V1', 0.9855666721338363, 0.9156332015991211]
['UV', 25, 'CV', 32, 'as', 'paste', 'V3', 'V2', 0.9978395895220091, 1.0943920612335205]
['CV', 41, 'BV', 24, 'nice', 'git', 'V2', 'V0', 0.9920525016557288, 2.4943995475769043]
['UV', 25, 'CV', 328, 'as', 'uname', 'V3', 'V1', 0.9980944603239418, 0.8213925361633301]
['UV', 1, 'CV', 320, 'xargs', 'head', 'V2', 'V1', 0.9553072625698324, 0.08737421035766602]
['BV', 39, 'CV', 229, 'svn', 'nohup', 'V1', 'V0', 0.9943208707998107, 0.3587346076965332]
['BV', 24, 'CV', 215, 'git', 'nice', 'V0', 'V0', 0.999395916394829, 1.7381200790405273]
['CV', 66, 'UV', 19, 'link', 'elfedit', 'V2', 'V2', 0.9726651480637813, 0.06496143341064453]
['CV', 267, 'UV', 81, 'fmt', 'ld', 'V1', 'V0', 0.986242739223479, 0.9760341644287109]
['CV', 317, 'BV', 36, 'yes', 'libvlc.so', 'V1', 'V2', 0.9909683893627697, 0.33729124069213867]
['UV', 58, 'CV', 126, 'objcopy', 'whoami', 'V1', 'V3', 0.9960950211519688, 1.0562379360198975]
['BV', 18, 'CV', 81, 'sort', 'sleep', 'V3', 'V2', 0.9757009345794393, 0.14607715606689453]
['CV', 162, 'UV', 79, 'tr', 'strings', 'V3', 'V0', 0.9716652136006975, 1.1722564697265625]
['UV', 36, 'CV', 344, 'objdump', 'tac', 'V3', 'V1', 0.996582095438412, 2.61110520362854]
['BV', 8, 'CV', 273, 'cluster', 'stty', 'V2', 'V1', 0.9804951237809453, 0.24831295013427734]
['CV', 229, 'BV', 77, 'nohup', 'perl', 'V0', 'V2', 0.9910842680471671, 1.845702886581421]
['CV', 85, 'UV', 3, 'mknod', 'diff3', 'V2', 'V2', 0.8619528619528619, 0.0732271671295166]
['BV', 66, 'UV', 11, 'lua', 'ranlib', 'V1', 'V2', 0.9687842278203724, 8.851139545440674]
['BV', 73, 'CV', 269, 'geany', 'du', 'V0', 'V1', 0.9986170948353811, 6.7007362842559814]
['CV', 222, 'UV', 21, 'df', 'objdump', 'V0', 'V2', 0.9750692520775623, 1.5758206844329834]
['CV', 3, 'UV', 59, 'test', 'ld', 'V2', 'V1', 0.9837235865219874, 1.389993667602539]
['CV', 176, 'BV', 0, 'unlink', 'bash', 'V0', 'V2', 0.9884069972052583, 1.047147274017334]
['BV', 32, 'CV', 121, 'perl', 'echo', 'V0', 'V3', 0.9979255068363979, 1.7028234004974365]
['BV', 73, 'CV', 205, 'geany', 'sha1sum', 'V0', 'V0', 0.9996767589699386, 3.4031453132629395]
['CV', 34, 'BV', 38, 'echo', 'ruby', 'V2', 'V2', 1.0, 0.00994110107421875]
['UV', 84, 'CV', 302, 'ar', 'nice', 'V0', 'V1', 0.9983075946689232, 0.5785233974456787]
['CV', 232, 'UV', 49, 'readlink', 'xargs', 'V0', 'V1', 0.8565217391304347, 0.04849410057067871]
['UV', 20, 'BV', 13, 'size', 'cp', 'V2', 'V2', 0.9880077369439072, 2.4886562824249268]
['UV', 17, 'CV', 42, 'addr2line', 'dircolors', 'V2', 'V2', 0.9957228400342173, 0.7975497245788574]
['CV', 252, 'UV', 23, 'rm', 'strip', 'V0', 'V3', 0.9774885684136475, 1.4937100410461426]
['UV', 71, 'CV', 244, 'xargs', 'vdir', 'V0', 'V0', 0.8908594815825375, 0.11521267890930176]
['BV', 16, 'CV', 294, 'libvlc.so', 'sync', 'V3', 'V1', 0.995987963891675, 0.2498176097869873]
['CV', 128, 'BV', 33, 'nice', 'openssl', 'V3', 'V0', 0.9903290234416062, 4.102742433547974]
['UV', 25, 'CV', 134, 'as', 'od', 'V3', 'V3', 0.9955578782336033, 2.420978307723999]
['BV', 51, 'CV', 163, 'cp', 'comm', 'V0', 'V3', 0.9129251700680272, 0.11213970184326172]
['CV', 203, 'UV', 62, 'tail', 'ar', 'V0', 'V1', 0.9764058198977585, 1.2178025245666504]
['UV', 82, 'CV', 5, 'gprof', 'mkdir', 'V0', 'V2', 0.996000799840032, 1.119251012802124]
