['UV', 53, 'CV', 347, 'readelf', 'ln', 'V1', 'V1', 0.9828269484808454, 0.5210943222045898]
['CV', 242, 'BV', 25, 'cat', 'git', 'V0', 'V3', 0.9952909059887391, 6.871276378631592]
['UV', 84, 'CV', 24, 'ar', 'factor', 'V0', 'V2', 0.9970778543101649, 1.568983554840088]
['CV', 130, 'BV', 46, 'chmod', 'cluster', 'V3', 'V3', 0.9502551020408163, 0.8026986122131348]
['BV', 35, 'CV', 246, 'libvlccore.so', 'id', 'V2', 'V0', 0.9995361243186826, 1.4146358966827393]
['CV', 72, 'UV', 48, 'id', 'locate', 'V2', 'V1', 0.9261538461538461, 0.1690504550933838]
['BV', 47, 'CV', 131, 'dot', 'true', 'V3', 'V3', 0.9929078014184397, 0.0260007381439209]
['BV', 1, 'CV', 168, 'libSDL2-2.0.so', 'sleep', 'V3', 'V3', 0.9968429360694554, 1.677131175994873]
['BV', 28, 'CV', 168, 'openssl', 'sleep', 'V1', 'V3', 0.9988066825775657, 3.3884754180908203]
['UV', 47, 'CV', 312, 'sdiff', 'printf', 'V1', 'V1', 0.9623287671232876, 0.06597018241882324]
['UV', 71, 'CV', 325, 'xargs', 'md5sum', 'V0', 'V1', 0.9106699751861043, 0.04081559181213379]
['CV', 8, 'BV', 27, 'du', 'libSDL2-2.0.so', 'V2', 'V1', 0.9727060046789706, 5.596103191375732]
['BV', 56, 'CV', 232, 'ssh', 'readlink', 'V3', 'V0', 0.9975354282193469, 0.8721914291381836]
['BV', 48, 'CV', 319, 'gvmap', 'readlink', 'V3', 'V1', 0.9853049228508449, 0.19865870475769043]
['UV', 58, 'CV', 172, 'objcopy', 'mknod', 'V1', 'V3', 0.9977368250889105, 1.2536475658416748]
['BV', 63, 'CV', 198, 'ruby', 'factor', 'V0', 'V0', 0.9994549666167053, 2.688828229904175]
['CV', 173, 'BV', 55, 'ln', 'codeblocks', 'V3', 'V3', 0.9896505539997564, 9.965919733047485]
['BV', 30, 'CV', 65, 'bash', 'env', 'V0', 'V2', 0.9977022058823529, 1.2447433471679688]
['UV', 31, 'CV', 236, 'gprof', 'unexpand', 'V3', 'V0', 0.9971550497866287, 0.6729655265808105]
['CV', 121, 'BV', 35, 'echo', 'libvlccore.so', 'V3', 'V2', 0.9919336252592763, 2.1474924087524414]
['BV', 68, 'UV', 52, 'dot', 'strip', 'V0', 'V1', 0.9926581011179709, 0.5479931831359863]
['BV', 52, 'CV', 100, 'libSDL2-2.0.so', 'join', 'V2', 'V3', 0.9959544879898862, 2.2591657638549805]
['UV', 50, 'CV', 210, 'find', 'chroot', 'V1', 'V0', 0.99617102744097, 0.15804457664489746]
['CV', 198, 'UV', 83, 'factor', 'addr2line', 'V0', 'V0', 0.9793211957743313, 0.7172985076904297]
['BV', 33, 'UV', 61, 'openssl', 'addr2line', 'V0', 'V1', 0.9927940293385948, 61.69821810722351]
['CV', 82, 'UV', 29, 'sort', 'objcopy', 'V2', 'V3', 0.9672185430463576, 4.101624011993408]
['UV', 21, 'CV', 141, 'objdump', 'false', 'V2', 'V3', 0.9972041006523765, 1.096268653869629]
['BV', 2, 'CV', 161, 'cmp', 'pathchk', 'V1', 'V3', 0.9421338155515371, 0.06781578063964844]
['CV', 332, 'BV', 80, '[', 'cluster', 'V1', 'V1', 0.9526717557251908, 0.21828508377075195]
['BV', 69, 'CV', 129, 'gvmap', 'dircolors', 'V0', 'V3', 0.9746457867263236, 0.2887725830078125]
['UV', 66, 'CV', 256, 'diff3', 'sort', 'V0', 'V0', 0.9301075268817205, 0.118377685546875]
['CV', 301, 'BV', 45, 'ls', 'svn', 'V1', 'V3', 0.982791586998088, 1.5379269123077393]
['BV', 45, 'CV', 72, 'svn', 'id', 'V3', 'V2', 0.9929502996122664, 0.5760486125946045]
['BV', 52, 'CV', 318, 'libSDL2-2.0.so', 'who', 'V2', 'V1', 0.9963768115942029, 1.3648288249969482]
['UV', 17, 'CV', 255, 'addr2line', 'sleep', 'V2', 'V0', 0.9965270240937704, 0.5877251625061035]
['CV', 192, 'BV', 33, 'pwd', 'openssl', 'V0', 'V0', 0.9920877729718325, 2.698664903640747]
['CV', 206, 'BV', 80, 'paste', 'cluster', 'V0', 'V1', 0.9652173913043478, 0.17171049118041992]
['CV', 77, 'BV', 12, 'nl', 'sort', 'V2', 'V2', 0.9444911690496215, 0.27356934547424316]
['UV', 15, 'CV', 200, 'ld', 'date', 'V2', 'V0', 0.9980076846449409, 1.4176876544952393]
['CV', 210, 'BV', 77, 'chroot', 'perl', 'V0', 'V2', 0.9917879268116986, 1.5594964027404785]
['UV', 47, 'CV', 347, 'sdiff', 'ln', 'V1', 'V1', 0.942215088282504, 0.08106827735900879]
['CV', 264, 'UV', 29, 'test', 'objcopy', 'V1', 'V3', 0.9831147835458954, 0.9728219509124756]
['CV', 123, 'UV', 10, 'chroot', 'as', 'V3', 'V2', 0.9723771580345285, 1.976158618927002]
['CV', 95, 'BV', 19, 'du', 'cp', 'V3', 'V3', 0.9255520504731861, 0.4768977165222168]
['UV', 40, 'CV', 92, 'diff3', 'mkdir', 'V3', 'V3', 0.9131578947368421, 0.11986327171325684]
['BV', 15, 'UV', 7, 'libvlccore.so', 'nm', 'V3', 'V2', 0.9878871511806194, 31.56988763809204]
['CV', 183, 'UV', 64, 'users', 'size', 'V0', 'V1', 0.9812566560170394, 0.7282845973968506]
['CV', 188, 'UV', 62, 'dirname', 'ar', 'V0', 'V1', 0.9829787234042553, 0.6439690589904785]
['BV', 67, 'CV', 333, 'cluster', 'id', 'V0', 'V1', 0.9827586206896551, 0.1777951717376709]
['BV', 26, 'UV', 0, 'geany', 'locate', 'V2', 'V2', 0.9984964401008269, 9.715594291687012]
['CV', 298, 'UV', 75, 'seq', 'readelf', 'V1', 'V0', 0.9795620437956204, 0.1993875503540039]
['UV', 36, 'BV', 47, 'objdump', 'dot', 'V3', 'V3', 0.9980495959877403, 0.4962780475616455]
['CV', 147, 'BV', 50, 'hostid', 'sort', 'V3', 'V0', 0.8795180722891567, 0.07747673988342285]
['UV', 82, 'BV', 56, 'gprof', 'ssh', 'V0', 'V3', 0.9702898550724638, 20.91134738922119]
['UV', 21, 'CV', 228, 'objdump', 'false', 'V2', 'V0', 0.9993693835724421, 0.6483471393585205]
['CV', 325, 'UV', 55, 'md5sum', 'ranlib', 'V1', 'V1', 0.9819313390885365, 0.8847653865814209]
['UV', 0, 'CV', 228, 'locate', 'false', 'V2', 'V0', 0.9811616954474097, 0.052715301513671875]
['BV', 2, 'CV', 346, 'cmp', 'mknod', 'V1', 'V1', 0.9455782312925171, 0.04089760780334473]
['BV', 14, 'CV', 19, 'openssl', 'pr', 'V3', 'V2', 0.9962601843194872, 2.4533259868621826]
['UV', 7, 'BV', 4, 'nm', 'geany', 'V2', 'V3', 0.9757644074961251, 97.68604969978333]
['UV', 73, 'CV', 81, 'nm', 'sleep', 'V0', 'V2', 0.9956312800349497, 0.7413761615753174]
['CV', 312, 'UV', 18, 'printf', 'ar', 'V1', 'V2', 0.9765182186234818, 0.8959770202636719]
['BV', 81, 'CV', 283, 'dot', 'kill', 'V1', 'V1', 0.9914163090128756, 0.023378610610961914]
['CV', 119, 'UV', 55, 'paste', 'ranlib', 'V3', 'V1', 0.970396684428656, 1.1728289127349854]
['CV', 145, 'BV', 1, 'readlink', 'libSDL2-2.0.so', 'V3', 'V3', 0.979429849077697, 2.7241296768188477]
['BV', 28, 'CV', 160, 'openssl', 'shred', 'V1', 'V3', 0.9981309330578919, 6.432273864746094]
['UV', 38, 'CV', 127, 'xargs', 'ls', 'V3', 'V3', 0.9734121122599705, 0.4272165298461914]
['UV', 82, 'CV', 40, 'gprof', 'ls', 'V0', 'V2', 0.992503748125937, 2.3940322399139404]
['BV', 43, 'CV', 94, 'lua', 'dir', 'V0', 'V3', 0.9774436090225564, 1.631917953491211]
['CV', 116, 'BV', 68, 'tail', 'dot', 'V3', 'V0', 1.0, 0.05182909965515137]
['UV', 16, 'CV', 8, 'gprof', 'du', 'V2', 'V2', 0.9938372303788291, 2.4967477321624756]
['BV', 52, 'CV', 247, 'libSDL2-2.0.so', 'shred', 'V2', 'V0', 0.9946008484381026, 1.6481261253356934]
['BV', 40, 'CV', 323, 'lua', 'unexpand', 'V2', 'V1', 0.9958304378040306, 0.39919376373291016]
['UV', 34, 'CV', 140, 'elfedit', 'tty', 'V3', 'V3', 0.9762376237623762, 0.07595968246459961]
['UV', 37, 'BV', 1, 'locate', 'libSDL2-2.0.so', 'V3', 'V3', 0.9742071881606765, 6.710028171539307]
['CV', 31, 'BV', 80, 'sha1sum', 'cluster', 'V2', 'V1', 0.9626865671641791, 0.24768948554992676]
['CV', 92, 'BV', 65, 'mkdir', 'ssh', 'V3', 'V1', 0.9796610169491525, 3.432859182357788]
['UV', 43, 'CV', 281, 'sdiff', 'tee', 'V3', 'V1', 0.9565217391304348, 0.05725455284118652]
['UV', 38, 'CV', 174, 'xargs', 'touch', 'V3', 'V0', 0.9749303621169917, 0.129988431930542]
['CV', 205, 'BV', 17, 'sha1sum', 'codeblocks', 'V0', 'V2', 0.996703018006594, 3.614871025085449]
['CV', 44, 'BV', 60, 'true', 'codeblocks', 'V2', 'V1', 0.9962753660416132, 2.785141706466675]
['BV', 31, 'CV', 39, 'codeblocks', 'whoami', 'V0', 'V2', 0.999207868506172, 2.450028657913208]
['CV', 213, 'UV', 22, 'whoami', 'nm', 'V0', 'V3', 0.9830471636600739, 0.6029984951019287]
['UV', 48, 'CV', 207, 'locate', 'sync', 'V1', 'V0', 0.9886104783599089, 0.07735562324523926]
['BV', 30, 'UV', 42, 'bash', 'diff', 'V0', 'V3', 0.9938643816777742, 5.892028570175171]
['CV', 148, 'UV', 6, 'ginstall', 'sdiff', 'V3', 'V2', 0.9773755656108597, 0.2932612895965576]
['UV', 58, 'BV', 40, 'objcopy', 'lua', 'V1', 'V2', 0.9770965876229034, 10.928836584091187]
['BV', 55, 'CV', 277, 'codeblocks', 'dd', 'V3', 'V1', 0.9990100235119416, 4.33116340637207]
['CV', 31, 'UV', 46, 'sha1sum', 'diff', 'V2', 'V1', 0.9150871872630781, 0.2104339599609375]
['BV', 3, 'CV', 10, 'diff', 'ptx', 'V1', 'V2', 0.9499323410013532, 0.4008626937866211]
['UV', 59, 'CV', 135, 'ld', 'df', 'V1', 'V3', 0.9937533948940793, 3.01851749420166]
['CV', 220, 'BV', 24, 'cut', 'git', 'V0', 'V0', 0.9919257652446373, 2.4859602451324463]
['CV', 71, 'BV', 32, '[', 'perl', 'V2', 'V0', 0.982119329945417, 1.7894577980041504]
['BV', 10, 'CV', 22, 'gvmap', 'kill', 'V2', 'V2', 0.984363894811656, 0.23997092247009277]
['UV', 32, 'BV', 38, 'addr2line', 'ruby', 'V3', 'V2', 0.9977334542157752, 0.1275315284729004]
['UV', 39, 'CV', 145, 'find', 'readlink', 'V3', 'V3', 0.9862955032119914, 0.5444333553314209]
['CV', 302, 'UV', 1, 'nice', 'xargs', 'V1', 'V2', 0.8895705521472392, 0.07264089584350586]
['CV', 298, 'UV', 7, 'seq', 'nm', 'V1', 'V2', 0.9787414965986394, 0.688570499420166]
['CV', 252, 'BV', 51, 'rm', 'cp', 'V0', 'V0', 0.8846153846153846, 0.11469626426696777]
['CV', 67, 'UV', 87, 'uname', 'objdump', 'V2', 'V0', 0.9860248447204969, 1.1087536811828613]
['CV', 96, 'BV', 19, 'users', 'cp', 'V3', 'V3', 0.8688524590163934, 0.180342435836792]
