['UV', 70, 'CV', 265, 'locate', 'basename', 'V0', 'V1', 0.9792477302204928, 0.14824295043945312]
['CV', 9, 'BV', 47, 'users', 'dot', 'V2', 'V3', 1.0, 0.051489830017089844]
['UV', 34, 'CV', 344, 'elfedit', 'tac', 'V3', 'V1', 0.9744897959183674, 0.29913973808288574]
['CV', 42, 'BV', 29, 'dircolors', 'perl', 'V2', 'V3', 0.9866624325182598, 4.115907907485962]
['CV', 279, 'BV', 64, 'pwd', 'openssl', 'V1', 'V2', 0.9946300715990454, 2.9757015705108643]
['CV', 37, 'UV', 69, 'seq', 'sdiff', 'V2', 'V0', 0.8685446009389671, 0.170945405960083]
['UV', 46, 'CV', 296, 'diff', 'sum', 'V1', 'V1', 0.9890880748246298, 0.3487069606781006]
['BV', 63, 'UV', 28, 'ruby', 'strings', 'V0', 'V3', 0.994814504136958, 66.99655485153198]
['BV', 23, 'CV', 313, 'diff', 'logname', 'V3', 'V1', 0.990521327014218, 0.10206270217895508]
['BV', 57, 'UV', 27, 'svn', 'c++filt', 'V2', 'V3', 0.9550955414012738, 7.626818418502808]
['BV', 45, 'CV', 297, 'svn', 'chroot', 'V3', 'V1', 0.9956411187795132, 0.3976736068725586]
['UV', 47, 'CV', 267, 'sdiff', 'fmt', 'V1', 'V1', 0.960644007155635, 0.05905580520629883]
['UV', 57, 'CV', 63, 'strings', 'mv', 'V1', 'V2', 0.9918651946542708, 2.40913987159729]
['CV', 125, 'UV', 44, 'split', 'diff3', 'V3', 'V1', 0.905683192261185, 0.14003801345825195]
['UV', 48, 'CV', 137, 'locate', 'cksum', 'V1', 'V3', 0.958, 0.15190768241882324]
['CV', 9, 'BV', 17, 'users', 'codeblocks', 'V2', 'V2', 0.9946835443037975, 3.6887598037719727]
['CV', 186, 'BV', 83, 'stty', 'git', 'V0', 'V2', 0.993907215597528, 4.112642765045166]
['UV', 8, 'CV', 146, 'strip', 'head', 'V2', 'V3', 0.9969050894085282, 1.3971450328826904]
['CV', 68, 'BV', 63, 'cat', 'ruby', 'V2', 'V0', 0.9880201765447667, 5.763955593109131]
['UV', 2, 'CV', 80, 'find', 'uniq', 'V2', 'V2', 0.9916567342073898, 0.3014519214630127]
['CV', 284, 'BV', 58, 'wc', 'ruby', 'V1', 'V3', 1.0, 0.011192798614501953]
['BV', 34, 'CV', 95, 'svn', 'du', 'V0', 'V3', 0.9821081291326332, 1.2885923385620117]
['CV', 276, 'UV', 67, 'uptime', 'cmp', 'V1', 'V0', 0.8922413793103449, 0.05401039123535156]
['UV', 75, 'BV', 78, 'readelf', 'make', 'V0', 'V2', 0.8963630511747667, 1.5752222537994385]
['BV', 77, 'CV', 135, 'perl', 'df', 'V2', 'V3', 0.9963722617552672, 5.745763540267944]
['CV', 202, 'UV', 86, 'chown', 'size', 'V0', 'V0', 0.9787273060700532, 1.3602855205535889]
['UV', 41, 'CV', 182, 'cmp', 'du', 'V3', 'V0', 0.8701298701298701, 0.10895466804504395]
['UV', 76, 'CV', 104, 'as', 'mkfifo', 'V0', 'V3', 0.9977537554401236, 1.3104708194732666]
['BV', 44, 'CV', 165, 'make', 'rm', 'V0', 'V3', 0.9766606822262118, 0.7112724781036377]
['CV', 201, 'BV', 54, 'expr', 'lua', 'V0', 'V3', 0.9531791907514451, 1.2204005718231201]
