['BV', 17, 'CV', 237, 'codeblocks', 'mv', 'V2', 'V0', 0.9975155279503105, 12.797162532806396]
['UV', 37, 'CV', 160, 'locate', 'shred', 'V3', 'V3', 0.9781591263650546, 0.7228822708129883]
['BV', 51, 'CV', 21, 'cp', 'chgrp', 'V0', 'V2', 0.9253910950661853, 0.2841789722442627]
['BV', 46, 'CV', 13, 'cluster', 'join', 'V3', 'V2', 0.9746835443037974, 0.6067962646484375]
['UV', 53, 'BV', 32, 'readelf', 'perl', 'V1', 'V0', 0.9492846740340958, 9.869232177734375]
['UV', 5, 'CV', 211, 'diff', 'seq', 'V2', 'V0', 0.9867799811142587, 0.11857247352600098]
['CV', 212, 'BV', 52, 'split', 'libSDL2-2.0.so', 'V0', 'V2', 0.9841743416785576, 1.665494680404663]
['BV', 45, 'CV', 158, 'svn', '[', 'V3', 'V3', 0.99522021167634, 0.7766399383544922]
['BV', 51, 'CV', 191, 'cp', 'mkfifo', 'V0', 'V0', 0.9652173913043478, 0.05589890480041504]
['UV', 86, 'CV', 339, 'size', 'rm', 'V0', 'V1', 0.9941348973607038, 1.2253823280334473]
['BV', 77, 'CV', 312, 'perl', 'printf', 'V2', 'V1', 0.9987085665088248, 1.9931230545043945]
['BV', 73, 'CV', 267, 'geany', 'fmt', 'V0', 'V1', 0.9996764103117247, 2.8607571125030518]
['CV', 167, 'BV', 47, 'uniq', 'dot', 'V3', 'V3', 1.0, 0.03959345817565918]
['UV', 71, 'CV', 295, 'xargs', 'echo', 'V0', 'V1', 0.949438202247191, 0.030003786087036133]
['CV', 157, 'BV', 19, 'vdir', 'cp', 'V3', 'V3', 0.9115566037735849, 0.5570094585418701]
['CV', 164, 'UV', 84, 'nl', 'ar', 'V3', 'V0', 0.9740953947368421, 1.1662559509277344]
['UV', 21, 'CV', 153, 'objdump', 'link', 'V2', 'V3', 0.9972131908964236, 1.1707370281219482]
['UV', 3, 'CV', 64, 'diff3', 'md5sum', 'V2', 'V2', 0.9509803921568627, 0.08034610748291016]
['CV', 195, 'UV', 62, 'chgrp', 'ar', 'V0', 'V1', 0.9771967760959308, 1.2633392810821533]
['CV', 51, 'UV', 70, 'printf', 'locate', 'V2', 'V0', 0.9001085776330076, 0.16074275970458984]
['UV', 61, 'CV', 244, 'addr2line', 'vdir', 'V1', 'V0', 0.9912472647702407, 1.9547333717346191]
['CV', 266, 'BV', 12, 'mkdir', 'sort', 'V1', 'V2', 0.9325581395348838, 0.13214325904846191]
['CV', 155, 'BV', 56, 'cat', 'ssh', 'V3', 'V3', 0.9797092671108419, 1.4186878204345703]
['BV', 70, 'CV', 176, 'ssh', 'unlink', 'V0', 'V0', 0.9992104224240032, 1.2150793075561523]
['CV', 170, 'BV', 80, 'tac', 'cluster', 'V3', 'V1', 0.9400696864111499, 0.3286728858947754]
['UV', 15, 'BV', 25, 'ld', 'git', 'V2', 'V3', 0.9693985422578312, 155.5344738960266]
['CV', 131, 'BV', 63, 'true', 'ruby', 'V3', 'V0', 0.9931140708525867, 5.247823476791382]
['BV', 55, 'CV', 109, 'codeblocks', 'kill', 'V3', 'V3', 0.9988827509155236, 3.583239793777466]
['CV', 240, 'UV', 4, 'link', 'cmp', 'V0', 'V2', 0.8465227817745804, 0.04150128364562988]
['CV', 210, 'BV', 72, 'chroot', 'perl', 'V0', 'V1', 0.9927600472813238, 1.380690336227417]
