['CV', 320, 'UV', 81, 'head', 'ld', 'V1', 'V0', 0.9845149536966753, 2.721285820007324]
['BV', 0, 'CV', 320, 'bash', 'head', 'V2', 'V1', 0.9985630709227138, 3.15356183052063]
['CV', 322, 'UV', 22, 'ginstall', 'nm', 'V1', 'V3', 0.9689578713968958, 1.7394366264343262]
['CV', 252, 'BV', 25, 'rm', 'git', 'V0', 'V3', 0.9934125636672326, 6.506845951080322]
['UV', 87, 'CV', 152, 'objdump', 'env', 'V0', 'V3', 0.9966200645260409, 1.208108901977539]
['UV', 3, 'CV', 83, 'diff3', 'tac', 'V2', 'V2', 0.8916046758767269, 0.16419649124145508]
['UV', 22, 'BV', 30, 'nm', 'bash', 'V3', 'V0', 0.9713846153846154, 26.254164218902588]
['BV', 52, 'CV', 56, 'libSDL2-2.0.so', 'yes', 'V2', 'V2', 0.9966189856957087, 1.0822770595550537]
['CV', 148, 'UV', 75, 'ginstall', 'readelf', 'V3', 'V0', 0.9645522388059702, 0.9344842433929443]
['UV', 77, 'CV', 341, 'ranlib', 'uniq', 'V0', 'V1', 0.9962421711899792, 0.7990224361419678]
['CV', 307, 'UV', 35, 'cut', 'size', 'V1', 'V3', 0.9751417357174008, 0.8256454467773438]
['UV', 80, 'CV', 232, 'objcopy', 'readlink', 'V0', 'V0', 0.997946611909651, 0.7250120639801025]
['UV', 73, 'CV', 118, 'nm', 'sha1sum', 'V0', 'V3', 0.9948553054662379, 1.0307443141937256]
['UV', 63, 'CV', 344, 'elfedit', 'tac', 'V1', 'V1', 0.9682119205298013, 0.149399995803833]
['CV', 227, 'BV', 9, 'tty', 'dot', 'V0', 'V2', 0.98989898989899, 0.018643617630004883]
['CV', 228, 'BV', 22, 'false', 'cmp', 'V0', 'V3', 0.8653366583541147, 0.03722548484802246]
['CV', 94, 'UV', 53, 'dir', 'readelf', 'V3', 'V1', 0.9664335664335665, 0.9081099033355713]
['UV', 2, 'CV', 24, 'find', 'factor', 'V2', 'V2', 0.991389913899139, 0.22247600555419922]
['UV', 46, 'BV', 1, 'diff', 'libSDL2-2.0.so', 'V1', 'V3', 0.9648654201767002, 8.783247709274292]
['CV', 310, 'UV', 32, 'tsort', 'addr2line', 'V1', 'V3', 0.9797579757975797, 0.6898744106292725]
['CV', 185, 'UV', 45, 'printenv', 'cmp', 'V0', 'V1', 0.8676470588235294, 0.038915395736694336]
['CV', 86, 'UV', 24, 'ln', 'readelf', 'V2', 'V3', 0.9566915157969471, 0.6914734840393066]
['BV', 64, 'CV', 199, 'openssl', 'expand', 'V2', 'V0', 0.9985041136873598, 1.1522934436798096]
['CV', 308, 'UV', 3, 'od', 'diff3', 'V1', 'V2', 0.8860759493670887, 0.08512592315673828]
['CV', 127, 'BV', 40, 'ls', 'lua', 'V3', 'V2', 0.954786491766676, 1.9178709983825684]
['UV', 39, 'CV', 105, 'find', 'pwd', 'V3', 'V3', 0.9912967798085291, 0.4904472827911377]
['CV', 199, 'BV', 3, 'expand', 'diff', 'V0', 'V1', 0.9008620689655172, 0.10954070091247559]
['UV', 71, 'CV', 135, 'xargs', 'df', 'V0', 'V3', 0.8866995073891626, 0.12276649475097656]
['CV', 160, 'BV', 82, 'shred', 'gvmap', 'V3', 'V1', 0.9613759806879904, 0.5085606575012207]
['UV', 56, 'CV', 327, 'c++filt', 'link', 'V1', 'V1', 0.9978241949521323, 0.5190584659576416]
['UV', 62, 'BV', 5, 'ar', 'libvlccore.so', 'V1', 'V0', 0.9777978784639421, 25.859131813049316]
['CV', 294, 'UV', 86, 'sync', 'size', 'V1', 'V0', 0.9875047330556608, 0.6237468719482422]
['BV', 78, 'CV', 331, 'make', 'vdir', 'V2', 'V1', 0.9768115942028985, 0.8669664859771729]
['CV', 280, 'UV', 33, 'pr', 'ar', 'V1', 'V3', 0.9702512562814071, 1.3100435733795166]
['BV', 14, 'CV', 300, 'openssl', 'whoami', 'V3', 'V1', 0.9989010989010989, 1.1649072170257568]
['CV', 279, 'BV', 52, 'pwd', 'libSDL2-2.0.so', 'V1', 'V2', 0.9838646714378659, 1.4194018840789795]
