['CV', 287, 'UV', 61, 'date', 'addr2line', 'V1', 'V1', 0.9760504201680672, 2.110618829727173]
['BV', 24, 'CV', 166, 'git', 'fold', 'V0', 'V3', 0.998920539730135, 3.8735899925231934]
['CV', 260, 'BV', 51, 'ln', 'cp', 'V0', 'V0', 0.858678955453149, 0.08980512619018555]
['UV', 59, 'CV', 344, 'ld', 'tac', 'V1', 'V1', 0.9967032967032967, 2.594536066055298]
['BV', 37, 'CV', 291, 'geany', 'pinky', 'V1', 'V1', 0.9994377547673711, 4.240830183029175]
['CV', 141, 'BV', 36, 'false', 'libvlc.so', 'V3', 'V2', 0.9835986493005306, 0.458172082901001]
['CV', 256, 'BV', 52, 'sort', 'libSDL2-2.0.so', 'V0', 'V2', 0.9796851193499239, 3.3821568489074707]
['UV', 61, 'CV', 138, 'addr2line', 'printf', 'V1', 'V3', 0.9946247674178209, 1.162879228591919]
['UV', 59, 'BV', 23, 'ld', 'diff', 'V1', 'V3', 0.9916904700077902, 4.930342435836792]
['BV', 67, 'CV', 0, 'cluster', 'touch', 'V0', 'V2', 0.9779353821907013, 0.26519322395324707]
['CV', 221, 'UV', 63, 'od', 'elfedit', 'V0', 'V1', 0.9674134419551935, 0.07323122024536133]
['CV', 93, 'BV', 52, 'fmt', 'libSDL2-2.0.so', 'V3', 'V2', 0.9779458904987819, 2.2379961013793945]
['CV', 189, 'UV', 82, 'uptime', 'gprof', 'V0', 'V0', 0.985649856498565, 0.8303289413452148]
['CV', 341, 'BV', 8, 'uniq', 'cluster', 'V1', 'V2', 0.9578947368421052, 0.23731088638305664]
['CV', 47, 'BV', 60, 'od', 'codeblocks', 'V2', 'V1', 0.9917491749174917, 5.645728826522827]
['CV', 95, 'BV', 68, 'du', 'dot', 'V3', 'V0', 1.0, 0.07572340965270996]
['BV', 77, 'UV', 0, 'perl', 'locate', 'V2', 'V2', 0.9976175460724547, 5.090825319290161]
['CV', 12, 'BV', 39, 'stty', 'svn', 'V2', 'V1', 0.986648865153538, 0.6270027160644531]
['UV', 47, 'CV', 0, 'sdiff', 'touch', 'V1', 'V2', 0.9463487332339792, 0.09506607055664062]
['BV', 78, 'CV', 158, 'make', '[', 'V2', 'V3', 0.9845874886672711, 0.49976110458374023]
['BV', 52, 'CV', 46, 'libSDL2-2.0.so', 'cut', 'V2', 'V2', 0.9958863607147448, 1.6378977298736572]
['UV', 81, 'BV', 9, 'ld', 'dot', 'V0', 'V2', 0.9984496124031008, 0.4283466339111328]
['BV', 75, 'CV', 10, 'cmp', 'ptx', 'V2', 'V2', 0.9048582995951417, 0.16025495529174805]
['UV', 59, 'BV', 71, 'ld', 'ruby', 'V1', 'V1', 0.9985309240487733, 0.1797785758972168]
['BV', 17, 'CV', 297, 'codeblocks', 'chroot', 'V2', 'V1', 0.9993640699523052, 1.996262788772583]
['UV', 81, 'BV', 7, 'ld', 'libSDL2-2.0.so', 'V0', 'V0', 0.9879179783884966, 27.226328134536743]
['UV', 72, 'CV', 342, 'find', 'sleep', 'V0', 'V1', 0.9869174161896974, 0.14219284057617188]
['CV', 50, 'UV', 82, 'cksum', 'gprof', 'V2', 'V0', 0.9807574206755374, 0.8057103157043457]
['BV', 30, 'UV', 51, 'bash', 'nm', 'V0', 'V1', 0.9873571972581874, 28.851962089538574]
['CV', 122, 'UV', 44, 'sum', 'diff3', 'V3', 'V1', 0.8992805755395683, 0.09982585906982422]
['UV', 53, 'BV', 22, 'readelf', 'cmp', 'V1', 'V3', 0.9936386768447837, 0.33131909370422363]
['BV', 46, 'CV', 103, 'cluster', 'dd', 'V3', 'V3', 0.9711538461538461, 0.5327248573303223]
['CV', 154, 'UV', 69, 'uname', 'sdiff', 'V3', 'V0', 0.9041533546325878, 0.08606481552124023]
['CV', 127, 'UV', 42, 'ls', 'diff', 'V3', 'V3', 0.9539842873176206, 0.6004359722137451]
['BV', 60, 'CV', 87, 'codeblocks', 'touch', 'V1', 'V3', 0.997730424914891, 5.785877466201782]
['CV', 284, 'UV', 10, 'wc', 'as', 'V1', 'V2', 0.9789644012944984, 1.2167530059814453]
['CV', 97, 'BV', 47, 'ptx', 'dot', 'V3', 'V3', 1.0, 0.051477909088134766]
['CV', 137, 'BV', 43, 'cksum', 'lua', 'V3', 'V0', 0.9581233036060488, 0.5683732032775879]
['CV', 325, 'UV', 47, 'md5sum', 'sdiff', 'V1', 'V1', 0.8879159369527145, 0.06882405281066895]
['UV', 11, 'BV', 55, 'ranlib', 'codeblocks', 'V2', 'V3', 0.9813655553937982, 68.16671633720398]
['UV', 16, 'CV', 187, 'gprof', 'join', 'V2', 'V0', 0.9972478867701986, 0.9544718265533447]
['BV', 26, 'CV', 38, 'geany', 'split', 'V2', 'V2', 0.9991103994306556, 9.17558741569519]
['CV', 48, 'UV', 46, 'df', 'diff', 'V2', 'V1', 0.9010918432883751, 0.5305023193359375]
['UV', 38, 'CV', 73, 'xargs', 'shred', 'V3', 'V2', 0.9507620164126612, 0.2055377960205078]
['BV', 56, 'CV', 209, 'ssh', 'sum', 'V3', 'V0', 0.9987722529158993, 1.0174434185028076]
['CV', 131, 'BV', 46, 'true', 'cluster', 'V3', 'V3', 0.9579579579579579, 0.2353954315185547]
['UV', 81, 'CV', 110, 'ld', 'wc', 'V0', 'V3', 0.9964269763287181, 1.6836824417114258]
['CV', 103, 'BV', 71, 'dd', 'ruby', 'V3', 'V1', 1.0, 0.022450685501098633]
['CV', 1, 'BV', 46, 'stat', 'cluster', 'V2', 'V3', 0.9571005917159763, 0.2552332878112793]
['BV', 52, 'CV', 136, 'libSDL2-2.0.so', 'tsort', 'V2', 'V3', 0.9964102564102564, 1.7242863178253174]
['UV', 9, 'CV', 76, 'readelf', 'comm', 'V2', 'V2', 0.9887323943661972, 0.2949378490447998]
['CV', 140, 'BV', 19, 'tty', 'cp', 'V3', 'V3', 0.8980169971671388, 0.16374802589416504]
['BV', 5, 'CV', 260, 'libvlccore.so', 'ln', 'V0', 'V0', 0.9989433364152688, 1.3806989192962646]
['CV', 200, 'UV', 81, 'date', 'ld', 'V0', 'V0', 0.9827716487834366, 1.4755253791809082]
['CV', 10, 'BV', 7, 'ptx', 'libSDL2-2.0.so', 'V2', 'V0', 0.9680658436213991, 4.0032172203063965]
