['UV', 12, 'CV', 254, 'c++filt', 'uniq', 'V2', 'V0', 0.996096291476903, 1.6738519668579102]
['BV', 30, 'UV', 37, 'bash', 'locate', 'V0', 'V3', 0.9972213316233836, 5.701167106628418]
['UV', 58, 'CV', 136, 'objcopy', 'tsort', 'V1', 'V3', 0.9961321514907333, 1.4501614570617676]
['UV', 44, 'CV', 212, 'diff3', 'split', 'V1', 'V0', 0.9519725557461407, 0.07064151763916016]
['BV', 19, 'CV', 223, 'cp', 'tsort', 'V3', 'V0', 0.9758551307847082, 0.11629080772399902]
['UV', 57, 'CV', 309, 'strings', 'df', 'V1', 'V1', 0.9958141481791545, 1.1534218788146973]
['CV', 145, 'BV', 50, 'readlink', 'sort', 'V3', 'V0', 0.9136904761904762, 0.09412860870361328]
['CV', 315, 'BV', 69, 'false', 'gvmap', 'V1', 'V0', 0.9625531914893617, 0.12854456901550293]
['BV', 34, 'UV', 5, 'svn', 'diff', 'V0', 'V2', 0.9802342606149341, 1.4297499656677246]
['CV', 327, 'BV', 38, 'link', 'ruby', 'V1', 'V2', 0.9875776397515528, 0.008014917373657227]
['CV', 149, 'BV', 72, 'unexpand', 'perl', 'V3', 'V1', 0.9878663840362547, 2.5091216564178467]
['UV', 70, 'CV', 319, 'locate', 'readlink', 'V0', 'V1', 0.9771573604060914, 0.08307075500488281]
['UV', 37, 'BV', 81, 'locate', 'dot', 'V3', 'V1', 0.9844271412680756, 0.07144498825073242]
['BV', 35, 'UV', 16, 'libvlccore.so', 'gprof', 'V2', 'V2', 0.985579089680036, 30.993094444274902]
['UV', 62, 'CV', 295, 'ar', 'echo', 'V1', 'V1', 0.9983785974868261, 0.559276819229126]
['CV', 226, 'BV', 39, 'logname', 'svn', 'V0', 'V1', 0.983669548511047, 0.31784963607788086]
['UV', 34, 'CV', 249, 'elfedit', 'tr', 'V3', 'V0', 0.9595959595959596, 0.0707252025604248]
['UV', 67, 'BV', 35, 'cmp', 'libvlccore.so', 'V0', 'V2', 0.9913113067337372, 2.7723655700683594]
['BV', 17, 'UV', 67, 'codeblocks', 'cmp', 'V2', 'V0', 0.9988661417322835, 4.309244394302368]
['BV', 23, 'UV', 12, 'diff', 'c++filt', 'V3', 'V2', 0.9561057962858751, 3.3825490474700928]
['CV', 276, 'BV', 43, 'uptime', 'lua', 'V1', 'V0', 0.9681274900398407, 0.40856337547302246]
['UV', 1, 'CV', 51, 'xargs', 'printf', 'V2', 'V2', 0.9273182957393484, 0.12384772300720215]
['UV', 76, 'CV', 249, 'as', 'tr', 'V0', 'V0', 0.9977448907681465, 1.170846939086914]
['CV', 155, 'BV', 43, 'cat', 'lua', 'V3', 'V0', 0.9561369757599076, 0.5380802154541016]
['CV', 141, 'BV', 64, 'false', 'openssl', 'V3', 'V2', 0.9928836174944403, 1.7286527156829834]
['UV', 52, 'CV', 78, 'strip', 'rm', 'V1', 'V2', 0.9949423107317844, 1.9519853591918945]
['UV', 29, 'CV', 132, 'objcopy', 'cp', 'V3', 'V3', 0.9887658481784625, 3.4057669639587402]
['UV', 24, 'BV', 5, 'readelf', 'libvlccore.so', 'V3', 'V0', 0.962160512664022, 13.28273344039917]
['UV', 61, 'CV', 159, 'addr2line', 'id', 'V1', 'V3', 0.9950176458376583, 1.123960256576538]
['BV', 43, 'CV', 249, 'lua', 'tr', 'V0', 'V0', 0.9882121807465619, 0.4377012252807617]
['BV', 35, 'CV', 319, 'libvlccore.so', 'readlink', 'V2', 'V1', 0.9988396379670457, 1.3046612739562988]
['CV', 88, 'UV', 19, 'stat', 'elfedit', 'V3', 'V2', 0.9894319682959049, 0.14371323585510254]
['UV', 68, 'BV', 49, 'diff', 'make', 'V0', 'V3', 0.9490125673249551, 1.2366771697998047]
['UV', 21, 'CV', 296, 'objdump', 'sum', 'V2', 'V1', 0.9984399375975039, 1.004089117050171]
['BV', 68, 'CV', 340, 'dot', 'fold', 'V0', 'V1', 0.9911504424778761, 0.02169179916381836]
['UV', 79, 'CV', 341, 'strings', 'uniq', 'V0', 'V1', 0.9973244147157191, 0.7486367225646973]
['UV', 30, 'CV', 88, 'ld', 'stat', 'V3', 'V3', 0.9959133633020024, 2.6596200466156006]
['UV', 86, 'CV', 305, 'size', 'true', 'V0', 'V1', 0.998482837094633, 0.5072035789489746]
['CV', 344, 'BV', 58, 'tac', 'ruby', 'V1', 'V3', 0.996219281663516, 0.021292924880981445]
['BV', 65, 'CV', 238, 'ssh', 'md5sum', 'V1', 'V0', 0.9990847380062543, 1.7981183528900146]
