['CV', 31, 'BV', 9, 'sha1sum', 'dot', 'V2', 'V2', 1.0, 0.057320356369018555]
['CV', 293, 'BV', 48, 'paste', 'gvmap', 'V1', 'V3', 0.9688888888888889, 0.3920421600341797]
['BV', 76, 'CV', 31, 'diff', 'sha1sum', 'V2', 'V2', 0.9875776397515528, 0.35349273681640625]
['CV', 332, 'UV', 21, '[', 'objdump', 'V1', 'V2', 0.9853491271820449, 2.2826452255249023]
['CV', 165, 'BV', 80, 'rm', 'cluster', 'V3', 'V1', 0.9463087248322147, 0.5803031921386719]
['CV', 104, 'BV', 16, 'mkfifo', 'libvlc.so', 'V3', 'V3', 0.9829059829059829, 0.5549485683441162]
['BV', 75, 'CV', 124, 'cmp', 'seq', 'V2', 'V3', 0.9246575342465754, 0.08901095390319824]
['BV', 35, 'UV', 49, 'libvlccore.so', 'xargs', 'V2', 'V1', 0.9988592288386949, 3.1172032356262207]
['CV', 13, 'UV', 51, 'join', 'nm', 'V2', 'V1', 0.9706122448979592, 1.2950644493103027]
['BV', 9, 'CV', 51, 'dot', 'printf', 'V2', 'V2', 0.9944903581267217, 0.03475546836853027]
['CV', 225, 'BV', 32, 'printf', 'perl', 'V0', 'V0', 0.9886492622020431, 1.696422815322876]
['CV', 100, 'BV', 37, 'join', 'geany', 'V3', 'V1', 0.9900599191787821, 9.60554552078247]
['BV', 37, 'CV', 48, 'geany', 'df', 'V1', 'V2', 0.9987031633551017, 7.879281759262085]
['CV', 338, 'UV', 69, 'nl', 'sdiff', 'V1', 'V0', 0.9327354260089686, 0.15706467628479004]
['CV', 99, 'UV', 8, 'stty', 'strip', 'V3', 'V2', 0.9784468012316113, 1.6495625972747803]
['BV', 9, 'UV', 40, 'dot', 'diff3', 'V2', 'V3', 0.987603305785124, 0.04949665069580078]
['CV', 144, 'BV', 7, 'who', 'libSDL2-2.0.so', 'V3', 'V0', 0.9761654398878373, 1.9939155578613281]
['BV', 0, 'CV', 315, 'bash', 'false', 'V2', 'V1', 0.999378431575676, 0.9761030673980713]
['BV', 29, 'CV', 313, 'perl', 'logname', 'V3', 'V1', 0.9988816104809075, 1.292837142944336]
['UV', 46, 'BV', 50, 'diff', 'sort', 'V1', 'V0', 0.9794661190965093, 0.30647873878479004]
['BV', 29, 'CV', 325, 'perl', 'md5sum', 'V3', 'V1', 0.9988855277822003, 1.7286736965179443]
['UV', 68, 'CV', 320, 'diff', 'head', 'V0', 'V1', 0.9817629179331308, 0.13045978546142578]
['CV', 167, 'BV', 67, 'uniq', 'cluster', 'V3', 'V0', 0.9540059347181009, 0.3248312473297119]
['CV', 230, 'UV', 84, 'yes', 'ar', 'V0', 'V0', 0.9842820730671198, 0.6030497550964355]
['CV', 274, 'UV', 32, 'join', 'addr2line', 'V1', 'V3', 0.9770662051060147, 0.9784903526306152]
['UV', 58, 'CV', 197, 'objcopy', 'wc', 'V1', 'V0', 0.9983563445101906, 0.8414120674133301]
['CV', 289, 'BV', 38, 'chown', 'ruby', 'V1', 'V2', 0.9884393063583815, 0.016042709350585938]
['CV', 240, 'BV', 32, 'link', 'perl', 'V0', 'V0', 0.9899201217192849, 1.094944953918457]
['CV', 241, 'BV', 80, 'uname', 'cluster', 'V0', 'V1', 0.9568, 0.15366244316101074]
['CV', 88, 'BV', 21, 'stat', 'cp', 'V3', 'V1', 0.9362380446333688, 0.18675565719604492]
