['UV', 49, 'CV', 41, 'xargs', 'nice', 'V1', 'V2', 0.9482071713147411, 0.10000157356262207]
['UV', 11, 'BV', 62, 'ranlib', 'diff', 'V2', 'V0', 0.9931258354019477, 3.608842372894287]
['UV', 38, 'CV', 17, 'xargs', 'mkfifo', 'V3', 'V2', 0.9708029197080292, 0.20604920387268066]
['BV', 58, 'CV', 45, 'ruby', 'cp', 'V3', 'V2', 0.9916434540389972, 0.07072019577026367]
['CV', 308, 'BV', 45, 'od', 'svn', 'V1', 'V3', 0.9852992649632482, 1.4866421222686768]
['BV', 75, 'CV', 36, 'cmp', 'chroot', 'V2', 'V2', 0.9201520912547528, 0.06444716453552246]
['CV', 285, 'BV', 35, 'factor', 'libvlccore.so', 'V1', 'V2', 0.9944296158755948, 1.6709356307983398]
['CV', 94, 'UV', 67, 'dir', 'cmp', 'V3', 'V0', 0.9895287958115183, 0.22027587890625]
['CV', 44, 'UV', 20, 'true', 'size', 'V2', 'V2', 0.9801852250699978, 1.1854960918426514]
['BV', 56, 'CV', 288, 'ssh', 'expr', 'V3', 'V1', 0.9959177722700102, 4.141703367233276]
['CV', 147, 'UV', 39, 'hostid', 'find', 'V3', 'V3', 0.9741532976827094, 0.4163215160369873]
['BV', 74, 'CV', 70, 'git', 'vdir', 'V1', 'V2', 0.998075559607009, 8.537097930908203]
['BV', 16, 'UV', 52, 'libvlc.so', 'strip', 'V3', 'V1', 0.9607037369975601, 9.373604536056519]
['CV', 226, 'BV', 16, 'logname', 'libvlc.so', 'V0', 'V3', 0.9909729187562688, 0.31681370735168457]
['UV', 46, 'CV', 53, 'diff', 'tty', 'V1', 'V2', 0.9875195007800313, 0.1601696014404297]
['UV', 27, 'CV', 244, 'c++filt', 'vdir', 'V3', 'V0', 0.9921341337197268, 1.8951585292816162]
['UV', 47, 'CV', 152, 'sdiff', 'env', 'V1', 'V3', 0.9474497681607419, 0.08650326728820801]
['BV', 77, 'CV', 346, 'perl', 'mknod', 'V2', 'V1', 0.998993023088542, 1.6094131469726562]
['CV', 152, 'UV', 83, 'env', 'addr2line', 'V3', 'V0', 0.9740545294635005, 1.0082752704620361]
['UV', 12, 'BV', 11, 'c++filt', 'bash', 'V2', 'V1', 0.9719021779528729, 28.785799026489258]
['CV', 153, 'BV', 23, 'link', 'diff', 'V3', 'V3', 0.8804159445407279, 0.1832432746887207]
['CV', 135, 'BV', 78, 'df', 'make', 'V3', 'V2', 0.9426957223567393, 0.9011554718017578]
['CV', 127, 'UV', 15, 'ls', 'ld', 'V3', 'V2', 0.9659997384595266, 5.105309963226318]
['CV', 232, 'UV', 74, 'readlink', 'strip', 'V0', 'V0', 0.9828884325804244, 1.3273394107818604]
['UV', 46, 'CV', 51, 'diff', 'printf', 'V1', 'V2', 0.9841954022988506, 0.2547731399536133]
['BV', 8, 'CV', 105, 'cluster', 'pwd', 'V2', 'V3', 0.9813886900501074, 0.3011362552642822]
['CV', 168, 'BV', 9, 'sleep', 'dot', 'V3', 'V2', 1.0, 0.029225587844848633]
['UV', 68, 'CV', 344, 'diff', 'tac', 'V0', 'V1', 0.9546520719311963, 0.29831480979919434]
['UV', 39, 'CV', 236, 'find', 'unexpand', 'V3', 'V0', 0.9935572940635067, 0.2962818145751953]
['BV', 25, 'UV', 63, 'git', 'elfedit', 'V3', 'V1', 0.9995240038079696, 5.046830892562866]
['BV', 65, 'CV', 172, 'ssh', 'mknod', 'V1', 'V3', 0.9986355366889024, 2.4990196228027344]
['CV', 284, 'BV', 62, 'wc', 'diff', 'V1', 'V0', 0.9167904903417533, 0.09269189834594727]
['UV', 58, 'BV', 58, 'objcopy', 'ruby', 'V1', 'V3', 0.9979828542612204, 0.16846275329589844]
['UV', 43, 'CV', 234, 'sdiff', 'hostid', 'V3', 'V0', 0.9577735124760077, 0.04784655570983887]
['CV', 312, 'BV', 35, 'printf', 'libvlccore.so', 'V1', 'V2', 0.9930627818244884, 1.9932382106781006]
['CV', 164, 'BV', 25, 'nl', 'git', 'V3', 'V3', 0.9922554347826087, 6.804400205612183]
['BV', 40, 'UV', 33, 'lua', 'ar', 'V2', 'V3', 0.9648601162319232, 10.010090112686157]
['BV', 66, 'CV', 174, 'lua', 'touch', 'V1', 'V0', 0.9927953890489913, 0.5418329238891602]
['UV', 52, 'CV', 166, 'strip', 'fold', 'V1', 'V3', 0.9964418567038654, 1.2883663177490234]
['BV', 30, 'CV', 124, 'bash', 'seq', 'V0', 'V3', 0.9959211420802175, 2.0430681705474854]
['CV', 37, 'BV', 36, 'seq', 'libvlc.so', 'V2', 'V2', 0.9895337773549001, 0.5348641872406006]
['CV', 104, 'UV', 86, 'mkfifo', 'size', 'V3', 'V0', 0.9814608824619948, 1.0570182800292969]
['CV', 266, 'BV', 61, 'mkdir', 'cmp', 'V1', 'V0', 0.9408284023668639, 0.030754804611206055]
['UV', 69, 'CV', 33, 'sdiff', 'sync', 'V0', 'V2', 0.9475524475524475, 0.06211352348327637]
['CV', 304, 'UV', 82, 'chmod', 'gprof', 'V1', 'V0', 0.9709741550695825, 1.4165270328521729]
['CV', 62, 'BV', 13, 'unexpand', 'cp', 'V2', 'V2', 0.898876404494382, 0.1237339973449707]
['CV', 256, 'UV', 25, 'sort', 'as', 'V0', 'V3', 0.9772937293729373, 2.2564544677734375]
['CV', 184, 'UV', 40, 'ptx', 'diff3', 'V0', 'V3', 0.9408658922914467, 0.17469191551208496]
['CV', 335, 'BV', 19, 'pathchk', 'cp', 'V1', 'V3', 0.9205702647657841, 0.11305522918701172]
['BV', 24, 'CV', 87, 'git', 'touch', 'V0', 'V3', 0.9979841100438752, 5.255138874053955]
['UV', 7, 'CV', 129, 'nm', 'dircolors', 'V2', 'V3', 0.9942064969997931, 1.1168615818023682]
