['BV', 16, 'CV', 78, 'libvlc.so', 'rm', 'V3', 'V2', 0.9920774647887324, 1.528475284576416]
['CV', 159, 'UV', 66, 'id', 'diff3', 'V3', 'V0', 0.8941176470588236, 0.20990586280822754]
['UV', 5, 'BV', 0, 'diff', 'bash', 'V2', 'V2', 0.970123527721919, 12.191652059555054]
['UV', 74, 'CV', 171, 'strip', 'rmdir', 'V0', 'V3', 0.9949689753479792, 1.4879307746887207]
['UV', 47, 'CV', 34, 'sdiff', 'echo', 'V1', 'V2', 0.9540636042402827, 0.10927462577819824]
['UV', 57, 'CV', 113, 'strings', 'date', 'V1', 'V3', 0.9943616592831253, 1.7306313514709473]
['UV', 49, 'BV', 41, 'xargs', 'libvlccore.so', 'V1', 'V1', 0.9903307888040712, 2.327939510345459]
['CV', 141, 'BV', 19, 'false', 'cp', 'V3', 'V3', 0.894937917860554, 0.15124726295471191]
['CV', 218, 'BV', 73, 'true', 'geany', 'V0', 'V0', 0.9952414427080517, 2.45597505569458]
['BV', 70, 'CV', 14, 'ssh', 'dirname', 'V0', 'V2', 0.9982708480704237, 1.6962594985961914]
['CV', 119, 'UV', 30, 'paste', 'ld', 'V3', 'V3', 0.9785975781470009, 1.6288979053497314]
['CV', 158, 'UV', 83, '[', 'addr2line', 'V3', 'V0', 0.9743979171186808, 1.1979379653930664]
['BV', 78, 'CV', 119, 'make', 'paste', 'V2', 'V3', 0.9814385150812065, 0.41738343238830566]
['UV', 29, 'CV', 227, 'objcopy', 'tty', 'V3', 'V0', 0.9981884057971014, 0.6035842895507812]
['UV', 20, 'BV', 67, 'size', 'cluster', 'V2', 'V0', 0.9842864973506303, 3.191901683807373]
['UV', 25, 'CV', 331, 'as', 'vdir', 'V3', 'V1', 0.9945715393563397, 3.1126585006713867]
['UV', 62, 'BV', 81, 'ar', 'dot', 'V1', 'V1', 0.9979495591552183, 0.33152246475219727]
['UV', 77, 'CV', 304, 'ranlib', 'chmod', 'V0', 'V1', 0.9951120162932791, 1.2065339088439941]
['CV', 239, 'BV', 57, 'env', 'svn', 'V0', 'V2', 0.9798173954829409, 0.307997465133667]
['BV', 31, 'UV', 39, 'codeblocks', 'find', 'V0', 'V3', 0.9928176145060639, 22.85312581062317]
['CV', 211, 'UV', 10, 'seq', 'as', 'V0', 'V2', 0.9869901070605773, 1.0122482776641846]
['UV', 3, 'CV', 230, 'diff3', 'yes', 'V2', 'V0', 0.9690522243713733, 0.04384160041809082]
['BV', 25, 'CV', 312, 'git', 'printf', 'V3', 'V1', 0.9993184993355368, 5.058120965957642]
['CV', 341, 'UV', 49, 'uniq', 'xargs', 'V1', 'V1', 0.8949416342412452, 0.059598445892333984]
['UV', 72, 'CV', 20, 'find', 'tee', 'V0', 'V2', 0.9889589905362776, 0.17088055610656738]
['CV', 229, 'UV', 79, 'nohup', 'strings', 'V0', 'V0', 0.9815148782687105, 0.7047111988067627]
['BV', 55, 'CV', 72, 'codeblocks', 'id', 'V3', 'V2', 0.9988803881321142, 3.014432191848755]
['BV', 68, 'UV', 36, 'dot', 'objdump', 'V0', 'V3', 0.9924770130955698, 0.6380364894866943]
['UV', 26, 'CV', 59, 'ranlib', 'head', 'V3', 'V2', 0.994728304947283, 0.982602596282959]
['BV', 5, 'CV', 302, 'libvlccore.so', 'nice', 'V0', 'V1', 0.9994667377682975, 0.9899797439575195]
