['UV', 72, 'CV', 75, 'find', 'tr', 'V0', 'V2', 0.9849962490622656, 0.43272900581359863]
['CV', 216, 'UV', 63, 'dircolors', 'elfedit', 'V0', 'V1', 0.9720930232558139, 0.12711000442504883]
['CV', 206, 'UV', 35, 'paste', 'size', 'V0', 'V3', 0.9832672831351827, 1.3821780681610107]
['CV', 302, 'BV', 24, 'nice', 'git', 'V1', 'V0', 0.9933566855900471, 4.025904178619385]
['CV', 41, 'UV', 82, 'nice', 'gprof', 'V2', 'V0', 0.9799918334013883, 1.7136383056640625]
['BV', 10, 'CV', 139, 'gvmap', 'logname', 'V2', 'V3', 0.9817415730337079, 0.5333125591278076]
['BV', 37, 'CV', 316, 'geany', 'nohup', 'V1', 'V1', 0.9992490025815536, 3.774707555770874]
['CV', 330, 'BV', 43, 'csplit', 'lua', 'V1', 'V0', 0.9451491258141926, 1.1145308017730713]
['CV', 107, 'BV', 65, 'tee', 'ssh', 'V3', 'V1', 0.9816957870055215, 2.861034870147705]
['CV', 58, 'UV', 1, 'readlink', 'xargs', 'V2', 'V2', 0.9026315789473685, 0.11548805236816406]
['CV', 251, 'BV', 10, 'nl', 'gvmap', 'V0', 'V2', 0.9658018867924528, 0.5024251937866211]
['UV', 24, 'CV', 90, 'readelf', 'test', 'V3', 'V3', 0.989880737260571, 0.5720157623291016]
['UV', 31, 'CV', 48, 'gprof', 'df', 'V3', 'V2', 0.9946431987755883, 1.7905306816101074]
['CV', 323, 'UV', 1, 'unexpand', 'xargs', 'V1', 'V2', 0.9183055975794251, 0.08178973197937012]
['CV', 249, 'UV', 41, 'tr', 'cmp', 'V0', 'V3', 0.8875502008032129, 0.058440446853637695]
['CV', 127, 'BV', 69, 'ls', 'gvmap', 'V3', 'V0', 0.95822454308094, 0.7899835109710693]
['BV', 79, 'CV', 160, 'bash', 'shred', 'V3', 'V3', 0.9959553158705701, 3.484562635421753]
['CV', 96, 'BV', 66, 'users', 'lua', 'V3', 'V1', 0.9566453447050463, 0.5582866668701172]
['CV', 0, 'UV', 47, 'touch', 'sdiff', 'V2', 'V1', 0.9105812220566318, 0.0928652286529541]
['UV', 0, 'CV', 54, 'locate', 'false', 'V2', 'V2', 0.9708029197080292, 0.0731205940246582]
['CV', 242, 'BV', 70, 'cat', 'ssh', 'V0', 'V0', 0.9873866771777691, 1.559455394744873]
['BV', 48, 'CV', 173, 'gvmap', 'ln', 'V3', 'V3', 0.9593908629441624, 0.6132104396820068]
['CV', 259, 'BV', 2, 'mknod', 'cmp', 'V0', 'V1', 0.8542141230068337, 0.04450798034667969]
['UV', 56, 'CV', 333, 'c++filt', 'id', 'V1', 'V1', 0.9982721382289417, 0.6483089923858643]
['CV', 136, 'BV', 68, 'tsort', 'dot', 'V3', 'V0', 1.0, 0.03287768363952637]
['CV', 28, 'UV', 76, 'chown', 'as', 'V2', 'V0', 0.9758639605046626, 2.256054401397705]
['UV', 33, 'CV', 155, 'ar', 'cat', 'V3', 'V3', 0.9963570127504554, 1.0490517616271973]
['CV', 180, 'UV', 17, 'fmt', 'addr2line', 'V0', 'V2', 0.9770860354517942, 0.6704308986663818]
['CV', 313, 'UV', 82, 'logname', 'gprof', 'V1', 'V0', 0.9875879189077369, 0.6348023414611816]
['BV', 45, 'CV', 273, 'svn', 'stty', 'V3', 'V1', 0.996462681287584, 0.5716245174407959]
['UV', 19, 'CV', 335, 'elfedit', 'pathchk', 'V2', 'V1', 0.9800498753117207, 0.04780983924865723]
['UV', 17, 'CV', 2, 'addr2line', 'unlink', 'V2', 'V2', 0.9961273666092944, 0.6684050559997559]
['BV', 12, 'CV', 67, 'sort', 'uname', 'V2', 'V2', 0.9662243667068757, 0.0958261489868164]
['BV', 44, 'CV', 257, 'make', 'tac', 'V0', 'V0', 0.983710407239819, 0.673363208770752]
['UV', 4, 'CV', 3, 'cmp', 'test', 'V2', 'V2', 0.9337231968810916, 0.05856585502624512]
['CV', 39, 'BV', 11, 'whoami', 'bash', 'V2', 'V1', 0.9863503412414689, 1.4588055610656738]
['CV', 74, 'BV', 12, 'pathchk', 'sort', 'V2', 'V2', 0.8810939357907254, 0.11367988586425781]
['CV', 200, 'BV', 70, 'date', 'ssh', 'V0', 'V0', 0.984816467089301, 2.488611936569214]
['UV', 60, 'CV', 247, 'gprof', 'shred', 'V1', 'V0', 0.9976874156870302, 1.1368439197540283]
['BV', 19, 'CV', 326, 'cp', 'env', 'V3', 'V1', 0.9917269906928645, 0.09027218818664551]
