['CV', 183, 'UV', 49, 'users', 'xargs', 'V0', 'V1', 0.8669527896995708, 0.04838919639587402]
['UV', 31, 'CV', 119, 'gprof', 'paste', 'V3', 'V3', 0.9952314722829326, 0.7581064701080322]
['CV', 265, 'BV', 72, 'basename', 'perl', 'V1', 'V1', 0.9917306556408741, 0.9622619152069092]
['BV', 66, 'CV', 341, 'lua', 'uniq', 'V1', 'V1', 0.9920318725099602, 0.34310126304626465]
['BV', 55, 'CV', 220, 'codeblocks', 'cut', 'V3', 'V0', 0.9992518236797805, 1.8736181259155273]
['BV', 45, 'CV', 266, 'svn', 'mkdir', 'V3', 'V1', 0.995053003533569, 0.47351670265197754]
['BV', 25, 'CV', 341, 'git', 'uniq', 'V3', 'V1', 0.9993189402710617, 5.32327675819397]
['UV', 25, 'CV', 52, 'as', 'logname', 'V3', 'V2', 0.9972965666396323, 1.1410315036773682]
['UV', 53, 'CV', 226, 'readelf', 'logname', 'V1', 'V0', 0.9915134370579916, 0.1633756160736084]
['BV', 32, 'UV', 55, 'perl', 'ranlib', 'V0', 'V1', 0.985781990521327, 35.68044376373291]
['BV', 5, 'CV', 145, 'libvlccore.so', 'readlink', 'V0', 'V3', 0.9984350547730829, 1.9459459781646729]
['CV', 256, 'BV', 6, 'sort', 'libvlc.so', 'V0', 'V0', 0.9766016713091922, 0.5988688468933105]
['BV', 12, 'CV', 281, 'sort', 'tee', 'V2', 'V1', 0.9751243781094527, 0.08589506149291992]
['BV', 61, 'CV', 38, 'cmp', 'split', 'V0', 'V2', 0.883495145631068, 0.052720069885253906]
['CV', 162, 'UV', 41, 'tr', 'cmp', 'V3', 'V3', 0.9195979899497487, 0.08069252967834473]
['CV', 26, 'BV', 36, 'date', 'libvlc.so', 'V2', 'V2', 0.9832167832167832, 0.6257762908935547]
['CV', 0, 'BV', 57, 'touch', 'svn', 'V2', 'V2', 0.9775885253249664, 0.6220581531524658]
['CV', 149, 'BV', 17, 'unexpand', 'codeblocks', 'V3', 'V2', 0.9957141056346905, 5.4483115673065186]
['BV', 69, 'CV', 341, 'gvmap', 'uniq', 'V0', 'V1', 0.9762658227848101, 0.2178211212158203]
['UV', 84, 'CV', 43, 'ar', 'chmod', 'V0', 'V2', 0.9947464134168519, 1.3060307502746582]
['BV', 39, 'CV', 264, 'svn', 'test', 'V1', 'V1', 0.996238834038552, 0.3814260959625244]
['CV', 277, 'BV', 24, 'dd', 'git', 'V1', 'V0', 0.9876786889168012, 4.1706013679504395]
['CV', 20, 'BV', 22, 'tee', 'cmp', 'V2', 'V3', 0.9301848049281314, 0.05881786346435547]
['UV', 52, 'CV', 141, 'strip', 'false', 'V1', 'V3', 0.9967378894144512, 1.0252749919891357]
['BV', 79, 'CV', 215, 'bash', 'nice', 'V3', 'V0', 0.9984111221449851, 1.2109880447387695]
['BV', 24, 'CV', 190, 'git', 'dd', 'V0', 'V0', 0.9988031835318054, 3.546616792678833]
['CV', 213, 'UV', 52, 'whoami', 'strip', 'V0', 'V1', 0.9864507600793126, 0.756066083908081]
['CV', 58, 'UV', 13, 'readlink', 'strings', 'V2', 'V2', 0.9736001703214818, 1.0113916397094727]
['UV', 82, 'BV', 74, 'gprof', 'git', 'V0', 'V1', 0.9590996892584194, 56.79155516624451]
