['UV', 68, 'BV', 21, 'diff', 'cp', 'V0', 'V1', 0.9605911330049262, 0.26535987854003906]
['BV', 0, 'CV', 201, 'bash', 'expr', 'V2', 'V0', 0.995228153892037, 6.206181049346924]
['UV', 5, 'CV', 167, 'diff', 'uniq', 'V2', 'V3', 0.9651898734177216, 0.25363945960998535]
['UV', 66, 'CV', 186, 'diff3', 'stty', 'V0', 'V0', 0.949238578680203, 0.07442784309387207]
['CV', 38, 'BV', 54, 'split', 'lua', 'V2', 'V3', 0.9591100420926038, 1.5903949737548828]
['CV', 69, 'UV', 47, 'csplit', 'sdiff', 'V2', 'V1', 0.931840311587147, 0.39719581604003906]
['UV', 58, 'CV', 305, 'objcopy', 'true', 'V1', 'V1', 0.9990066225165563, 1.1199331283569336]
['UV', 84, 'CV', 188, 'ar', 'dirname', 'V0', 'V0', 0.9987266553480475, 0.5465991497039795]
['BV', 8, 'CV', 146, 'cluster', 'head', 'V2', 'V3', 0.9709141274238227, 0.33417654037475586]
['BV', 69, 'CV', 179, 'gvmap', 'mkdir', 'V0', 'V0', 0.9840764331210191, 0.22796225547790527]
['CV', 42, 'BV', 23, 'dircolors', 'diff', 'V2', 'V3', 0.8940864960282436, 0.1680917739868164]
['BV', 3, 'CV', 155, 'diff', 'cat', 'V1', 'V3', 0.975095785440613, 0.17281436920166016]
['CV', 9, 'BV', 80, 'users', 'cluster', 'V2', 'V1', 0.9715142428785607, 0.24180865287780762]
['BV', 57, 'CV', 139, 'svn', 'logname', 'V2', 'V3', 0.9935691318327974, 0.4650852680206299]
['BV', 39, 'CV', 140, 'svn', 'tty', 'V1', 'V3', 0.9944852941176471, 0.47004032135009766]
['BV', 24, 'CV', 103, 'git', 'dd', 'V0', 'V3', 0.9979946918313182, 6.19305157661438]
['UV', 51, 'BV', 79, 'nm', 'bash', 'V1', 'V3', 0.9613187418266914, 33.938846588134766]
['BV', 75, 'CV', 293, 'cmp', 'paste', 'V2', 'V1', 0.9494252873563218, 0.04010820388793945]
['CV', 256, 'UV', 61, 'sort', 'addr2line', 'V0', 'V1', 0.9725466093013727, 1.4618725776672363]
['UV', 14, 'CV', 44, 'objcopy', 'true', 'V2', 'V2', 0.9975251900300512, 0.759838342666626]
['BV', 6, 'CV', 184, 'libvlc.so', 'ptx', 'V0', 'V0', 0.9888324873096447, 0.6689395904541016]
['UV', 53, 'CV', 287, 'readelf', 'date', 'V1', 'V1', 0.9868852459016394, 0.3013017177581787]
['BV', 38, 'CV', 57, 'ruby', 'who', 'V2', 'V2', 0.9936305732484076, 0.016696929931640625]
['BV', 39, 'CV', 147, 'svn', 'hostid', 'V1', 'V3', 0.9935632183908046, 0.45470166206359863]
['CV', 101, 'BV', 3, 'dirname', 'diff', 'V3', 'V1', 0.8837675350701403, 0.14697957038879395]
['BV', 27, 'CV', 301, 'libSDL2-2.0.so', 'ls', 'V1', 'V1', 0.9925857275254866, 3.0762200355529785]
['CV', 15, 'UV', 68, 'uptime', 'diff', 'V2', 'V0', 0.898238747553816, 0.16274571418762207]
['BV', 23, 'CV', 0, 'diff', 'touch', 'V3', 'V2', 0.9766472060050042, 0.19897007942199707]
['UV', 24, 'CV', 278, 'readelf', 'mkfifo', 'V3', 'V1', 0.9954128440366973, 0.302487850189209]
['BV', 45, 'CV', 211, 'svn', 'seq', 'V3', 'V0', 0.9963846710050615, 0.4318830966949463]
['BV', 40, 'CV', 83, 'lua', 'tac', 'V2', 'V2', 0.9908368967623702, 1.144838571548462]
['BV', 7, 'CV', 124, 'libSDL2-2.0.so', 'seq', 'V0', 'V3', 0.9925938987832834, 1.4525365829467773]
['BV', 27, 'CV', 158, 'libSDL2-2.0.so', '[', 'V1', 'V3', 0.9937363834422658, 1.7367570400238037]
