['CV', 307, 'BV', 77, 'cut', 'perl', 'V1', 'V2', 0.9903846153846154, 3.9528839588165283]
['CV', 48, 'UV', 57, 'df', 'strings', 'V2', 'V1', 0.9604997984683595, 1.371448040008545]
['UV', 61, 'CV', 153, 'addr2line', 'link', 'V1', 'V3', 0.9962121212121212, 0.6741740703582764]
['UV', 82, 'BV', 53, 'gprof', 'ssh', 'V0', 'V2', 0.9765717842793277, 47.46345925331116]
['UV', 55, 'CV', 322, 'ranlib', 'ginstall', 'V1', 'V1', 0.9924471299093656, 1.988600254058838]
['CV', 231, 'BV', 79, 'who', 'bash', 'V0', 'V3', 0.9883594751898984, 2.0506601333618164]
['CV', 16, 'UV', 25, 'dd', 'as', 'V2', 'V3', 0.974466964990787, 2.371997356414795]
['UV', 47, 'CV', 45, 'sdiff', 'cp', 'V1', 'V2', 0.9096774193548387, 0.2298736572265625]
['CV', 100, 'BV', 14, 'join', 'openssl', 'V3', 'V3', 0.9891232258920282, 3.2622714042663574]
['BV', 2, 'CV', 25, 'cmp', 'expand', 'V1', 'V2', 0.9426229508196722, 0.05153608322143555]
['CV', 173, 'UV', 86, 'ln', 'size', 'V3', 'V0', 0.9790356394129979, 2.4902427196502686]
['UV', 84, 'CV', 84, 'ar', 'rmdir', 'V0', 'V2', 0.9962601288177851, 0.8627345561981201]
['UV', 19, 'CV', 1, 'elfedit', 'stat', 'V2', 'V2', 0.9794238683127572, 0.0790872573852539]
['CV', 91, 'UV', 37, 'basename', 'locate', 'V3', 'V3', 0.9660056657223796, 0.20118498802185059]
['CV', 161, 'BV', 13, 'pathchk', 'cp', 'V3', 'V2', 0.901673640167364, 0.16185998916625977]
['CV', 204, 'BV', 79, 'pinky', 'bash', 'V0', 'V3', 0.9855916313036613, 1.916630744934082]
['UV', 54, 'CV', 54, 'as', 'false', 'V1', 'V2', 0.9983700081499592, 0.9663879871368408]
['CV', 50, 'BV', 57, 'cksum', 'svn', 'V2', 'V2', 0.9840972871842844, 0.4380149841308594]
['CV', 190, 'BV', 27, 'dd', 'libSDL2-2.0.so', 'V0', 'V1', 0.9778960294719607, 2.1880886554718018]
['CV', 138, 'BV', 51, 'printf', 'cp', 'V3', 'V0', 0.8909574468085106, 0.1166234016418457]
['UV', 73, 'CV', 274, 'nm', 'join', 'V0', 'V1', 0.9952308692824626, 0.8475782871246338]
['BV', 27, 'CV', 216, 'libSDL2-2.0.so', 'dircolors', 'V1', 'V0', 0.9963923962813931, 1.065626621246338]
['UV', 44, 'CV', 193, 'diff3', 'pr', 'V1', 'V0', 0.9101449275362319, 0.10145354270935059]
['UV', 42, 'CV', 319, 'diff', 'readlink', 'V3', 'V1', 0.9833487511563367, 0.12288379669189453]
['BV', 20, 'CV', 54, 'sort', 'false', 'V1', 'V2', 0.9732441471571907, 0.060939788818359375]
['CV', 325, 'UV', 59, 'md5sum', 'ld', 'V1', 'V1', 0.98705966930266, 1.2291615009307861]
['CV', 189, 'BV', 28, 'uptime', 'openssl', 'V0', 'V1', 0.992918412128466, 3.0150651931762695]
['UV', 68, 'CV', 278, 'diff', 'mkfifo', 'V0', 'V1', 0.9869423286180631, 0.09454798698425293]
['UV', 73, 'CV', 53, 'nm', 'tty', 'V0', 'V2', 0.9956101843722563, 0.728604793548584]
['CV', 37, 'UV', 53, 'seq', 'readelf', 'V2', 'V1', 0.9790163934426229, 0.27637672424316406]
['BV', 0, 'CV', 48, 'bash', 'df', 'V2', 'V2', 0.9943943943943944, 3.277776002883911]
['CV', 49, 'UV', 17, 'tsort', 'addr2line', 'V2', 'V2', 0.9756462294381543, 0.8597486019134521]
['UV', 2, 'CV', 303, 'find', 'dircolors', 'V2', 'V1', 0.9937460913070669, 0.2107067108154297]
['BV', 49, 'CV', 244, 'make', 'vdir', 'V3', 'V0', 0.9793076004775169, 0.8914575576782227]
['CV', 118, 'UV', 55, 'sha1sum', 'ranlib', 'V3', 'V1', 0.9709519136408243, 1.2841851711273193]
['UV', 53, 'CV', 184, 'readelf', 'ptx', 'V1', 'V0', 0.9769357495881383, 0.54608154296875]
['CV', 147, 'BV', 39, 'hostid', 'svn', 'V3', 'V1', 0.9742528735632184, 0.5071284770965576]
['BV', 11, 'CV', 153, 'bash', 'link', 'V1', 'V3', 0.9969814575247952, 1.6767747402191162]
['CV', 76, 'BV', 7, 'comm', 'libSDL2-2.0.so', 'V2', 'V0', 0.9718209381130729, 1.348947525024414]
['BV', 83, 'CV', 125, 'git', 'split', 'V2', 'V3', 0.9988796966563254, 6.934731960296631]
['CV', 99, 'BV', 38, 'stty', 'ruby', 'V3', 'V2', 1.0, 0.01765608787536621]
['BV', 80, 'CV', 133, 'cluster', 'cut', 'V1', 'V3', 0.978813559322034, 0.3180413246154785]
['CV', 296, 'UV', 50, 'sum', 'find', 'V1', 'V1', 0.9393564356435644, 0.2876904010772705]
['BV', 1, 'CV', 180, 'libSDL2-2.0.so', 'fmt', 'V3', 'V0', 0.9974980097805072, 1.1626403331756592]
['UV', 86, 'CV', 63, 'size', 'mv', 'V0', 'V2', 0.9882980554121493, 2.5875332355499268]
['CV', 208, 'UV', 40, 'echo', 'diff3', 'V0', 'V3', 0.8808193668528864, 0.0584261417388916]
['CV', 280, 'UV', 8, 'pr', 'strip', 'V1', 'V2', 0.9775629962029686, 1.520857572555542]
['CV', 239, 'BV', 51, 'env', 'cp', 'V0', 'V0', 0.8896797153024911, 0.06469464302062988]
['BV', 43, 'UV', 10, 'lua', 'as', 'V0', 'V2', 0.9577494248065258, 14.211676359176636]
['CV', 102, 'BV', 33, 'uptime', 'openssl', 'V3', 'V0', 0.9857740585774059, 5.293227672576904]
['CV', 34, 'BV', 27, 'echo', 'libSDL2-2.0.so', 'V2', 'V1', 0.9838933629547348, 1.2164368629455566]
['UV', 45, 'BV', 71, 'cmp', 'ruby', 'V1', 'V1', 1.0, 0.014511823654174805]
['CV', 297, 'BV', 23, 'chroot', 'diff', 'V1', 'V3', 0.9132075471698113, 0.11594176292419434]
['UV', 76, 'CV', 176, 'as', 'unlink', 'V0', 'V0', 0.9980028530670471, 0.6883549690246582]
['CV', 145, 'BV', 62, 'readlink', 'diff', 'V3', 'V0', 0.9223057644110275, 0.13636445999145508]
['BV', 24, 'CV', 299, 'git', 'split', 'V0', 'V1', 0.9992775436484046, 2.450122356414795]
['BV', 9, 'CV', 227, 'dot', 'tty', 'V2', 'V0', 0.98989898989899, 0.018910646438598633]
['CV', 193, 'BV', 42, 'pr', 'libvlc.so', 'V0', 'V1', 0.9835306227483274, 0.5717012882232666]
['UV', 15, 'CV', 45, 'ld', 'cp', 'V2', 'V2', 0.9919764642952661, 3.726351261138916]
['BV', 70, 'CV', 61, 'ssh', 'ginstall', 'V0', 'V2', 0.9957553247934511, 6.004181385040283]
['UV', 18, 'CV', 158, 'ar', '[', 'V2', 'V3', 0.995260663507109, 1.3192448616027832]
['CV', 276, 'BV', 74, 'uptime', 'git', 'V1', 'V1', 0.9939862097568563, 2.4909656047821045]
