['UV', 83, 'CV', 105, 'addr2line', 'pwd', 'V0', 'V3', 0.9964996718442354, 1.6623060703277588]
['BV', 13, 'CV', 214, 'cp', 'ls', 'V2', 'V0', 0.9481605351170569, 0.5937235355377197]
['CV', 295, 'UV', 3, 'echo', 'diff3', 'V1', 'V2', 0.8692307692307693, 0.10484004020690918]
['BV', 33, 'CV', 306, 'openssl', 'cp', 'V0', 'V1', 0.9982322050642125, 11.283539772033691]
['CV', 188, 'UV', 28, 'dirname', 'strings', 'V0', 'V3', 0.9835299354551524, 0.6153781414031982]
['CV', 41, 'BV', 81, 'nice', 'dot', 'V2', 'V1', 1.0, 0.02457880973815918]
['CV', 16, 'UV', 22, 'dd', 'nm', 'V2', 'V3', 0.9637337729239646, 1.7807538509368896]
['UV', 31, 'CV', 71, 'gprof', '[', 'V3', 'V2', 0.9976047904191617, 0.9660017490386963]
['UV', 69, 'BV', 2, 'sdiff', 'cmp', 'V0', 'V1', 0.9446870451237264, 0.09351229667663574]
['BV', 12, 'CV', 223, 'sort', 'tsort', 'V2', 'V0', 0.962640099626401, 0.08803176879882812]
['UV', 65, 'CV', 236, 'objdump', 'unexpand', 'V1', 'V0', 0.9987909928970833, 0.864865779876709]
['CV', 54, 'UV', 2, 'false', 'find', 'V2', 'V2', 0.9417721518987342, 0.21036767959594727]
['BV', 63, 'CV', 287, 'ruby', 'date', 'V0', 'V1', 0.9992761163642945, 4.172777414321899]
['UV', 80, 'CV', 189, 'objcopy', 'uptime', 'V0', 'V0', 0.9979543129901125, 0.8683211803436279]
['BV', 82, 'CV', 203, 'gvmap', 'tail', 'V1', 'V0', 0.9770734996628456, 0.31594300270080566]
['CV', 181, 'BV', 37, 'dir', 'geany', 'V0', 'V1', 0.9894644424934153, 13.647355318069458]
['UV', 44, 'CV', 342, 'diff3', 'sleep', 'V1', 'V1', 0.967032967032967, 0.056647539138793945]
['CV', 279, 'UV', 22, 'pwd', 'nm', 'V1', 'V3', 0.9784436300926924, 0.7570226192474365]
['BV', 65, 'CV', 188, 'ssh', 'dirname', 'V1', 'V0', 0.9989277782032626, 1.2897748947143555]
['UV', 19, 'CV', 298, 'elfedit', 'seq', 'V2', 'V1', 0.9854368932038835, 0.05300712585449219]
['CV', 47, 'UV', 74, 'od', 'strip', 'V2', 'V0', 0.9761470929269505, 1.7327821254730225]
['BV', 78, 'CV', 239, 'make', 'env', 'V2', 'V0', 0.9940564635958395, 0.22793292999267578]
['CV', 237, 'BV', 40, 'mv', 'lua', 'V0', 'V2', 0.9548825710754018, 1.1813385486602783]
['CV', 60, 'BV', 32, 'hostid', 'perl', 'V2', 'V0', 0.9867537136909831, 1.4609947204589844]
['UV', 69, 'CV', 207, 'sdiff', 'sync', 'V0', 'V0', 0.9618320610687023, 0.04410910606384277]
['UV', 4, 'CV', 341, 'cmp', 'uniq', 'V2', 'V1', 0.9314516129032258, 0.056199073791503906]
['UV', 82, 'CV', 130, 'gprof', 'chmod', 'V0', 'V3', 0.9949494949494949, 1.5838091373443604]
['CV', 248, 'BV', 42, 'pathchk', 'libvlc.so', 'V0', 'V1', 0.984304932735426, 0.2944047451019287]
['UV', 34, 'CV', 81, 'elfedit', 'sleep', 'V3', 'V2', 0.9753086419753086, 0.07045340538024902]
['CV', 239, 'UV', 15, 'env', 'ld', 'V0', 'V2', 0.9907434191495517, 0.8738002777099609]
['UV', 40, 'CV', 16, 'diff3', 'dd', 'V3', 'V2', 0.9069182389937107, 0.12761163711547852]
['BV', 32, 'UV', 43, 'perl', 'sdiff', 'V0', 'V3', 0.9970318152304981, 3.0722038745880127]
['CV', 194, 'BV', 81, 'tee', 'dot', 'V0', 'V1', 0.9911504424778761, 0.0213625431060791]
['BV', 10, 'CV', 331, 'gvmap', 'vdir', 'V2', 'V1', 0.974477958236659, 0.5764329433441162]
['CV', 327, 'BV', 36, 'link', 'libvlc.so', 'V1', 'V2', 0.9869739478957916, 0.3327004909515381]
['CV', 4, 'BV', 28, 'basename', 'openssl', 'V2', 'V1', 0.9914270049344565, 2.7565109729766846]
['BV', 10, 'CV', 259, 'gvmap', 'mknod', 'V2', 'V0', 0.9881831610044313, 0.1892080307006836]
['BV', 19, 'CV', 23, 'cp', 'wc', 'V3', 'V2', 0.9781021897810219, 0.1802072525024414]
['CV', 150, 'BV', 1, 'mv', 'libSDL2-2.0.so', 'V3', 'V3', 0.9703919933277732, 7.712849855422974]
['BV', 49, 'CV', 118, 'make', 'sha1sum', 'V3', 'V3', 0.978232477144101, 0.5061256885528564]
['BV', 7, 'CV', 213, 'libSDL2-2.0.so', 'whoami', 'V0', 'V0', 0.995277878677806, 0.7081589698791504]
['BV', 13, 'CV', 291, 'cp', 'pinky', 'V2', 'V1', 0.977728285077951, 0.12720799446105957]
['BV', 3, 'CV', 127, 'diff', 'ls', 'V1', 'V3', 0.9364691508857667, 0.5248386859893799]
['CV', 75, 'BV', 50, 'tr', 'sort', 'V2', 'V0', 0.9041533546325878, 0.08617639541625977]
['BV', 52, 'CV', 233, 'libSDL2-2.0.so', 'head', 'V2', 'V0', 0.9963735267452403, 1.2297587394714355]
['CV', 62, 'UV', 72, 'unexpand', 'find', 'V2', 'V0', 0.9163378058405682, 0.19066905975341797]
['UV', 68, 'CV', 158, 'diff', '[', 'V0', 'V3', 0.9688359303391384, 0.1930093765258789]
['CV', 245, 'BV', 7, '[', 'libSDL2-2.0.so', 'V0', 'V0', 0.9794853338132086, 1.1835503578186035]
['CV', 65, 'BV', 80, 'env', 'cluster', 'V2', 'V1', 0.9645061728395061, 0.19776201248168945]
['CV', 321, 'UV', 14, 'hostid', 'objcopy', 'V1', 'V2', 0.9847111111111111, 0.692173957824707]
['CV', 22, 'UV', 70, 'kill', 'locate', 'V2', 'V0', 0.8802395209580838, 0.12298750877380371]
['UV', 32, 'CV', 7, 'addr2line', 'dir', 'V3', 'V2', 0.9904344360302909, 2.2921500205993652]
['BV', 83, 'CV', 250, 'git', 'comm', 'V2', 'V0', 0.9993896856881294, 2.856560230255127]
['CV', 167, 'UV', 3, 'uniq', 'diff3', 'V3', 'V2', 0.9222520107238605, 0.11129212379455566]
['CV', 8, 'UV', 57, 'du', 'strings', 'V2', 'V1', 0.963629328690269, 2.4881298542022705]
['BV', 8, 'CV', 272, 'cluster', 'printenv', 'V2', 'V1', 0.9919871794871795, 0.15084147453308105]
['CV', 213, 'BV', 17, 'whoami', 'codeblocks', 'V0', 'V2', 0.9972008397480756, 2.711613178253174]
['CV', 158, 'BV', 8, '[', 'cluster', 'V3', 'V2', 0.9484320557491289, 0.33050060272216797]
['CV', 133, 'BV', 38, 'cut', 'ruby', 'V3', 'V2', 1.0, 0.015285968780517578]
['CV', 206, 'BV', 5, 'paste', 'libvlccore.so', 'V0', 'V0', 0.9933324443259102, 1.122546672821045]
['CV', 265, 'BV', 47, 'basename', 'dot', 'V1', 'V3', 1.0, 0.019724607467651367]
['CV', 130, 'UV', 76, 'chmod', 'as', 'V3', 'V0', 0.9743484786464729, 2.4028196334838867]
['BV', 25, 'UV', 42, 'git', 'diff', 'V3', 'V3', 0.997207539642964, 18.511953830718994]
['CV', 291, 'UV', 18, 'pinky', 'ar', 'V1', 'V2', 0.9782214156079855, 1.0031983852386475]
['CV', 134, 'UV', 20, 'od', 'size', 'V3', 'V2', 0.9601545029477536, 1.653660535812378]
['CV', 81, 'BV', 23, 'sleep', 'diff', 'V2', 'V3', 0.9076376554174067, 0.16594886779785156]
['BV', 31, 'CV', 123, 'codeblocks', 'chroot', 'V0', 'V3', 0.9986897274633124, 4.000056982040405]
['BV', 48, 'UV', 10, 'gvmap', 'as', 'V3', 'V2', 0.9644212523719166, 6.7016706466674805]
['CV', 294, 'BV', 6, 'sync', 'libvlc.so', 'V1', 'V0', 0.9872040946896993, 0.2383434772491455]
['UV', 51, 'CV', 106, 'nm', 'pr', 'V1', 'V3', 0.9932793042103183, 1.7293422222137451]
['UV', 15, 'BV', 76, 'ld', 'diff', 'V2', 'V2', 0.9911653891126413, 4.714772701263428]
['UV', 49, 'CV', 172, 'xargs', 'mknod', 'V1', 'V3', 0.9229422066549913, 0.07319259643554688]
['UV', 80, 'CV', 1, 'objcopy', 'stat', 'V0', 'V2', 0.9969594594594594, 1.0816149711608887]
['CV', 265, 'UV', 87, 'basename', 'objdump', 'V1', 'V0', 0.986870897155361, 0.8782365322113037]
['UV', 27, 'CV', 187, 'c++filt', 'join', 'V3', 'V0', 0.9956121105748135, 0.9015579223632812]
['BV', 66, 'CV', 267, 'lua', 'fmt', 'V1', 'V1', 0.9926389400073611, 0.350266695022583]
['CV', 283, 'UV', 38, 'kill', 'xargs', 'V1', 'V3', 0.9664634146341463, 0.0985562801361084]
['BV', 67, 'CV', 153, 'cluster', 'link', 'V0', 'V3', 0.9771241830065359, 0.2057476043701172]
