['CV', 319, 'BV', 37, 'readlink', 'geany', 'V1', 'V1', 0.9943643450899357, 6.6759397983551025]
['CV', 198, 'BV', 76, 'factor', 'diff', 'V0', 'V2', 0.9227871939736346, 0.13359451293945312]
['BV', 79, 'CV', 264, 'bash', 'test', 'V3', 'V1', 0.9982181746188874, 1.526608943939209]
['CV', 340, 'BV', 18, 'fold', 'sort', 'V1', 'V3', 0.9294809010773751, 0.1331939697265625]
['CV', 3, 'UV', 83, 'test', 'addr2line', 'V2', 'V0', 0.975669099756691, 0.8937292098999023]
['UV', 75, 'BV', 65, 'readelf', 'ssh', 'V0', 'V1', 0.972703486316385, 11.40895938873291]
['UV', 49, 'CV', 39, 'xargs', 'whoami', 'V1', 'V2', 0.943089430894309, 0.05085468292236328]
['CV', 90, 'UV', 78, 'test', 'c++filt', 'V3', 'V0', 0.9739514348785872, 1.0923895835876465]
['BV', 48, 'CV', 179, 'gvmap', 'mkdir', 'V3', 'V0', 0.9857448325017819, 0.25256896018981934]
['CV', 276, 'BV', 33, 'uptime', 'openssl', 'V1', 'V0', 0.9923036373220875, 2.9659152030944824]
['CV', 314, 'UV', 5, 'tty', 'diff', 'V1', 'V2', 0.9133782483156881, 0.11214375495910645]
['UV', 44, 'CV', 226, 'diff3', 'logname', 'V1', 'V0', 0.9691119691119691, 0.045598745346069336]
['BV', 21, 'CV', 150, 'cp', 'mv', 'V1', 'V3', 0.9056468906361687, 0.32886767387390137]
['BV', 21, 'CV', 328, 'cp', 'uname', 'V1', 'V1', 0.9755244755244755, 0.04987454414367676]
['CV', 329, 'BV', 17, 'cat', 'codeblocks', 'V1', 'V2', 0.9968231780926361, 3.011461019515991]
['BV', 49, 'CV', 203, 'make', 'tail', 'V3', 'V0', 0.9868881118881119, 0.48820972442626953]
['CV', 331, 'BV', 28, 'vdir', 'openssl', 'V1', 'V1', 0.9835277968428278, 7.962607383728027]
['UV', 61, 'BV', 12, 'addr2line', 'sort', 'V1', 'V2', 0.9914844203599767, 2.2964956760406494]
['BV', 69, 'CV', 223, 'gvmap', 'tsort', 'V0', 'V0', 0.9917559769167353, 0.17026066780090332]
['UV', 62, 'CV', 213, 'ar', 'whoami', 'V1', 'V0', 0.9983792544570502, 0.5631499290466309]
['UV', 58, 'CV', 245, 'objcopy', '[', 'V1', 'V0', 0.9970506308372932, 0.8978817462921143]
['CV', 143, 'UV', 47, 'yes', 'sdiff', 'V3', 'V1', 0.9067524115755627, 0.08406639099121094]
['CV', 56, 'UV', 51, 'yes', 'nm', 'V2', 'V1', 0.9798910766652702, 0.7942049503326416]
['BV', 35, 'CV', 258, 'libvlccore.so', 'rmdir', 'V2', 'V0', 0.9997671169073126, 1.0802807807922363]
['UV', 21, 'CV', 161, 'objdump', 'pathchk', 'V2', 'V3', 0.997536187249769, 1.3037309646606445]
['BV', 5, 'CV', 210, 'libvlccore.so', 'chroot', 'V0', 'V0', 0.9994658832955, 0.9148473739624023]
['UV', 3, 'BV', 32, 'diff3', 'perl', 'V2', 'V0', 0.9786602338096122, 3.0257391929626465]
['CV', 290, 'UV', 33, 'tail', 'ar', 'V1', 'V3', 0.9722445695897023, 1.9182593822479248]
