['UV', 39, 'CV', 316, 'find', 'nohup', 'V3', 'V1', 0.9927040583675331, 0.3181426525115967]
['BV', 20, 'CV', 278, 'sort', 'mkfifo', 'V1', 'V1', 0.9513888888888888, 0.054938554763793945]
['CV', 235, 'BV', 46, 'ginstall', 'cluster', 'V0', 'V3', 0.9485570890840652, 0.890364408493042]
['BV', 20, 'CV', 146, 'sort', 'head', 'V1', 'V3', 0.9313077939233818, 0.2436048984527588]
['UV', 54, 'CV', 28, 'as', 'chown', 'V1', 'V2', 0.9963196635120926, 3.670421600341797]
['CV', 289, 'UV', 81, 'chown', 'ld', 'V1', 'V0', 0.9767025089605734, 1.9030647277832031]
['UV', 59, 'BV', 34, 'ld', 'svn', 'V1', 'V0', 0.9925598697977215, 9.295508623123169]
['CV', 93, 'BV', 3, 'fmt', 'diff', 'V3', 'V1', 0.9132893496701225, 0.1762704849243164]
['CV', 321, 'BV', 73, 'hostid', 'geany', 'V1', 'V0', 0.9943811118915122, 2.9150357246398926]
['BV', 35, 'CV', 30, 'libvlccore.so', 'pinky', 'V2', 'V2', 0.9986227476185011, 2.022965908050537]
['CV', 22, 'BV', 66, 'kill', 'lua', 'V2', 'V1', 0.9695431472081218, 0.4669644832611084]
['BV', 16, 'CV', 10, 'libvlc.so', 'ptx', 'V3', 'V2', 0.9883086515978177, 1.1128008365631104]
['CV', 224, 'BV', 23, 'cksum', 'diff', 'V0', 'V3', 0.9224952741020794, 0.12032175064086914]
['CV', 90, 'BV', 53, 'test', 'ssh', 'V3', 'V2', 0.9825050901138678, 3.225863456726074]
['CV', 24, 'BV', 42, 'factor', 'libvlc.so', 'V2', 'V1', 0.9848812095032398, 0.4042365550994873]
['UV', 30, 'CV', 290, 'ld', 'tail', 'V3', 'V1', 0.9960767829620288, 1.5783321857452393]
['BV', 15, 'CV', 218, 'libvlccore.so', 'true', 'V3', 'V0', 0.9993032168157009, 0.9647843837738037]
['CV', 160, 'UV', 4, 'shred', 'cmp', 'V3', 'V2', 0.9730820995962315, 0.11207103729248047]
['CV', 120, 'BV', 40, 'sync', 'lua', 'V3', 'V2', 0.9629255139871924, 0.574526309967041]
['UV', 10, 'BV', 28, 'as', 'openssl', 'V2', 'V1', 0.974764803541782, 105.82086753845215]
