['UO', 16, 'BO', 12, 'size', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9874917374281792, 244.8975899219513]
['BO', 5, 'CO', 414, 'libgeany.so.0.0.0', 'mknod', 'O1', 'O0', 0.9992504310021737, 13.680128812789917]
['UO', 32, 'BO', 6, 'strings', 'codeblocks', 'O2', 'O0', 0.9809655916464378, 89.34027671813965]
['CO', 21, 'BO', 12, 'mktemp', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9979552342352211, 25.21298909187317]
['BO', 5, 'CO', 125, 'libgeany.so.0.0.0', 'mktemp', 'O1', 'O1', 0.9993929276066171, 7.088512420654297]
['CO', 291, 'BO', 5, 'csplit', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9928003031451307, 8.73652172088623]
['BO', 5, 'CO', 268, 'libgeany.so.0.0.0', 'base64', 'O1', 'O2', 0.9994669712545212, 5.063799142837524]
['BO', 6, 'CO', 248, 'codeblocks', 'sync', 'O0', 'O2', 0.9989892957228833, 4.282685995101929]
['BO', 12, 'CO', 374, 'libgeany.so.0.0.0', 'printf', 'O0', 'O0', 0.9998173349164308, 16.221479177474976]
['CO', 127, 'BO', 5, 'pr', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9887504718761797, 11.665619850158691]
['BO', 6, 'CO', 166, 'codeblocks', 'printf', 'O0', 'O1', 0.9981711777615215, 6.33430027961731]
['CO', 154, 'BO', 5, 'dircolors', 'libgeany.so.0.0.0', 'O1', 'O1', 0.992703503838261, 7.445640802383423]
['BO', 6, 'CO', 231, 'codeblocks', 'pr', 'O0', 'O2', 0.9982717060080957, 8.39915418624878]
['BO', 6, 'UO', 26, 'codeblocks', 'nm', 'O0', 'O2', 0.9864927091327705, 78.960932970047]
['BO', 6, 'CO', 68, 'codeblocks', 'yes', 'O0', 'O3', 0.9991749553100793, 4.641144037246704]
['CO', 84, 'BO', 6, 'vdir', 'codeblocks', 'O3', 'O0', 0.9915363713305715, 20.336594820022583]
['BO', 5, 'UO', 0, 'libgeany.so.0.0.0', 'locate', 'O1', 'O1', 0.999406484160546, 17.809979677200317]
['CO', 105, 'BO', 5, 'touch', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9891953154514544, 10.896135568618774]
['BO', 6, 'UO', 11, 'codeblocks', 'ld', 'O0', 'O1', 0.985442838646464, 126.56808662414551]
['BO', 5, 'CO', 193, 'libgeany.so.0.0.0', 'pathchk', 'O1', 'O1', 0.9993145990404386, 4.97747540473938]
['UO', 30, 'BO', 12, 'ranlib', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9868053793453438, 260.96124148368835]
['CO', 140, 'BO', 6, 'pinky', 'codeblocks', 'O1', 'O0', 0.9964321654011526, 7.973949670791626]
['CO', 85, 'BO', 5, '[', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9934769417475728, 7.992731332778931]
['CO', 259, 'BO', 5, 'realpath', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9928582282327914, 7.53000545501709]
['BO', 12, 'CO', 350, 'libgeany.so.0.0.0', 'sha1sum', 'O0', 'O0', 0.9998539106298278, 16.95994782447815]
['BO', 5, 'CO', 165, 'libgeany.so.0.0.0', 'cksum', 'O1', 'O1', 0.9993147816818303, 5.201734781265259]
['CO', 76, 'BO', 6, 'md5sum', 'codeblocks', 'O3', 'O0', 0.9969840979711204, 7.662173509597778]
['CO', 6, 'BO', 6, 'mkdir', 'codeblocks', 'O3', 'O0', 0.9959886954143495, 8.893994808197021]
['BO', 5, 'CO', 248, 'libgeany.so.0.0.0', 'sync', 'O1', 'O2', 0.9996187862153095, 4.295438051223755]
['CO', 272, 'BO', 12, 'tty', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9984250238077796, 13.453271865844727]
