['UO', 67, 'BO', 5, 'strip', 'libgeany.so.0.0.0', 'O0', 'O1', 0.968813876073118, 174.64898872375488]
['BO', 12, 'CO', 193, 'libgeany.so.0.0.0', 'pathchk', 'O0', 'O1', 0.9995608176112137, 12.098279476165771]
['UO', 9, 'BO', 5, 'strings', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9777036746436512, 98.2033474445343]
['BO', 6, 'CO', 405, 'codeblocks', 'nl', 'O0', 'O0', 0.9995431703974418, 6.690026044845581]
['CO', 39, 'BO', 5, 'paste', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9931603146255272, 6.966137409210205]
['CO', 323, 'BO', 12, 'groups', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9971117285756069, 22.033664226531982]
['BO', 12, 'CO', 95, 'libgeany.so.0.0.0', 'sha224sum', 'O0', 'O3', 0.9996711307620632, 15.490463018417358]
['BO', 12, 'CO', 321, 'libgeany.so.0.0.0', 'du', 'O0', 'O0', 0.9996744438415627, 42.92447566986084]
['BO', 12, 'CO', 141, 'libgeany.so.0.0.0', 'truncate', 'O0', 'O1', 0.9995243496396033, 13.469622373580933]
['BO', 6, 'UO', 13, 'codeblocks', 'addr2line', 'O0', 'O1', 0.9879135589978963, 85.22993183135986]
['BO', 5, 'CO', 408, 'libgeany.so.0.0.0', 'fold', 'O1', 'O0', 0.9996960370834758, 6.303721189498901]
['BO', 5, 'CO', 112, 'libgeany.so.0.0.0', 'dir', 'O1', 'O1', 0.9980646121780556, 17.93442702293396]
['BO', 5, 'UO', 29, 'libgeany.so.0.0.0', 'as', 'O1', 'O2', 0.9965133754132852, 147.20888113975525]
['BO', 12, 'UO', 4, 'libgeany.so.0.0.0', 'strip', 'O0', 'O1', 0.9944321269608415, 245.9106478691101]
['BO', 5, 'UO', 85, 'libgeany.so.0.0.0', 'locate', 'O1', 'O0', 0.9994861631065111, 25.07927942276001]
['CO', 396, 'BO', 12, 'vdir', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9916434038721297, 77.70948433876038]
['CO', 107, 'BO', 12, 'unlink', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9975840989787328, 16.622763633728027]
['BO', 12, 'CO', 324, 'libgeany.so.0.0.0', 'ptx', 'O0', 'O0', 0.9997816554158555, 26.279206037521362]
