['BO', 5, 'CO', 334, 'libgeany.so.0.0.0', 'pwd', 'O1', 'O0', 0.9997721490145445, 10.41698694229126]
['BO', 5, 'CO', 215, 'libgeany.so.0.0.0', 'fmt', 'O1', 'O2', 0.9992387622273817, 5.221981525421143]
['CO', 361, 'BO', 12, 'nice', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9973663996488533, 21.64525318145752]
['BO', 5, 'CO', 258, 'libgeany.so.0.0.0', 'dircolors', 'O1', 'O2', 0.9992389939500019, 5.447105407714844]
['CO', 320, 'BO', 6, 'dir', 'codeblocks', 'O0', 'O0', 0.9846527012127895, 27.462520360946655]
['BO', 5, 'CO', 91, 'libgeany.so.0.0.0', 'comm', 'O1', 'O3', 0.9992411019200121, 6.485994338989258]
['UO', 86, 'BO', 12, 'xargs', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9917894316179543, 41.56583380699158]
['UO', 57, 'BO', 6, 'size', 'codeblocks', 'O3', 'O0', 0.9767782749575683, 81.51964950561523]
['BO', 5, 'CO', 378, 'libgeany.so.0.0.0', 'runcon', 'O1', 'O0', 0.9997720018239854, 6.7326953411102295]
['BO', 12, 'CO', 211, 'libgeany.so.0.0.0', 'unlink', 'O0', 'O2', 0.9997436132222324, 10.023216247558594]
['BO', 5, 'CO', 185, 'libgeany.so.0.0.0', 'cat', 'O1', 'O1', 0.9993150684931507, 5.525798797607422]
['CO', 135, 'BO', 12, 'date', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9963184369760152, 32.11434531211853]
['CO', 303, 'BO', 6, 'sha224sum', 'codeblocks', 'O2', 'O0', 0.9969759450171821, 6.883816242218018]
['BO', 6, 'CO', 105, 'codeblocks', 'touch', 'O0', 'O1', 0.9979095660077255, 9.291007995605469]
['CO', 165, 'BO', 12, 'cksum', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9974018370110147, 17.634284734725952]
['CO', 249, 'BO', 5, 'echo', 'libgeany.so.0.0.0', 'O2', 'O1', 0.995574883649958, 4.961654424667358]
['CO', 158, 'BO', 6, 'true', 'codeblocks', 'O1', 'O0', 0.9960506980161646, 5.485479831695557]
