['BO', 6, 'CO', 379, 'codeblocks', 'nohup', 'O0', 'O0', 0.9995422502975373, 9.892954349517822]
['BO', 12, 'CO', 322, 'libgeany.so.0.0.0', 'users', 'O0', 'O0', 0.9998537182980124, 13.252971172332764]
['CO', 24, 'BO', 12, 'tee', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9973690941645047, 21.426886796951294]
['CO', 285, 'BO', 5, 'env', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9955033915097935, 5.395679950714111]
['BO', 5, 'CO', 58, 'libgeany.so.0.0.0', 'df', 'O1', 'O3', 0.9988738738738738, 12.04244327545166]
['BO', 6, 'CO', 331, 'codeblocks', 'dd', 'O0', 'O0', 0.9988251773530342, 10.558918714523315]
['BO', 6, 'CO', 305, 'codeblocks', 'uniq', 'O0', 'O2', 0.9987191216834401, 5.874897718429565]
['CO', 275, 'BO', 12, 'nohup', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9979502196193265, 16.043165922164917]
['BO', 5, 'CO', 221, 'libgeany.so.0.0.0', 'printenv', 'O1', 'O2', 0.9996184807905079, 3.8095510005950928]
['BO', 5, 'CO', 226, 'libgeany.so.0.0.0', 'uptime', 'O1', 'O2', 0.9993161094224924, 6.1047563552856445]
['CO', 393, 'BO', 6, 'cat', 'codeblocks', 'O0', 'O0', 0.9944208167558422, 7.956843376159668]
['CO', 54, 'BO', 12, 'true', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9983531564501372, 15.704368829727173]
['CO', 242, 'BO', 12, 'tail', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9967920676582094, 29.75501275062561]
['BO', 12, 'CO', 312, 'libgeany.so.0.0.0', 'sha384sum', 'O0', 'O0', 0.9998539373025871, 17.29392957687378]
['BO', 5, 'CO', 288, 'libgeany.so.0.0.0', 'uname', 'O1', 'O2', 0.9996949243030927, 4.058372259140015]
['BO', 12, 'CO', 375, 'libgeany.so.0.0.0', 'logname', 'O0', 'O0', 0.9998536353324308, 12.250295639038086]
['BO', 12, 'CO', 67, 'libgeany.so.0.0.0', 'nohup', 'O0', 'O3', 0.9997806456330202, 13.66222333908081]
['CO', 36, 'BO', 5, 'pinky', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9921866110373602, 8.017017602920532]
['BO', 12, 'CO', 31, 'libgeany.so.0.0.0', 'date', 'O0', 'O3', 0.9996357012750455, 21.94292140007019]
['CO', 13, 'BO', 12, 'printenv', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9981703412313604, 15.805330514907837]
['UO', 45, 'BO', 6, 'strip', 'codeblocks', 'O3', 'O0', 0.9764714614414013, 100.56160020828247]
['BO', 6, 'UO', 62, 'codeblocks', 'diff3', 'O0', 'O3', 0.9990000909008272, 8.124897718429565]
['CO', 354, 'BO', 6, 'sum', 'codeblocks', 'O0', 'O0', 0.9948863117523514, 8.862853050231934]
['CO', 12, 'BO', 5, 'ptx', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9905742186027222, 11.516538143157959]
['CO', 202, 'BO', 12, 'sleep', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9972553611944668, 17.41634774208069]
['BO', 6, 'CO', 203, 'codeblocks', 'sort', 'O0', 'O1', 0.996693624056119, 16.448423624038696]
['CO', 259, 'BO', 12, 'realpath', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9972582207680638, 21.48991322517395]
['BO', 6, 'CO', 261, 'codeblocks', 'chmod', 'O0', 'O2', 0.9975426621160409, 8.154597997665405]
['BO', 12, 'CO', 355, 'libgeany.so.0.0.0', 'chroot', 'O0', 'O0', 0.9998538839473252, 17.158891439437866]
['CO', 156, 'BO', 5, 'sha256sum', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9924012158054711, 7.595431327819824]
['BO', 12, 'CO', 300, 'libgeany.so.0.0.0', 'sha512sum', 'O0', 'O2', 0.9995976223136717, 13.558627128601074]
['CO', 332, 'BO', 5, 'mkfifo', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9846223089040582, 16.13280725479126]
['BO', 6, 'CO', 285, 'codeblocks', 'env', 'O0', 'O2', 0.9989897598383616, 4.469557762145996]
['CO', 182, 'BO', 12, 'chcon', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9957395674022286, 34.49746584892273]
['BO', 6, 'CO', 172, 'codeblocks', 'yes', 'O0', 'O1', 0.9986233480176211, 4.73075270652771]
['BO', 6, 'CO', 31, 'codeblocks', 'date', 'O0', 'O3', 0.9987301587301587, 8.678301334381104]
