['BO', 12, 'CO', 1, 'libgeany.so.0.0.0', 'touch', 'O0', 'O3', 0.9997085238555007, 25.47801446914673]
['BO', 12, 'CO', 301, 'libgeany.so.0.0.0', 'nl', 'O0', 'O2', 0.9996706734727482, 12.246588706970215]
['CO', 77, 'BO', 6, 'env', 'codeblocks', 'O3', 'O0', 0.9976192656350151, 7.371221303939819]
['CO', 63, 'BO', 12, 'logname', 'libgeany.so.0.0.0', 'O3', 'O0', 0.998024221579891, 16.570019483566284]
['BO', 6, 'CO', 306, 'codeblocks', 'sleep', 'O0', 'O2', 0.99898934215362, 4.19278883934021]
['CO', 367, 'BO', 12, 'cp', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9928173819357156, 85.95667028427124]
['BO', 12, 'CO', 119, 'libgeany.so.0.0.0', 'join', 'O0', 'O1', 0.9994156425193111, 17.52575135231018]
['CO', 201, 'BO', 5, 'uniq', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9916537046170188, 8.966130495071411]
['BO', 6, 'UO', 82, 'codeblocks', 'cmp', 'O0', 'O0', 0.9995439412596342, 7.244990348815918]
['BO', 5, 'CO', 98, 'libgeany.so.0.0.0', 'sleep', 'O1', 'O3', 0.999391426723974, 5.139076471328735]
['BO', 6, 'CO', 323, 'codeblocks', 'groups', 'O0', 'O0', 0.9995424178640065, 6.014286518096924]
['UO', 35, 'BO', 12, 'gprof', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9862187769164513, 267.6040823459625]
['CO', 131, 'BO', 12, 'wc', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9971868035512038, 24.432770013809204]
['BO', 5, 'CO', 74, 'libgeany.so.0.0.0', 'unexpand', 'O1', 'O3', 0.9993164470436334, 5.992022514343262]
['CO', 277, 'BO', 5, 'who', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9933130699088146, 7.255854368209839]
['CO', 130, 'BO', 6, 'kill', 'codeblocks', 'O1', 'O0', 0.9959671875716053, 6.607519149780273]
['BO', 6, 'CO', 350, 'codeblocks', 'sha1sum', 'O0', 'O0', 0.9995436082333075, 6.70685601234436]
['CO', 307, 'BO', 5, 'sort', 'libgeany.so.0.0.0', 'O2', 'O1', 0.988284456383852, 19.01307463645935]
['BO', 5, 'CO', 361, 'libgeany.so.0.0.0', 'nice', 'O1', 'O0', 0.9996196706347698, 5.645116090774536]
['CO', 199, 'BO', 5, 'sha224sum', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9924772036474164, 7.650576591491699]
['CO', 85, 'BO', 6, '[', 'codeblocks', 'O3', 'O0', 0.9964388439939734, 7.806478977203369]
['BO', 5, 'CO', 60, 'libgeany.so.0.0.0', 'base64', 'O1', 'O3', 0.9992403813285731, 5.850048303604126]
['BO', 12, 'CO', 86, 'libgeany.so.0.0.0', 'timeout', 'O0', 'O3', 0.9997808539391504, 16.652472019195557]
['CO', 211, 'BO', 12, 'unlink', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9979489057778592, 13.806394100189209]
['BO', 5, 'CO', 211, 'libgeany.so.0.0.0', 'unlink', 'O1', 'O2', 0.9995423340961098, 4.06583833694458]
