['BO', 5, 'CO', 289, 'libgeany.so.0.0.0', 'cat', 'O1', 'O2', 0.9995428048919877, 9.750319719314575]
['CO', 55, 'BO', 5, 'cp', 'libgeany.so.0.0.0', 'O3', 'O1', 0.987579949427339, 21.179567575454712]
['BO', 5, 'CO', 121, 'libgeany.so.0.0.0', 'stdbuf', 'O1', 'O1', 0.999240323622137, 6.341991424560547]
['CO', 397, 'BO', 6, '[', 'codeblocks', 'O0', 'O0', 0.9937049539275613, 9.148562669754028]
['BO', 12, 'UO', 80, 'libgeany.so.0.0.0', 'objdump', 'O0', 'O0', 0.9975966352894051, 505.54656529426575]
['UO', 23, 'BO', 12, 'cmp', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9974417542256738, 20.722414255142212]
['CO', 315, 'BO', 5, 'unlink', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9935294789327447, 6.657883167266846]
['UO', 54, 'BO', 6, 'addr2line', 'codeblocks', 'O3', 'O0', 0.9780016209331944, 80.28555512428284]
['BO', 5, 'CO', 206, 'libgeany.so.0.0.0', 'mknod', 'O1', 'O1', 0.9993150684931507, 5.478111743927002]
['UO', 47, 'BO', 12, 'as', 'libgeany.so.0.0.0', 'O3', 'O0', 0.985186869589228, 363.50913310050964]
['BO', 12, 'CO', 325, 'libgeany.so.0.0.0', 'printenv', 'O0', 'O0', 0.9998536192637049, 12.094184398651123]
['BO', 6, 'CO', 169, 'codeblocks', 'false', 'O0', 'O1', 0.9986223365172667, 4.5632593631744385]
['CO', 110, 'BO', 6, 'mkdir', 'codeblocks', 'O1', 'O0', 0.9947041636230826, 8.972391843795776]
['BO', 6, 'CO', 309, 'codeblocks', 'rmdir', 'O0', 'O2', 0.9987154195531495, 4.949120998382568]
['BO', 6, 'CO', 148, 'codeblocks', 'seq', 'O0', 'O1', 0.9983532317826266, 6.180313348770142]
['BO', 5, 'CO', 384, 'libgeany.so.0.0.0', 'head', 'O1', 'O0', 0.9996971647045463, 8.119862794876099]
['CO', 261, 'BO', 6, 'chmod', 'codeblocks', 'O2', 'O0', 0.9934470989761092, 10.051619291305542]
['UO', 44, 'BO', 12, 'nm', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9871853702476249, 242.99741196632385]
['BO', 5, 'CO', 319, 'libgeany.so.0.0.0', 'fmt', 'O1', 'O0', 0.9996963716411112, 6.985015153884888]
['CO', 153, 'BO', 6, 'nice', 'codeblocks', 'O1', 'O0', 0.9954128440366973, 6.102916240692139]
['CO', 21, 'BO', 5, 'mktemp', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9928000303156618, 8.809585332870483]
['BO', 12, 'UO', 14, 'libgeany.so.0.0.0', 'ar', 'O0', 'O1', 0.9947375522871408, 214.74411058425903]
['BO', 6, 'CO', 173, 'codeblocks', 'who', 'O0', 'O1', 0.9983551128575345, 6.725505590438843]
['BO', 12, 'CO', 304, 'libgeany.so.0.0.0', 'fold', 'O0', 'O2', 0.9997071581529, 11.213537216186523]
['CO', 218, 'BO', 6, 'users', 'codeblocks', 'O2', 'O0', 0.9977047374219611, 5.439891576766968]
['BO', 12, 'CO', 276, 'libgeany.so.0.0.0', 'yes', 'O0', 'O2', 0.9997436273073542, 9.604870319366455]
['UO', 49, 'BO', 6, 'c++filt', 'codeblocks', 'O3', 'O0', 0.9782608695652174, 76.52162337303162]
['CO', 288, 'BO', 6, 'uname', 'codeblocks', 'O2', 'O0', 0.9976100744553728, 4.664655923843384]
['UO', 4, 'BO', 5, 'strip', 'libgeany.so.0.0.0', 'O1', 'O1', 0.976140750585406, 107.56499767303467]
['CO', 184, 'BO', 6, 'uname', 'codeblocks', 'O1', 'O0', 0.9954111600587372, 5.440691947937012]
['BO', 6, 'CO', 176, 'codeblocks', 'head', 'O0', 'O1', 0.9982636509024446, 5.867411136627197]
['CO', 403, 'BO', 5, 'comm', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9908138475554206, 7.511572360992432]
['BO', 6, 'CO', 179, 'codeblocks', 'mv', 'O0', 'O1', 0.9957403381106624, 17.5226411819458]
['BO', 12, 'CO', 71, 'libgeany.so.0.0.0', 'readlink', 'O0', 'O3', 0.9997077732320281, 14.689043760299683]
['CO', 137, 'BO', 12, 'chown', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9959934438171554, 30.268024682998657]
