['BO', 12, 'CO', 197, 'libgeany.so.0.0.0', 'nl', 'O0', 'O1', 0.9994880514873933, 19.649437427520752]
['UO', 77, 'BO', 5, 'ar', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9696431260352356, 158.2887635231018]
['CO', 404, 'BO', 5, 'sha512sum', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9906768740999015, 10.011722087860107]
['CO', 33, 'BO', 5, 'chown', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9895303732158325, 12.58262300491333]
['BO', 6, 'CO', 402, 'codeblocks', 'tr', 'O0', 'O0', 0.9994536265537495, 7.891639232635498]
['CO', 64, 'BO', 12, 'tty', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9983169294939812, 16.87334895133972]
['CO', 28, 'BO', 6, 'factor', 'codeblocks', 'O3', 'O0', 0.9954543388335834, 10.48280143737793]
['CO', 339, 'BO', 5, 'wc', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9903059678885187, 11.005181789398193]
['CO', 289, 'BO', 12, 'cat', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9980231366232245, 16.245999336242676]
['BO', 12, 'CO', 63, 'libgeany.so.0.0.0', 'logname', 'O0', 'O3', 0.9998170575536937, 12.156615734100342]
['CO', 174, 'BO', 6, 'b2sum', 'codeblocks', 'O1', 'O0', 0.994798320861471, 9.10842251777649]
['CO', 43, 'BO', 12, 'chroot', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9980636086297291, 21.771032094955444]
['CO', 53, 'BO', 6, 'chmod', 'codeblocks', 'O3', 'O0', 0.9942820838627701, 10.771899700164795]
['UO', 41, 'BO', 5, 'locate', 'libgeany.so.0.0.0', 'O2', 'O1', 0.983068468736076, 20.8384211063385]
['CO', 327, 'BO', 12, 'join', 'libgeany.so.0.0.0', 'O0', 'O0', 0.996350564750105, 28.230151653289795]
['CO', 0, 'BO', 5, 'sha384sum', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9927140255009107, 7.953712463378906]
['CO', 267, 'BO', 5, 'tsort', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9942143727161997, 6.458354234695435]
