['BO', 6, 'CO', 414, 'codeblocks', 'mknod', 'O0', 'O0', 0.9985596615204573, 16.501901388168335]
['CO', 176, 'BO', 5, 'head', 'libgeany.so.0.0.0', 'O1', 'O1', 0.992561669829222, 8.643395185470581]
['BO', 5, 'CO', 195, 'libgeany.so.0.0.0', 'comm', 'O1', 'O1', 0.9993160314625528, 6.1246161460876465]
['BO', 5, 'UO', 86, 'libgeany.so.0.0.0', 'xargs', 'O1', 'O0', 0.9996249906247656, 13.11394214630127]
['BO', 12, 'CO', 69, 'libgeany.so.0.0.0', 'who', 'O0', 'O3', 0.9997078746051743, 16.790387392044067]
['BO', 12, 'CO', 393, 'libgeany.so.0.0.0', 'cat', 'O0', 'O0', 0.9998172414423305, 15.249206304550171]
['BO', 6, 'CO', 52, 'codeblocks', 'sha256sum', 'O0', 'O3', 0.9990860485308231, 6.026642322540283]
['BO', 5, 'CO', 347, 'libgeany.so.0.0.0', 'base32', 'O1', 'O0', 0.9997723478524814, 7.060523271560669]
['UO', 0, 'BO', 6, 'locate', 'codeblocks', 'O1', 'O0', 0.98532876895034, 19.691707372665405]
['BO', 5, 'UO', 67, 'libgeany.so.0.0.0', 'strip', 'O1', 'O0', 0.9956199264147638, 175.51895451545715]
['BO', 5, 'CO', 321, 'libgeany.so.0.0.0', 'du', 'O1', 'O0', 0.999182308121167, 18.946823358535767]
['BO', 5, 'CO', 402, 'libgeany.so.0.0.0', 'tr', 'O1', 'O0', 0.9996216134402905, 8.320351123809814]
['CO', 251, 'BO', 6, 'chroot', 'codeblocks', 'O2', 'O0', 0.9971601319164529, 7.048065900802612]
['CO', 335, 'BO', 12, 'pr', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9951956323930846, 37.74119472503662]
['BO', 5, 'CO', 82, 'libgeany.so.0.0.0', 'shuf', 'O1', 'O3', 0.9990930047995162, 8.94740343093872]
['CO', 284, 'BO', 6, 'md5sum', 'codeblocks', 'O2', 'O0', 0.996974697469747, 6.55444073677063]
['BO', 5, 'CO', 122, 'libgeany.so.0.0.0', 'uptime', 'O1', 'O1', 0.9991651487553127, 7.2305076122283936]
['CO', 407, 'BO', 12, 'sha224sum', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9967135893082105, 27.180525302886963]
['BO', 12, 'CO', 33, 'libgeany.so.0.0.0', 'chown', 'O0', 'O3', 0.9995267392333176, 24.797006130218506]
