['CO', 163, 'BO', 6, 'tsort', 'codeblocks', 'O1', 'O0', 0.9943223443223443, 5.878399848937988]
['BO', 12, 'UO', 74, 'libgeany.so.0.0.0', 'ld', 'O0', 'O0', 0.9973560197209823, 433.20464992523193]
['BO', 6, 'CO', 229, 'codeblocks', 'mktemp', 'O0', 'O2', 0.9985361390667886, 6.407771587371826]
['BO', 6, 'CO', 365, 'codeblocks', 'chmod', 'O0', 'O0', 0.9986421652937449, 10.467825889587402]
['CO', 27, 'BO', 6, 'wc', 'codeblocks', 'O3', 'O0', 0.9966254731177893, 9.783480167388916]
['CO', 216, 'BO', 12, 'dir', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9946745883674172, 54.050213098526]
['CO', 196, 'BO', 6, 'sha512sum', 'codeblocks', 'O1', 'O0', 0.9956989247311828, 7.739634275436401]
['BO', 12, 'CO', 369, 'libgeany.so.0.0.0', 'od', 'O0', 'O0', 0.9997813052432067, 22.220662355422974]
['CO', 381, 'BO', 6, 'who', 'codeblocks', 'O0', 'O0', 0.9958975294010393, 9.730839967727661]
['BO', 5, 'UO', 6, 'libgeany.so.0.0.0', 'as', 'O1', 'O1', 0.9963620098404652, 144.16822862625122]
['CO', 291, 'BO', 12, 'csplit', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9975171154723871, 24.628336191177368]
['BO', 6, 'CO', 72, 'codeblocks', 'head', 'O0', 'O3', 0.9989047097480832, 6.528639316558838]
['CO', 246, 'BO', 5, 'sha1sum', 'libgeany.so.0.0.0', 'O2', 'O1', 0.994368769500038, 6.566525220870972]
['BO', 5, 'CO', 148, 'libgeany.so.0.0.0', 'seq', 'O1', 'O1', 0.9993162652890678, 6.331564426422119]
['BO', 12, 'CO', 220, 'libgeany.so.0.0.0', 'ptx', 'O0', 'O2', 0.9995623871779443, 21.364222526550293]
['BO', 5, 'CO', 381, 'libgeany.so.0.0.0', 'who', 'O1', 'O0', 0.9995455061924782, 8.088470935821533]
['CO', 214, 'BO', 12, 'mkdir', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9975146653021691, 22.06505274772644]
['BO', 6, 'CO', 1, 'codeblocks', 'touch', 'O0', 'O3', 0.9987297554779295, 9.014719724655151]
['BO', 5, 'CO', 257, 'libgeany.so.0.0.0', 'nice', 'O1', 'O2', 0.9996187571483035, 4.4033544063568115]
['BO', 6, 'CO', 392, 'codeblocks', 'uname', 'O0', 'O0', 0.999541557786641, 5.067231893539429]
['UO', 76, 'BO', 6, 'addr2line', 'codeblocks', 'O0', 'O0', 0.9807699080759342, 125.80147099494934]
['BO', 5, 'CO', 325, 'libgeany.so.0.0.0', 'printenv', 'O1', 'O0', 0.999695435337115, 5.212072372436523]
['BO', 5, 'CO', 304, 'libgeany.so.0.0.0', 'fold', 'O1', 'O2', 0.9994667072984915, 4.891137361526489]
['BO', 5, 'CO', 16, 'libgeany.so.0.0.0', 'dirname', 'O1', 'O3', 0.999314938154139, 4.915508270263672]
['CO', 224, 'BO', 5, 'dirname', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9954231664060414, 4.977372169494629]
['CO', 101, 'BO', 12, 'rmdir', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9980260632756384, 19.774031400680542]
['BO', 5, 'UO', 49, 'libgeany.so.0.0.0', 'c++filt', 'O1', 'O3', 0.9990104561797012, 83.19375920295715]
['CO', 217, 'BO', 12, 'du', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9953200674780969, 47.51649212837219]
['BO', 12, 'UO', 44, 'libgeany.so.0.0.0', 'nm', 'O0', 'O3', 0.9959210727578647, 200.13666009902954]
['BO', 6, 'CO', 302, 'codeblocks', 'rm', 'O0', 'O2', 0.9970990843985132, 10.027074813842773]
['UO', 39, 'BO', 12, 'size', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9876952361528918, 227.72186422348022]
['CO', 110, 'BO', 5, 'mkdir', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9924911828283212, 8.60847806930542]
['BO', 5, 'CO', 359, 'libgeany.so.0.0.0', 'numfmt', 'O1', 'O0', 0.9993203956807369, 9.402693271636963]
['CO', 405, 'BO', 6, 'nl', 'codeblocks', 'O0', 'O0', 0.9946094106898127, 8.186784982681274]
['CO', 302, 'BO', 5, 'rm', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9895201115844234, 11.303955316543579]
['BO', 12, 'CO', 405, 'libgeany.so.0.0.0', 'nl', 'O0', 'O0', 0.9998538545853124, 15.761127948760986]
['CO', 268, 'BO', 6, 'base64', 'codeblocks', 'O2', 'O0', 0.9973394495412844, 5.781606435775757]
['BO', 12, 'CO', 97, 'libgeany.so.0.0.0', 'uniq', 'O0', 'O3', 0.9997445022356054, 16.746193408966064]
['BO', 5, 'CO', 187, 'libgeany.so.0.0.0', 'csplit', 'O1', 'O1', 0.9990160460187708, 8.028025150299072]
