['BO', 12, 'CO', 222, 'libgeany.so.0.0.0', 'stty', 'O0', 'O2', 0.999671094706452, 15.653775215148926]
['BO', 12, 'CO', 124, 'libgeany.so.0.0.0', 'mkfifo', 'O0', 'O1', 0.9997072170985214, 11.72900938987732]
['CO', 274, 'BO', 12, 'runcon', 'libgeany.so.0.0.0', 'O2', 'O0', 0.998241629423401, 13.598428010940552]
['BO', 12, 'CO', 75, 'libgeany.so.0.0.0', 'mv', 'O0', 'O3', 0.9991696601021679, 44.079041481018066]
['BO', 12, 'CO', 362, 'libgeany.so.0.0.0', 'dircolors', 'O0', 'O0', 0.9998538065129199, 15.106463432312012]
['BO', 12, 'CO', 194, 'libgeany.so.0.0.0', 'tr', 'O0', 'O1', 0.9996710766756816, 15.413901090621948]
['UO', 7, 'BO', 5, 'ranlib', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9758599488722778, 98.98778319358826]
['CO', 352, 'BO', 12, 'sync', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9976222701832681, 20.239989042282104]
['BO', 6, 'CO', 22, 'codeblocks', 'pwd', 'O0', 'O3', 0.9991767665218385, 5.793458938598633]
['BO', 6, 'CO', 264, 'codeblocks', 'cut', 'O0', 'O2', 0.9987168324091471, 5.215842247009277]
['BO', 5, 'CO', 222, 'libgeany.so.0.0.0', 'stty', 'O1', 'O2', 0.9993166805861362, 6.330315828323364]
['CO', 216, 'BO', 5, 'dir', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9859816568488554, 19.95632290840149]
['BO', 6, 'CO', 243, 'codeblocks', 'base32', 'O0', 'O2', 0.9987155963302752, 4.878034353256226]
['UO', 72, 'BO', 5, 'strings', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9742520619654869, 143.8622124195099]
['CO', 395, 'BO', 5, 'csplit', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9889161168708765, 12.669121026992798]
['BO', 12, 'CO', 168, 'libgeany.so.0.0.0', 'tty', 'O0', 'O1', 0.9996705589516454, 11.743414402008057]
['CO', 314, 'BO', 5, 'stat', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9872444194335022, 16.544890880584717]
['BO', 5, 'CO', 346, 'libgeany.so.0.0.0', 'tail', 'O1', 'O0', 0.9994751049790042, 13.43419861793518]
['BO', 6, 'CO', 268, 'codeblocks', 'base64', 'O0', 'O2', 0.9987155963302752, 4.937126159667969]
['BO', 12, 'CO', 170, 'libgeany.so.0.0.0', 'runcon', 'O0', 'O1', 0.9996705167395801, 11.368496656417847]
['CO', 155, 'BO', 12, 'realpath', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9967117281695287, 23.990976333618164]
['CO', 384, 'BO', 12, 'head', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9964964782307215, 27.267765045166016]
['BO', 12, 'UO', 82, 'libgeany.so.0.0.0', 'cmp', 'O0', 'O0', 0.9997809299523522, 17.267409086227417]
['BO', 12, 'CO', 364, 'libgeany.so.0.0.0', 'sha256sum', 'O0', 'O0', 0.9998539373025871, 17.20018482208252]
['BO', 12, 'CO', 265, 'libgeany.so.0.0.0', 'od', 'O0', 'O2', 0.9995254954922071, 18.54566192626953]
['CO', 64, 'BO', 5, 'tty', 'libgeany.so.0.0.0', 'O3', 'O1', 0.994596034554934, 5.965278148651123]
