['BO', 6, 'CO', 371, 'codeblocks', 'tsort', 'O0', 'O0', 0.9994512780648407, 6.998725891113281]
['BO', 5, 'CO', 413, 'libgeany.so.0.0.0', 'rmdir', 'O1', 'O0', 0.9997719324920177, 5.759899139404297]
['CO', 20, 'BO', 5, 'mkfifo', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9942954934398175, 7.0527496337890625]
['CO', 344, 'BO', 5, 'expr', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9898642260126319, 10.26765251159668]
['CO', 373, 'BO', 5, 'cksum', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9922427561031257, 7.166330575942993]
['BO', 5, 'UO', 61, 'libgeany.so.0.0.0', 'find', 'O1', 'O3', 0.9986466272526533, 37.98561882972717]
['BO', 6, 'UO', 75, 'codeblocks', 'gprof', 'O0', 'O0', 0.9948595047063319, 127.40877485275269]
['CO', 313, 'BO', 5, 'touch', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9881652344338911, 12.936802625656128]
['BO', 6, 'CO', 313, 'codeblocks', 'touch', 'O0', 'O0', 0.9992749354239362, 9.767265319824219]
['CO', 372, 'BO', 5, 'base64', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9914257530920404, 8.530596733093262]
['BO', 5, 'CO', 21, 'libgeany.so.0.0.0', 'mktemp', 'O1', 'O3', 0.9991663192997082, 7.3714704513549805]
['CO', 318, 'BO', 12, 'mkdir', 'libgeany.so.0.0.0', 'O0', 'O0', 0.993869036822057, 55.37257623672485]
['CO', 69, 'BO', 5, 'who', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9914348518153566, 8.966766595840454]
['CO', 104, 'BO', 6, 'sha384sum', 'codeblocks', 'O1', 'O0', 0.9956989247311828, 8.02857494354248]
['BO', 5, 'CO', 329, 'libgeany.so.0.0.0', 'stdbuf', 'O1', 'O0', 0.9995447820644133, 7.154940128326416]
['BO', 5, 'CO', 73, 'libgeany.so.0.0.0', 'hostid', 'O1', 'O3', 0.9993910793119196, 4.834883689880371]
['CO', 326, 'BO', 12, 'stty', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9964964782307215, 28.18760371208191]
['CO', 310, 'BO', 5, 'mknod', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9944372475805837, 5.596863508224487]
['BO', 12, 'CO', 120, 'libgeany.so.0.0.0', 'dirname', 'O0', 'O1', 0.9995973350904166, 12.092675685882568]
['BO', 6, 'UO', 78, 'codeblocks', 'elfedit', 'O0', 'O0', 0.9991779695848746, 5.61359715461731]
