['CO', 344, 'BO', 12, 'expr', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9962061795498486, 32.89432168006897]
['BO', 12, 'CO', 224, 'libgeany.so.0.0.0', 'dirname', 'O0', 'O2', 0.9997069811735404, 9.928828716278076]
['BO', 6, 'CO', 114, 'codeblocks', 'users', 'O0', 'O1', 0.998441582252372, 5.395737171173096]
['BO', 12, 'UO', 73, 'libgeany.so.0.0.0', 'objcopy', 'O0', 'O0', 0.9975730868100462, 375.3908450603485]
['CO', 180, 'BO', 5, 'md5sum', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9924000607995136, 7.492772102355957]
['CO', 368, 'BO', 12, 'cut', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9965300606326247, 25.481412172317505]
['CO', 411, 'BO', 5, 'sort', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9846403780830011, 26.401481866836548]
['BO', 6, 'CO', 76, 'codeblocks', 'md5sum', 'O0', 'O3', 0.9988119173825626, 5.999727964401245]
['BO', 12, 'CO', 176, 'libgeany.so.0.0.0', 'head', 'O0', 'O1', 0.9995249840138851, 15.663321733474731]
['BO', 6, 'CO', 188, 'codeblocks', 'vdir', 'O0', 'O1', 0.996607597196804, 16.51692032814026]
['BO', 6, 'CO', 25, 'codeblocks', 'chgrp', 'O0', 'O3', 0.9985503307058078, 9.297988414764404]
['CO', 177, 'BO', 5, 'hostid', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9941337802834069, 5.794846773147583]
['UO', 55, 'BO', 12, 'ar', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9865878647271002, 255.13362073898315]
['BO', 6, 'CO', 162, 'codeblocks', 'df', 'O0', 'O1', 0.9973806620602448, 11.508585214614868]
['UO', 63, 'BO', 12, 'cmp', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9975514380733107, 21.460342407226562]
['CO', 190, 'BO', 12, 'timeout', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9974422216132274, 24.760008811950684]
['CO', 244, 'BO', 12, 'pinky', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9976956418369026, 19.982175827026367]
