['CO', 407, 'BO', 6, 'sha224sum', 'codeblocks', 'O0', 'O0', 0.9936134300442498, 11.63755989074707]
['CO', 407, 'BO', 5, 'sha224sum', 'libgeany.so.0.0.0', 'O0', 'O1', 0.990904267414538, 9.421329259872437]
['BO', 12, 'CO', 216, 'libgeany.so.0.0.0', 'dir', 'O0', 'O2', 0.9993841360697013, 39.08933758735657]
['BO', 5, 'CO', 113, 'libgeany.so.0.0.0', 'du', 'O1', 'O1', 0.9985057342448355, 15.592731475830078]
['CO', 352, 'BO', 6, 'sync', 'codeblocks', 'O0', 'O0', 0.9961510263929618, 7.366256237030029]
['CO', 5, 'BO', 5, 'basename', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9945220070757409, 6.267113447189331]
['CO', 17, 'BO', 5, 'stdbuf', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9927896474517096, 7.995398283004761]
['BO', 6, 'CO', 282, 'codeblocks', 'unexpand', 'O0', 'O2', 0.99853258128124, 5.097891330718994]
['CO', 125, 'BO', 6, 'mktemp', 'codeblocks', 'O1', 'O0', 0.9957059978986799, 8.698258638381958]
['CO', 43, 'BO', 6, 'chroot', 'codeblocks', 'O3', 'O0', 0.9976245945822484, 8.252535581588745]
['BO', 5, 'CO', 134, 'libgeany.so.0.0.0', 'expand', 'O1', 'O1', 0.9992396015512128, 5.985437631607056]
['CO', 84, 'BO', 5, 'vdir', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9855837110797354, 21.810547828674316]
['BO', 5, 'CO', 280, 'libgeany.so.0.0.0', 'head', 'O1', 'O2', 0.999239977199316, 6.106318712234497]
['BO', 12, 'CO', 394, 'libgeany.so.0.0.0', 'shuf', 'O0', 'O0', 0.9997815162770374, 26.165929317474365]
['BO', 5, 'UO', 79, 'libgeany.so.0.0.0', 'size', 'O1', 'O0', 0.9964130467823814, 150.76203560829163]
['CO', 370, 'BO', 6, 'df', 'codeblocks', 'O0', 'O0', 0.9899352983465133, 17.495112895965576]
['BO', 6, 'UO', 38, 'codeblocks', 'elfedit', 'O0', 'O2', 0.9993599414803639, 5.1076340675354]
['BO', 12, 'CO', 390, 'libgeany.so.0.0.0', 'chcon', 'O0', 'O0', 0.999709376248774, 30.873728036880493]
['CO', 80, 'BO', 5, 'uname', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9939119516000152, 6.219232082366943]
['BO', 6, 'CO', 116, 'codeblocks', 'ptx', 'O0', 'O1', 0.9975474611681352, 9.389277696609497]
['BO', 5, 'CO', 364, 'libgeany.so.0.0.0', 'sha256sum', 'O1', 'O0', 0.9994694155991813, 7.782301187515259]
['BO', 5, 'CO', 367, 'libgeany.so.0.0.0', 'cp', 'O1', 'O0', 0.9986815601538179, 27.253453731536865]
['BO', 5, 'CO', 369, 'libgeany.so.0.0.0', 'od', 'O1', 'O0', 0.9995469304538247, 9.910011053085327]
['CO', 20, 'BO', 6, 'mkfifo', 'codeblocks', 'O3', 'O0', 0.9976179569399909, 6.328603029251099]
['CO', 392, 'BO', 6, 'uname', 'codeblocks', 'O0', 'O0', 0.9956906431944254, 6.910573720932007]
['BO', 6, 'CO', 412, 'codeblocks', 'tac', 'O0', 'O0', 0.9994525547445255, 7.083348512649536]
['CO', 365, 'BO', 5, 'chmod', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9877254414699349, 13.934158563613892]
['CO', 231, 'BO', 12, 'pr', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9963528274705035, 28.57658815383911]
['BO', 12, 'CO', 230, 'libgeany.so.0.0.0', 'pwd', 'O0', 'O2', 0.9997072331704818, 12.313997507095337]
['CO', 278, 'BO', 6, 'b2sum', 'codeblocks', 'O2', 'O0', 0.9968001462790272, 8.02543306350708]
['BO', 5, 'UO', 27, 'libgeany.so.0.0.0', 'strip', 'O1', 'O2', 0.9973290088715062, 111.97416281700134]
['CO', 245, 'BO', 12, 'truncate', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9978399751047978, 15.58957552909851]
['BO', 6, 'CO', 133, 'codeblocks', 'nproc', 'O0', 'O1', 0.9979829467314568, 5.387062072753906]
['BO', 12, 'CO', 172, 'libgeany.so.0.0.0', 'yes', 'O0', 'O1', 0.9995607774239595, 12.09636902809143]
['BO', 6, 'CO', 295, 'codeblocks', 'id', 'O0', 'O2', 0.9988090875778673, 5.6054441928863525]
['BO', 12, 'CO', 114, 'libgeany.so.0.0.0', 'users', 'O0', 'O1', 0.9997073188578118, 13.418854475021362]
['CO', 290, 'BO', 6, 'shuf', 'codeblocks', 'O2', 'O0', 0.9956246296887107, 9.65617036819458]
['UO', 46, 'BO', 5, 'readelf', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9710540115364447, 51.5900764465332]
['BO', 12, 'UO', 6, 'libgeany.so.0.0.0', 'as', 'O0', 'O1', 0.9920865633074936, 329.8529944419861]
['BO', 6, 'CO', 359, 'codeblocks', 'numfmt', 'O0', 'O0', 0.9985468416511512, 8.808468341827393]
