['CO', 134, 'BO', 12, 'expand', 'libgeany.so.0.0.0', 'O1', 'O0', 0.997147402490537, 22.483294248580933]
['CO', 293, 'BO', 6, '[', 'codeblocks', 'O2', 'O0', 0.9965218983112901, 7.036719083786011]
['UO', 52, 'BO', 6, 'ld', 'codeblocks', 'O3', 'O0', 0.980040761824443, 129.27433109283447]
['BO', 12, 'CO', 335, 'libgeany.so.0.0.0', 'pr', 'O0', 'O0', 0.9997816196542311, 26.726378679275513]
['BO', 6, 'UO', 63, 'codeblocks', 'cmp', 'O0', 'O3', 0.9993600292558055, 6.397445917129517]
['CO', 138, 'BO', 6, 'tail', 'codeblocks', 'O1', 'O0', 0.9930146058241858, 12.106603622436523]
['CO', 384, 'BO', 6, 'head', 'codeblocks', 'O0', 'O0', 0.9941690962099126, 9.934580564498901]
['CO', 109, 'BO', 5, 'basename', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9930695708465024, 6.518462896347046]
['UO', 70, 'BO', 12, 'ranlib', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9870762436680088, 372.8693928718567]
['BO', 12, 'CO', 387, 'libgeany.so.0.0.0', 'mv', 'O0', 'O0', 0.9995692672158509, 60.0157949924469]
['BO', 12, 'UO', 26, 'libgeany.so.0.0.0', 'nm', 'O0', 'O2', 0.9951790867424886, 199.76011681556702]
['BO', 12, 'CO', 21, 'libgeany.so.0.0.0', 'mktemp', 'O0', 'O3', 0.9996713769306605, 17.606431484222412]
['BO', 6, 'CO', 181, 'codeblocks', 'env', 'O0', 'O1', 0.9986244841815681, 5.243489742279053]
['BO', 5, 'CO', 313, 'libgeany.so.0.0.0', 'touch', 'O1', 'O0', 0.9993969546208352, 10.671116590499878]
['BO', 12, 'CO', 159, 'libgeany.so.0.0.0', 'cp', 'O0', 'O1', 0.9988413353609964, 40.385610580444336]
['BO', 5, 'CO', 286, 'libgeany.so.0.0.0', 'chcon', 'O1', 'O2', 0.9989427179700185, 9.082172870635986]
['BO', 5, 'CO', 326, 'libgeany.so.0.0.0', 'stty', 'O1', 'O0', 0.9996214558806829, 8.009581327438354]
['BO', 12, 'CO', 107, 'libgeany.so.0.0.0', 'unlink', 'O0', 'O1', 0.9996705589516454, 11.493249893188477]
['CO', 220, 'BO', 12, 'ptx', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9972649198621519, 28.897146224975586]
['BO', 6, 'UO', 80, 'codeblocks', 'objdump', 'O0', 'O0', 0.9933248073863814, 188.55939936637878]
['BO', 6, 'CO', 372, 'codeblocks', 'base64', 'O0', 'O0', 0.999451879596218, 6.425584554672241]
['UO', 82, 'BO', 12, 'cmp', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9968965076583237, 25.743123292922974]
['BO', 6, 'CO', 386, 'codeblocks', 'unexpand', 'O0', 'O0', 0.9995428780398611, 6.12239670753479]
['BO', 5, 'CO', 208, 'libgeany.so.0.0.0', 'sha384sum', 'O1', 'O2', 0.999543552681628, 5.488476991653442]
['CO', 25, 'BO', 6, 'chgrp', 'codeblocks', 'O3', 'O0', 0.9933858838452478, 11.25116229057312]
['UO', 35, 'BO', 5, 'gprof', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9713877895283203, 94.47610354423523]
['BO', 12, 'CO', 256, 'libgeany.so.0.0.0', 'ls', 'O0', 'O2', 0.9993841360697013, 37.38758897781372]
['UO', 62, 'BO', 6, 'diff3', 'codeblocks', 'O3', 'O0', 0.9955458594673211, 10.587747573852539]
['BO', 12, 'CO', 225, 'libgeany.so.0.0.0', 'stdbuf', 'O0', 'O2', 0.9997073884418435, 13.123929500579834]
['BO', 5, 'CO', 4, 'libgeany.so.0.0.0', 'test', 'O1', 'O3', 0.9993168102630281, 6.054452419281006]
['BO', 12, 'CO', 208, 'libgeany.so.0.0.0', 'sha384sum', 'O0', 'O2', 0.9995976223136717, 13.11100721359253]
['CO', 335, 'BO', 5, 'pr', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9885563711650668, 13.876978874206543]
['UO', 3, 'BO', 5, 'nm', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9769313479521684, 93.23400115966797]
['CO', 354, 'BO', 12, 'sum', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9970046756282875, 25.422592163085938]
['CO', 125, 'BO', 12, 'mktemp', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9970040737290148, 24.10867476463318]
['BO', 6, 'CO', 281, 'codeblocks', 'hostid', 'O0', 'O2', 0.9991725279271825, 4.011491775512695]
['UO', 32, 'BO', 12, 'strings', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9868374062547829, 226.2634425163269]
['BO', 5, 'CO', 290, 'libgeany.so.0.0.0', 'shuf', 'O1', 'O2', 0.9991668560175717, 7.3103721141815186]
['CO', 82, 'BO', 5, 'shuf', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9918370431956465, 9.341971397399902]
['CO', 282, 'BO', 5, 'unexpand', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9938337393422655, 5.549072265625]
