['CO', 333, 'BO', 12, 'mktemp', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9972252646951442, 30.956098079681396]
['BO', 5, 'CO', 225, 'libgeany.so.0.0.0', 'stdbuf', 'O1', 'O2', 0.999239399125309, 5.681906223297119]
['BO', 5, 'CO', 149, 'libgeany.so.0.0.0', 'split', 'O1', 'O1', 0.9993944440239194, 8.438758373260498]
['CO', 164, 'BO', 5, 'base64', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9930056638917398, 7.394498348236084]
['BO', 6, 'UO', 68, 'codeblocks', 'readelf', 'O0', 'O0', 0.9967437058216186, 59.416136503219604]
['BO', 6, 'CO', 360, 'codeblocks', 'ls', 'O0', 'O0', 0.9984123484013231, 21.679057359695435]
['BO', 6, 'CO', 221, 'codeblocks', 'printenv', 'O0', 'O2', 0.9989883196909777, 3.9905951023101807]
['BO', 6, 'CO', 341, 'codeblocks', 'nproc', 'O0', 'O0', 0.999542103576171, 5.9208948612213135]
['BO', 5, 'CO', 252, 'libgeany.so.0.0.0', 'seq', 'O1', 'O2', 0.9995436568299361, 5.929500341415405]
['UO', 7, 'BO', 6, 'ranlib', 'codeblocks', 'O1', 'O0', 0.9803313412512293, 96.74853444099426]
['CO', 343, 'BO', 12, 'date', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9953037115241095, 36.1865451335907]
['CO', 402, 'BO', 5, 'tr', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9901619494475556, 10.326761722564697]
['CO', 312, 'BO', 5, 'sha384sum', 'libgeany.so.0.0.0', 'O0', 'O1', 0.990752671871447, 9.391645669937134]
['BO', 6, 'UO', 55, 'codeblocks', 'ar', 'O0', 'O3', 0.9864127323384604, 79.96448540687561]
['BO', 6, 'UO', 84, 'codeblocks', 'sdiff', 'O0', 'O0', 0.9994555600925548, 9.158185482025146]
['BO', 12, 'CO', 316, 'libgeany.so.0.0.0', 'test', 'O0', 'O0', 0.9997808499369943, 16.642377376556396]
['BO', 12, 'CO', 196, 'libgeany.so.0.0.0', 'sha512sum', 'O0', 'O1', 0.999524723517046, 15.264957666397095]
['CO', 17, 'BO', 6, 'stdbuf', 'codeblocks', 'O3', 'O0', 0.9961619300009138, 7.666368722915649]
['CO', 122, 'BO', 12, 'uptime', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9970038547965727, 24.356509923934937]
['BO', 12, 'CO', 49, 'libgeany.so.0.0.0', 'nice', 'O0', 'O3', 0.9998536754888153, 12.164489030838013]
['BO', 12, 'CO', 263, 'libgeany.so.0.0.0', 'cp', 'O0', 'O2', 0.9989856909980076, 38.48541498184204]
