['BO', 6, 'CO', 62, 'codeblocks', 'printf', 'O0', 'O3', 0.9989957089381905, 9.23982834815979]
['BO', 6, 'CO', 358, 'codeblocks', 'whoami', 'O0', 'O0', 0.999541515748934, 4.93685507774353]
['CO', 75, 'BO', 5, 'mv', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9854149700155475, 23.881790161132812]
['BO', 12, 'CO', 96, 'libgeany.so.0.0.0', 'fold', 'O0', 'O3', 0.9997806295930679, 13.588852882385254]
['CO', 241, 'BO', 12, 'chown', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9964288317178048, 32.26363968849182]
['UO', 42, 'BO', 5, 'xargs', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9881688018085908, 12.28216814994812]
['CO', 96, 'BO', 6, 'fold', 'codeblocks', 'O3', 'O0', 0.9972542559033498, 7.044170379638672]
['CO', 116, 'BO', 5, 'ptx', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9898803005701771, 11.735575437545776]
['BO', 5, 'CO', 368, 'libgeany.so.0.0.0', 'cut', 'O1', 'O0', 0.9996207955708922, 7.603646993637085]
['BO', 6, 'UO', 19, 'codeblocks', 'cmp', 'O0', 'O1', 0.999085797869909, 6.5191426277160645]
['BO', 12, 'CO', 126, 'libgeany.so.0.0.0', 'pwd', 'O0', 'O1', 0.9995976811806229, 14.6551833152771]
['CO', 161, 'BO', 6, 'od', 'codeblocks', 'O1', 'O0', 0.993538699549529, 10.20056939125061]
['CO', 255, 'BO', 6, 'numfmt', 'codeblocks', 'O2', 'O0', 0.996160351053618, 8.03956151008606]
['BO', 12, 'CO', 207, 'libgeany.so.0.0.0', 'ln', 'O0', 'O1', 0.9990901977910003, 28.100311517715454]
['CO', 105, 'BO', 6, 'touch', 'codeblocks', 'O1', 'O0', 0.9928198136787094, 11.1881685256958]
['CO', 283, 'BO', 5, 'mv', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9864308753197643, 23.643907070159912]
['CO', 87, 'BO', 12, 'id', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9976980415083309, 21.666848182678223]
['BO', 6, 'CO', 7, 'codeblocks', 'fmt', 'O0', 'O3', 0.9991770676176107, 6.115968465805054]
['CO', 406, 'BO', 6, 'rm', 'codeblocks', 'O0', 'O0', 0.9900780228205475, 15.498110055923462]
['UO', 0, 'BO', 12, 'locate', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9917243373145656, 55.94879174232483]
['CO', 154, 'BO', 12, 'dircolors', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9975136656977276, 20.79262638092041]
