['CO', 207, 'BO', 5, 'ln', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9875056450398916, 17.618979930877686]
['CO', 126, 'BO', 6, 'pwd', 'codeblocks', 'O1', 'O0', 0.9961526130169926, 7.0357983112335205]
['BO', 5, 'CO', 95, 'libgeany.so.0.0.0', 'sha224sum', 'O1', 'O3', 0.9993168361925003, 6.391526460647583]
['BO', 6, 'CO', 398, 'codeblocks', 'timeout', 'O0', 'O0', 0.9991792065663475, 7.476122856140137]
['BO', 5, 'CO', 51, 'libgeany.so.0.0.0', 'realpath', 'O1', 'O3', 0.9993180268242783, 7.186595916748047]
['UO', 10, 'BO', 6, 'objcopy', 'codeblocks', 'O1', 'O0', 0.9819434720123816, 105.26186442375183]
['UO', 28, 'BO', 12, 'readelf', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9861547922340332, 135.97346258163452]
['CO', 398, 'BO', 12, 'timeout', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9970427163198248, 27.491666316986084]
['BO', 12, 'CO', 406, 'libgeany.so.0.0.0', 'rm', 'O0', 'O0', 0.9996365156389146, 29.383403778076172]
['BO', 5, 'CO', 399, 'libgeany.so.0.0.0', 'id', 'O1', 'O0', 0.9996967744380851, 7.708683013916016]
['CO', 191, 'BO', 6, 'id', 'codeblocks', 'O1', 'O0', 0.9943285766556897, 7.756300210952759]
['CO', 74, 'BO', 5, 'unexpand', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9936961227357308, 7.278991222381592]
['CO', 276, 'BO', 5, 'yes', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9954238645463905, 4.967170476913452]
['UO', 29, 'BO', 6, 'as', 'codeblocks', 'O2', 'O0', 0.9825030376670717, 131.07790088653564]
['BO', 6, 'CO', 73, 'codeblocks', 'hostid', 'O0', 'O3', 0.9993581220485076, 4.671648979187012]
['UO', 30, 'BO', 6, 'ranlib', 'codeblocks', 'O2', 'O0', 0.9798972015990862, 91.90446186065674]
['BO', 12, 'UO', 34, 'libgeany.so.0.0.0', 'ld', 'O0', 'O2', 0.9934399477806789, 325.70725202560425]
['CO', 321, 'BO', 6, 'du', 'codeblocks', 'O0', 'O0', 0.9844919786096257, 22.091994762420654]
['BO', 5, 'CO', 33, 'libgeany.so.0.0.0', 'chown', 'O1', 'O3', 0.998870184159982, 10.420944690704346]
['CO', 392, 'BO', 12, 'uname', 'libgeany.so.0.0.0', 'O0', 'O0', 0.997512028245797, 19.186597108840942]
['UO', 19, 'BO', 6, 'cmp', 'codeblocks', 'O1', 'O0', 0.9967088723316725, 7.749256610870361]
['BO', 5, 'CO', 227, 'libgeany.so.0.0.0', 'dd', 'O1', 'O2', 0.9993960440887815, 9.727011919021606]
['BO', 5, 'CO', 360, 'libgeany.so.0.0.0', 'ls', 'O1', 'O0', 0.9991893883566692, 23.937248945236206]
['BO', 12, 'CO', 298, 'libgeany.so.0.0.0', 'tr', 'O0', 'O2', 0.9996343158048709, 14.023541927337646]
['CO', 363, 'BO', 5, 'realpath', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9906074837145887, 10.262187719345093]
['BO', 12, 'UO', 24, 'libgeany.so.0.0.0', 'diff', 'O0', 'O2', 0.9990238082325505, 43.846230030059814]
['CO', 226, 'BO', 5, 'uptime', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9939969604863221, 7.606877326965332]
